business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Thiru PG/Guest House A/C, Kakkalur",PG,Guest house,Guest house,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",N/A,N/A,4.8,,"9, Jothi Nagar, Kakkalur, Tiruvallur, Tamil Nadu 602003","Jothi Nagar, Poonga Nagar",13.1329818,79.927405,ChIJldP1yiKPUjoR0fX7lipHZA0,https://www.google.com/maps/place/?q=place_id:ChIJldP1yiKPUjoR0fX7lipHZA0,part_269,2026-09-20 19:14:01
Dreamz P.G,PG,Apartment complex,Apartment complex,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",N/A,N/A,3.8,,"3WH3+R7C, Mappedu Melnellathur Road, Nungambakkam, Tamil Nadu 602002",631203,13.0795506,79.9031474,ChIJ-6I6uLyRUjoR18ospu61cuU,https://www.google.com/maps/place/?q=place_id:ChIJ-6I6uLyRUjoR18ospu61cuU,part_269,2026-09-20 19:14:01
Goverment Boys Hostel,PG,Student housing center,Student housing center,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",N/A,N/A,3.7,,"4W2J+Q53, Vengathur Rd, Pethnapalli, Tamil Nadu 602002",631203,13.1018875,79.9304219,ChIJfUXISiWOUjoRieZgMmkftCU,https://www.google.com/maps/place/?q=place_id:ChIJfUXISiWOUjoRieZgMmkftCU,part_269,2026-09-20 19:14:01
PG Ladies Hostel Pradesh,PG,Girls' hostel,Girls' hostel,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 90427 57900,https://pradeshbsa.in/,3.8,,"58, Asoori St, opposite to Alice Su permarket 600 meters from bus stand, Tiruvaloor, Tamil Nadu 602001",631203,13.145061799999999,79.9064997,ChIJnQabt_ORUjoRaTZVMZUAamk,https://www.google.com/maps/place/?q=place_id:ChIJnQabt_ORUjoRaTZVMZUAamk,part_269,2026-09-20 19:14:01
Arya Guest House,PG,Guest house,Guest house,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 95431 19991,N/A,5.0,,"36/54, TNHB Rd, Ma. Po. Si. Nagar, Tiruvallur, Kakkalur, Tamil Nadu 602001",Ma. Po. Si. Nagar,13.1371857,79.9100196,ChIJYzJ8seRjUjoRbasxPyXoI2Q,https://www.google.com/maps/place/?q=place_id:ChIJYzJ8seRjUjoRbasxPyXoI2Q,part_269,2026-09-20 19:14:01
G.K Guest House,PG,Lodge,Lodge,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",N/A,N/A,1.5,,"4WP5+59V, SP Nagar, Tiruvallur, Tiruvaloor, Tamil Nadu 602001",SP Nagar,13.1354776,79.9084195,ChIJnythsSKQUjoRxS-JApVDiX4,https://www.google.com/maps/place/?q=place_id:ChIJnythsSKQUjoRxS-JApVDiX4,part_269,2026-09-20 19:14:01
SLK Stays PG Homes,PG,Student dormitory,"Student dormitory, Lodge",631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 78250 33033,https://slkstays.com/?page_id=2,4.5,263.0,"No-674/1 15th Cross street, Village High Rd, Sholinganallur, Chennai, Tamil Nadu 600119",Sholinganallur,12.903597,80.2329618,ChIJzUJdACddUjoRojDhalScxEg,https://www.google.com/maps/place/?q=place_id:ChIJzUJdACddUjoRojDhalScxEg,part_269,2026-09-20 19:14:01
Sri Sai Grn Men's Pg & Hostel,PG,Boys' hostel,Boys' hostel,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 81228 24076,N/A,4.8,433.0,"No:19, Ramakrishna St, opposite Bata showroom, West Tambaram, Tambaram, Tamil Nadu 600045","West Tambaram, Tambaram",12.927304099999999,80.1153095,ChIJVVVR_G1fUjoRenrzgxaIF4M,https://www.google.com/maps/place/?q=place_id:ChIJVVVR_G1fUjoRenrzgxaIF4M,part_269,2026-09-20 19:14:01
MSR Luxury PG for Ladies (Hostel),PG,Working women's hostel,"Working women's hostel, Girls' hostel",631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 89399 91922,https://www.msrluxurypg.com/,4.7,851.0,"SIPCOT IT Park, No: 4/239, Gangai Amman kovil street, Egattur, Siruseri Landmark:, and, near Marina Mall, opposite to Adyar Anandha Bhavan (A2B, Chennai, Tamil Nadu 600130",631203,12.832878899999999,80.22804459999999,ChIJu7esy8pbUjoRnHN6XJpT0og,https://www.google.com/maps/place/?q=place_id:ChIJu7esy8pbUjoRnHN6XJpT0og,part_269,2026-09-20 19:14:01
Government Boy's Hostel,PG,Boys' hostel,Boys' hostel,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",N/A,N/A,3.5,,"3VR4+2J8, Vaishali nagar, Kadambathur, Tamil Nadu 631203",631203,13.0900366,79.8565758,ChIJnY-wvhSRUjoRkyDnb8zH-Sw,https://www.google.com/maps/place/?q=place_id:ChIJnY-wvhSRUjoRkyDnb8zH-Sw,part_269,2026-09-20 19:14:02
