business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Malar physio and rehab centre,Therapy Center,Physiotherapy Center,Physiotherapy Center,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",N/A,N/A,5.0,24.0,"221, JN Rd, Periyakuppam, Tiruvaloor, Tamil Nadu 602001",631203,13.1181935,79.9129344,ChIJP4XnAwORUjoRXOMKcwuTciU,https://www.google.com/maps/place/?q=place_id:ChIJP4XnAwORUjoRXOMKcwuTciU,part_269,2026-09-20 19:13:59
SP PHYSIO CARE AND REHABILITATION CENTRE,Therapy Center,Physiotherapy Center,Physiotherapy Center,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",N/A,N/A,4.9,7.0,"4WV5+CGH, Tiruvaloor, Tamil Nadu 602001",631203,13.143569999999999,79.90887289999999,ChIJI03JJgCRUjoROMa936GO66c,https://www.google.com/maps/place/?q=place_id:ChIJI03JJgCRUjoROMa936GO66c,part_269,2026-09-20 19:13:59
Talk N Talk - Multi-speciality Therapy Centre,Therapy Center,Speech & Hearing Specialist,"Speech & Hearing Specialist, Audiologist",631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 88381 04796,N/A,5.0,10.0,"64, Vembuli Amman Koil St, Tiruvaloor, Tamil Nadu 602001",631203,13.1424297,79.9089807,ChIJj_QJ7hmQUjoRulzEvxRe2MA,https://www.google.com/maps/place/?q=place_id:ChIJj_QJ7hmQUjoRulzEvxRe2MA,part_269,2026-09-20 19:13:59
Aishwaryaa Physiotheraphy & Rehab Clinic,Therapy Center,Physiotherapy Center,"Physiotherapy Center, Physiotherapist, Rehabilitation center",631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 86672 95140,N/A,4.9,16.0,"29/11, Kanagavalli Puram St, near Theradi Street, Tiruvaloor, Tamil Nadu 602001",631203,13.142727299999999,79.9091936,ChIJ0Qx8eEWRUjoRl3KhGB_ucoo,https://www.google.com/maps/place/?q=place_id:ChIJ0Qx8eEWRUjoRl3KhGB_ucoo,part_269,2026-09-20 19:13:59
SURYA PHYSIO CARE,Therapy Center,Physiotherapy Center,Physiotherapy Center,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 63830 08969,N/A,5.0,1.0,"4W56+W66, Manavalanagar, Tamil Nadu 602002",631203,13.1097845,79.9104581,ChIJT_BrGwCRUjoRoAKB06MZOas,https://www.google.com/maps/place/?q=place_id:ChIJT_BrGwCRUjoRoAKB06MZOas,part_269,2026-09-20 19:13:59
TRINETRI PHYSIOTHERAPY & WELNESS CENTER,Therapy Center,Physiotherapy Center,Physiotherapy Center,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 95972 73275,N/A,5.0,1.0,"No 17, second street, judges colony, Periyakuppam, Tiruvaloor, Tamil Nadu 602001",judges colony,13.1209417,79.91152989999999,ChIJj7Ry4_qRUjoRZpo0F6UafOs,https://www.google.com/maps/place/?q=place_id:ChIJj7Ry4_qRUjoRZpo0F6UafOs,part_269,2026-09-20 19:13:59
Impact physiotherapy clinic and rehabilitation center,Therapy Center,Medical clinic,Medical clinic,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",N/A,N/A,5.0,6.0,"85, Arakkonam Hwy, Mettumanagar, Sholinghur, Kilacheri, Tamil Nadu 631402",Mettumanagar,13.0365522,79.8494182,ChIJXVYVhKOTUjoRn0wePozx4hs,https://www.google.com/maps/place/?q=place_id:ChIJXVYVhKOTUjoRn0wePozx4hs,part_269,2026-09-20 19:13:59
SURYA PHYSIO CARE,Therapy Center,Physiotherapy Center,Physiotherapy Center,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 80729 54233,https://sites.google.com/view/surya-physio-care/surya-physio-care-physiotherapy-rehabilitation,4.9,20.0,"SK COMPLEX, No.9/27, Railway Station Road, near Tamilnadu Medical, Chinnamapet, Thiruvalangadu, Chinnammapettai, Tamil Nadu 631210",Chinnamapet,13.0914112,79.7634496,ChIJpZYIB8GXUjoRDoaJpeSmieA,https://www.google.com/maps/place/?q=place_id:ChIJpZYIB8GXUjoRDoaJpeSmieA,part_269,2026-09-20 19:14:00
Kavithagiriphysio Clinic,Therapy Center,Physiotherapist,Physiotherapist,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",N/A,N/A,4.9,44.0,"N Raja St, Trivelliore, town, tamil, Tiruvaloor, Tamil Nadu 602001","Trivelliore, town",13.145476299999999,79.90720089999999,ChIJhV3KZBCQUjoRJSo4cpHKaIo,https://www.google.com/maps/place/?q=place_id:ChIJhV3KZBCQUjoRJSo4cpHKaIo,part_269,2026-09-20 19:14:00
Priyanka Physiotherapy Centre,Therapy Center,Hospital,Hospital,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 78717 41079,N/A,5.0,23.0,"No 28, Kamarajar 1st Street, near Kamarajar matriculation school, kamarajar, Tiruvallur, Tiruvaloor, Tamil Nadu 602001",kamarajar,13.148259,79.9036141,ChIJuYyfwtGRUjoRxUSng5o71fY,https://www.google.com/maps/place/?q=place_id:ChIJuYyfwtGRUjoRxUSng5o71fY,part_269,2026-09-20 19:14:00
