business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Matha complex,Commercial Complex,Shopping mall,Shopping mall,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",N/A,N/A,4.2,14.0,"SH 120, Sogandi, Tamil Nadu 602108",631402,12.947533499999999,79.858634,ChIJMTx4AtftUjoRkuJJYXK3FtU,https://www.google.com/maps/place/?q=place_id:ChIJMTx4AtftUjoRkuJJYXK3FtU,part_269,2026-09-20 19:23:28
IndoSpace Industrial Park Pollivakkam,Commercial Complex,Business park,"Business park, Real Estate Builders & Construction Company, Warehouse",631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",+91 22 6167 1001,https://www.indospace.in/tamil-nadu/polivakkam,4.0,216.0,"Polivakkam village State Highway 57, Polivakkam Thiruvallur taluka,Dist, Polivakkam, Tamil Nadu 602002",631402,13.048443299999999,79.9131256,ChIJR0K88AySUjoRKhEwUZAQB8Y,https://www.google.com/maps/place/?q=place_id:ChIJR0K88AySUjoRKhEwUZAQB8Y,part_269,2026-09-20 19:23:28
Modern and co,Commercial Complex,Shopping mall,Shopping mall,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",+91 79040 74122,N/A,3.9,14.0,"2RQ7+FWF, Perambakkam, Tamil Nadu 631402",631402,13.0386869,79.81479259999999,ChIJ1QXRGlmVUjoRmSOoMIHQiIg,https://www.google.com/maps/place/?q=place_id:ChIJ1QXRGlmVUjoRmSOoMIHQiIg,part_269,2026-09-20 19:23:28
P.Chinnamani Nadar Complex,Commercial Complex,Shopping mall,Shopping mall,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",N/A,N/A,2.5,2.0,"2W82+QHG, Sengadu, Tamil Nadu 602105",631402,13.0169388,79.9014442,ChIJCzud9ouSUjoR8tj74FTYsEg,https://www.google.com/maps/place/?q=place_id:ChIJCzud9ouSUjoR8tj74FTYsEg,part_269,2026-09-20 19:23:28
PGP Complex,Commercial Complex,Shopping mall,Shopping mall,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",N/A,N/A,,,"2VM3+59V, Mappedu, Tamil Nadu 631402",631402,13.0329912,79.8534284,ChIJgZ6YGQCTUjoRB8n0hljRzWU,https://www.google.com/maps/place/?q=place_id:ChIJgZ6YGQCTUjoRB8n0hljRzWU,part_269,2026-09-20 19:23:28
vaigai agri tech ...in claas company,Commercial Complex,Shopping mall,Shopping mall,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",N/A,N/A,5.0,1.0,"2RRF+V6W, Point Rd, Perambakkam, Tamil Nadu 631402",631402,13.042240699999999,79.8230877,ChIJI5U2qa-VUjoRAMF4CZW5z9k,https://www.google.com/maps/place/?q=place_id:ChIJI5U2qa-VUjoRAMF4CZW5z9k,part_269,2026-09-20 19:23:28
Danush Maligai Kadai,Commercial Complex,Shopping mall,Shopping mall,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",N/A,N/A,,,"3R42+M84, Chinnamandalai, Tamil Nadu 631402",631402,13.056639299999999,79.8008411,ChIJ6Ya7bE2VUjoRVKqY8nz2a3E,https://www.google.com/maps/place/?q=place_id:ChIJ6Ya7bE2VUjoRVKqY8nz2a3E,part_269,2026-09-20 19:23:28
Sasths,Commercial Complex,Shopping mall,Shopping mall,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",N/A,N/A,,,"3VP5+4PX, Kasavanallathur, Tamil Nadu 631203",631402,13.0853737,79.8593673,ChIJhQA3LgCRUjoRWWPck69NX00,https://www.google.com/maps/place/?q=place_id:ChIJhQA3LgCRUjoRWWPck69NX00,part_269,2026-09-20 19:23:28
JOY ENTERPRISES,Commercial Complex,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",N/A,N/A,4.5,11.0,"St Sebastian traders, Pannur, Tirupandiyur, Tamil Nadu 602108",631402,12.9604428,79.8540754,ChIJs5zXP5jtUjoR4vecEWHB0rQ,https://www.google.com/maps/place/?q=place_id:ChIJs5zXP5jtUjoR4vecEWHB0rQ,part_269,2026-09-20 19:23:30
Star Agency,Commercial Complex,Real estate consultant,Real estate consultant,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",N/A,N/A,,,"No. 81 Dhanraj Nagar, Pannur, Road, Junction, Maduramangalam, Sogandi, Tamil Nadu 602106",Junction,12.9445856,79.8601776,ChIJ6QZgkaHtUjoRoCkbff9qpDI,https://www.google.com/maps/place/?q=place_id:ChIJ6QZgkaHtUjoRoCkbff9qpDI,part_269,2026-09-20 19:23:30
Vinothkumar,Commercial Complex,General store,"General store, Housing complex",631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",+91 63699 46447,N/A,,,"4/21, Perambakkam, Tamil Nadu 631402",631402,13.0387568,79.8165227,ChIJL2K2IwCVUjoRS_hBk6c4OWA,https://www.google.com/maps/place/?q=place_id:ChIJL2K2IwCVUjoRS_hBk6c4OWA,part_269,2026-09-20 19:23:30
Indane - Sri Vaaru Gas Agencies,Commercial Complex,Gas Agency,"Gas Agency, Gas cylinders supplier, Gas shop, LPG conversion",631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",+91 98843 28444,https://locator.iocl.com/indane/indane-sri-vaaru-gas-agencies-gas-agency-perambakkam-kanchipuram-211724/Home?utm_source=locator&utm_medium=googleplaces,4.3,32.0,"S No 259/60 Chinnamandali, opp. Old Sub Registrar Office Building, Perambakkam, Kanchipuram, Tamil Nadu 631402",631402,13.0413675,79.81100219999999,ChIJRfGnkG6UUjoRg7Dg0D21sIs,https://www.google.com/maps/place/?q=place_id:ChIJRfGnkG6UUjoRg7Dg0D21sIs,part_269,2026-09-20 19:23:30
JAI COMMERCIAL - KANCHIPURAM,Commercial Complex,Truck dealer,Truck dealer,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",+91 78100 27035,https://jaicommercial.co.in/,2.8,4.0,"krishna puram, 262/1, Vellore - Kanchipuram Rd, near SSKV womens college, opposite kanchipuram, Kilambi, Tamil Nadu 631551",631402,12.863527,79.6635282,ChIJc2cP3NPDUjoR5XNKh0jEvA0,https://www.google.com/maps/place/?q=place_id:ChIJc2cP3NPDUjoR5XNKh0jEvA0,part_269,2026-09-20 19:23:30
