business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sri Pathmavathy Ammal Modern Rice Mill,Rice and Grain Merchant,Rice mill,Rice mill,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",N/A,N/A,5.0,16.0,"59, Amman Kulam Road, opposite road to Bharathi Shed, Dhimma Samuthram Village, Kallakambanpattadai, Tamil Nadu 631502",Dhimma Samuthram Village,12.8638363,79.6849517,ChIJ60apPSnDUjoRRLJU5FucHGc,https://www.google.com/maps/place/?q=place_id:ChIJ60apPSnDUjoRRLJU5FucHGc,part_269,2026-09-20 19:22:54
AASAN ARISI ANGADI,Rice and Grain Merchant,Grocery store,Grocery store,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",N/A,N/A,4.3,219.0,"87, Grand Southern Trunk Rd, Karunguzhi, Tamil Nadu 603303",631402,12.5379694,79.903345,ChIJUS8OdBAbUzoROC0j9CwSCaU,https://www.google.com/maps/place/?q=place_id:ChIJUS8OdBAbUzoROC0j9CwSCaU,part_269,2026-09-20 19:22:54
AASAN ARISI ANGADI,Rice and Grain Merchant,Grocery store,"Grocery store, Rice wholesaler",631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",+91 44 2722 4279,N/A,4.1,50.0,"157, 43c, Vallal Pachaiyappan St, Kanchipuram, Tamil Nadu 631501",631402,12.821778799999999,79.70424969999999,ChIJF0X80frCUjoRTJynIQ20dko,https://www.google.com/maps/place/?q=place_id:ChIJF0X80frCUjoRTJynIQ20dko,part_269,2026-09-20 19:22:54
Sri Lakshmi Narayana Modern Rice Mill,Rice and Grain Merchant,Rice mill,Rice mill,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",N/A,N/A,5.0,8.0,"Pallavarmedu, Pillaiyarpalayam, Kanchipuram, Tamil Nadu 631501","Pallavarmedu, Pillaiyarpalayam",12.8323463,79.6991321,ChIJuVRCi1XCUjoR6qAmoz_Ci-A,https://www.google.com/maps/place/?q=place_id:ChIJuVRCi1XCUjoR6qAmoz_Ci-A,part_269,2026-09-20 19:22:54
Sankar Rice Mill,Rice and Grain Merchant,Rice mill,Rice mill,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",+91 96260 32666,N/A,5.0,4.0,"Vedavakkam, Tamil Nadu 603303",631402,12.561769,79.87249779999999,ChIJLSymam8dUzoRVnfVaRF_hoE,https://www.google.com/maps/place/?q=place_id:ChIJLSymam8dUzoRVnfVaRF_hoE,part_269,2026-09-20 19:22:54
Shree MDM Rice Industries,Rice and Grain Merchant,Rice mill,Rice mill,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",+91 73733 77771,N/A,5.0,1.0,"S.NO. 316, Vallapakkam Village SH 58 Kanchipuram – Chengalpattu road, Taluk, Walajabad, Tamil Nadu 631605",631402,12.786181899999999,79.8305467,ChIJqcvjYH_pUjoRqx697piTVJ8,https://www.google.com/maps/place/?q=place_id:ChIJqcvjYH_pUjoRqx697piTVJ8,part_269,2026-09-20 19:22:54
Srinivasa Rice Mill,Rice and Grain Merchant,Rice mill,Rice mill,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",+91 97895 29357,N/A,4.0,1.0,"GQWQ+9VW, Theettalam, Tamil Nadu 603406",631402,12.5459949,79.78971469999999,ChIJBXv-ReEeUzoRcvLyX6sTWdY,https://www.google.com/maps/place/?q=place_id:ChIJBXv-ReEeUzoRcvLyX6sTWdY,part_269,2026-09-20 19:22:54
Sri Navaladiyan Mordan Rice Mondi,Rice and Grain Merchant,Rice wholesaler,Rice wholesaler,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",+91 97915 33437,N/A,,,"2/205, kandhpuri, Reddipatti, Koolipatti, Tamil Nadu 637002",kandhpuri,11.210752699999999,78.20821819999999,ChIJF_3bjzbJqzsR1jzBIyy2Fp0,https://www.google.com/maps/place/?q=place_id:ChIJF_3bjzbJqzsR1jzBIyy2Fp0,part_269,2026-09-20 19:22:54
M.RAMSINGH AGRO FOODS PRIVATE LIMITED,Rice and Grain Merchant,Rice mill,Rice mill,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",+91 99655 73385,http://ramsinghrice.com/,4.9,8.0,"B7, 290, Periyakulam - Cumbum Rd, Rathinam Nagar, Theni, Unjampatti, Tamil Nadu 625531",Rathinam Nagar,10.0408989,77.4940463,ChIJ07KfbSFrBzsRs6qj1l1PTeU,https://www.google.com/maps/place/?q=place_id:ChIJ07KfbSFrBzsRs6qj1l1PTeU,part_269,2026-09-20 19:22:55
Quality rice traders,Rice and Grain Merchant,Agricultural service,Agricultural service,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",+91 96770 06714,N/A,4.2,,"4/11, Valluvar Salai, Mahalakshmi Nagar, Azhakapuri Nagar, Ramapuram, Chennai, Tamil Nadu 600089","Mahalakshmi Nagar, Azhakapuri Nagar, Ramapuram",13.029789,80.1818881,ChIJB7l-ddRgUjoR4K_CsemLrJQ,https://www.google.com/maps/place/?q=place_id:ChIJB7l-ddRgUjoR4K_CsemLrJQ,part_269,2026-09-20 19:22:56
sivaji brand rice,Rice and Grain Merchant,Rice wholesaler,Rice wholesaler,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",+91 84287 79999,N/A,4.8,,"Sivaji Hitek foods Pvt Ltd, Medavakkam High Road, Ranga Nagar, Keelkattalai, Tambaram, Tamil Nadu 600117","Ranga Nagar, Keelkattalai",12.955408799999999,80.18667599999999,ChIJWwwNVspfUjoRFrw1pFwgMQ0,https://www.google.com/maps/place/?q=place_id:ChIJWwwNVspfUjoRFrw1pFwgMQ0,part_269,2026-09-20 19:22:56
P.sri ramulu,Rice and Grain Merchant,Agricultural service,Agricultural service,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",+91 44 4204 9081,N/A,5.0,,"21, Anna Pillai St, Parrys, George Town, Chennai, Tamil Nadu 600001","Parrys, George Town",13.0926329,80.2827629,ChIJUXg8tlBvUjoRD3qar82L9Lo,https://www.google.com/maps/place/?q=place_id:ChIJUXg8tlBvUjoRD3qar82L9Lo,part_269,2026-09-20 19:22:56
Sri kamalam rice traders,Rice and Grain Merchant,Rice wholesaler,Rice wholesaler,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",+91 95003 30476,N/A,,,"No.46F, Karukinil Amarnthaval Koil St, Pillaiyarpalayam, Kanchipuram, Tamil Nadu 631501",Pillaiyarpalayam,12.8276851,79.70315579999999,ChIJERz1A3LDUjoRmdqETUe4CMk,https://www.google.com/maps/place/?q=place_id:ChIJERz1A3LDUjoRmdqETUe4CMk,part_269,2026-09-20 19:22:56
Dhanawat market,Rice and Grain Merchant,Market,Market,631402,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Perambakkam S.O, Kilacheri B.O, Kondancheri B.O",N/A,N/A,4.6,32.0,"Hamalnagar Building, Shop 3, Near, Gangadham Chowk, Market Yard, Gultekadi, Pune, Maharashtra 411037","Market Yard, Gultekadi",18.487201799999998,73.8687863,ChIJx0nje5jBwjsR1BhvuTo1kQI,https://www.google.com/maps/place/?q=place_id:ChIJx0nje5jBwjsR1BhvuTo1kQI,part_269,2026-09-20 19:22:56
