business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Happy Village Retreat Centre, Brahma Kumaris",Yoga Center,Retreat center,"Retreat center, Meditation center, Yoga Retreat Center",631553,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Edayarpakkam S.O, Chellampattidai B.O, Ekanapuram B.O",+91 94453 90573,https://www.brahmakumaris.com/campuses/happy-village-chennai/,4.8,,"Sunguvarchatram, Podavur, Tamil Nadu 602108",631553,12.918771699999999,79.8464564,ChIJO3ny42XsUjoRhpitGMzAWw0,https://www.google.com/maps/place/?q=place_id:ChIJO3ny42XsUjoRhpitGMzAWw0,part_269,2026-09-20 19:26:15
ARUL SIDDHA YOGA GURUKULAM & YOGA MURUGAR ALAYAM,Yoga Center,Yoga studio,"Yoga studio, Ayurvedic clinic, Naturopathic practitioner, Meditation center",631553,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Edayarpakkam S.O, Chellampattidai B.O, Ekanapuram B.O",+91 98412 59954,http://www.apjyoga.org/,4.8,,"2/84, PERUMAL KOIL ST, KANGEYAN KUPPAM, Kankeyamkuppam, Tamil Nadu 603405",KANGEYAN KUPPAM,12.63584,80.0233473,ChIJ7Ro7zhP-UjoRAbw3Fky9YxU,https://www.google.com/maps/place/?q=place_id:ChIJ7Ro7zhP-UjoRAbw3Fky9YxU,part_269,2026-09-20 19:26:15
Sri narayana guru yoga centre,Yoga Center,Yoga studio,Yoga studio,631553,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Edayarpakkam S.O, Chellampattidai B.O, Ekanapuram B.O",N/A,N/A,5.0,,"1, Narasingarayar St, Pillaiyarpalayam, Kanchipuram, Tamil Nadu 631502",Pillaiyarpalayam,12.8388879,79.6999311,ChIJK5nX8g_DUjoRzjJaRRAn6jE,https://www.google.com/maps/place/?q=place_id:ChIJK5nX8g_DUjoRzjJaRRAn6jE,part_269,2026-09-20 19:26:15
Yoga Center,Yoga Center,Yoga studio,Yoga studio,631553,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Edayarpakkam S.O, Chellampattidai B.O, Ekanapuram B.O",N/A,N/A,,,"XM4G+7J, Sayanavaram, Tirumalpur, Tamil Nadu 631502",631553,12.955701699999999,79.676549,ChIJwy72cwDBUjoRNMKQhTKZ5WY,https://www.google.com/maps/place/?q=place_id:ChIJwy72cwDBUjoRNMKQhTKZ5WY,part_269,2026-09-20 19:26:15
Meditation and yoga centre Ekambarapuram,Yoga Center,Yoga Retreat Center,Yoga Retreat Center,631553,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Edayarpakkam S.O, Chellampattidai B.O, Ekanapuram B.O",N/A,N/A,5.0,,"RMXX+P9J, Periya, Kanchipuram, Tamil Nadu 631502",Periya,12.849013,79.698041,ChIJAXqA2NLDUjoR-VpOY3zLXAs,https://www.google.com/maps/place/?q=place_id:ChIJAXqA2NLDUjoR-VpOY3zLXAs,part_269,2026-09-20 19:26:15
"The Art of Living, Kanchipuram",Yoga Center,Meditation center,Meditation center,631553,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Edayarpakkam S.O, Chellampattidai B.O, Ekanapuram B.O",+91 80676 12345,http://www.artofliving.org/,5.0,,"71/23, Karukinil Amarthaval koil street, Thayarkulam St, Kanchipuram, Tamil Nadu 631501",Pillaiyarpalayam,12.827724,79.7015685,ChIJm24A5mLDUjoRilyRfmxc8-g,https://www.google.com/maps/place/?q=place_id:ChIJm24A5mLDUjoRilyRfmxc8-g,part_269,2026-09-20 19:26:15
PRANA YOGA,Yoga Center,Yoga studio,Yoga studio,631553,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Edayarpakkam S.O, Chellampattidai B.O, Ekanapuram B.O",N/A,N/A,5.0,,"50, 24, Perumal Street, Periya, Kanchipuram, Tamil Nadu 631502",Periya,12.8460571,79.7034707,ChIJDafdlxnDUjoRyp-V9DiJ8yU,https://www.google.com/maps/place/?q=place_id:ChIJDafdlxnDUjoRyp-V9DiJ8yU,part_269,2026-09-20 19:26:15
BeFit yoga centre of excellence trust,Yoga Center,Yoga studio,Yoga studio,631553,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Edayarpakkam S.O, Chellampattidai B.O, Ekanapuram B.O",+91 98949 40510,N/A,5.0,,"Plot no.130, blue horizon phase II, Amirtha garden, Salamangalam Road, Padappai, Mahanyam R.F., Tamil Nadu 601301",631553,12.882879899999999,79.9943057,ChIJERQskoHxUjoRNV141Vc99X8,https://www.google.com/maps/place/?q=place_id:ChIJERQskoHxUjoRNV141Vc99X8,part_269,2026-09-20 19:26:15
PRANA FLOW YOGASHALA,Yoga Center,Yoga studio,Yoga studio,631553,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Edayarpakkam S.O, Chellampattidai B.O, Ekanapuram B.O",+91 80561 51134,http://www.yogatherapyprakash.com/,5.0,,"5, Everest Nagar Ammanambakkam, Amanambakkam, Tamil Nadu 603003",Shanthasaraswathi Nagar,12.6926855,79.9976839,ChIJq_ZWvVP9UjoRiaYENNgqrLk,https://www.google.com/maps/place/?q=place_id:ChIJq_ZWvVP9UjoRiaYENNgqrLk,part_269,2026-09-20 19:26:15
Sri Aathma Yoga,Yoga Center,Yoga studio,Yoga studio,631553,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Edayarpakkam S.O, Chellampattidai B.O, Ekanapuram B.O",+91 86820 65033,http://www.sriaathmayoga.com/,5.0,46.0,"No.5/195, Singaram Nagar Mannivakkam ext., Vandalore, Chennai, Tamil Nadu 600048","Rasathi Kalaignar Nagar, Mannivakkam Extension",12.8859725,80.070831,ChIJASGo8Mb3UjoRTaJ5UNkVAYk,https://www.google.com/maps/place/?q=place_id:ChIJASGo8Mb3UjoRTaJ5UNkVAYk,part_269,2026-09-20 19:26:16
