business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Guganathan Provisional Store,Provision Store,General store,General store,631606,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Palayaseevaram S.O, Madhur B.O, Padur B.O",+91 99526 78230,N/A,3.0,4.0,"SH58, Pazhaiya Seevaram, Palayaseevaram, Tamil Nadu 631606",Pazhaiya Seevaram,12.7710326,79.866554,ChIJW21_CQnlUjoRv6LdWtehO7o,https://www.google.com/maps/place/?q=place_id:ChIJW21_CQnlUjoRv6LdWtehO7o,part_269,2026-09-20 19:29:53
KPS MULTI SHOP,Provision Store,Grocery store,"Grocery store, E-commerce service, Hotel, Supermarket",631606,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Palayaseevaram S.O, Madhur B.O, Padur B.O",+91 60006 97507,N/A,4.7,3.0,"KPS Multi Shop, 384, Main Road, Ullavur, Palayaseevaram, Tamil Nadu 631606",631606,12.788485999999999,79.890716,ChIJRcTVSnPlUjoRadtu36-2QbU,https://www.google.com/maps/place/?q=place_id:ChIJRcTVSnPlUjoRadtu36-2QbU,part_269,2026-09-20 19:29:53
KASI KANI STORE,Provision Store,General store,General store,631606,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Palayaseevaram S.O, Madhur B.O, Padur B.O",N/A,N/A,5.0,1.0,"1 Masuthi Street, Road, Ambakkam, Varanavasi, Tamil Nadu 631604",631606,12.831662099999999,79.8843649,ChIJqTJ1YpjvUjoRwqCWPx8J8R0,https://www.google.com/maps/place/?q=place_id:ChIJqTJ1YpjvUjoRwqCWPx8J8R0,part_269,2026-09-20 19:29:53
Sumathi General Store,Provision Store,General store,General store,631606,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Palayaseevaram S.O, Madhur B.O, Padur B.O",+91 78260 82498,N/A,,,"99, Vandalur Main Road, Devariyambakkam, Kanchipuram, Tamil Nadu 631606",631606,12.8193474,79.8692727,ChIJyZl8LabvUjoRhEUiha2I30M,https://www.google.com/maps/place/?q=place_id:ChIJyZl8LabvUjoRhEUiha2I30M,part_269,2026-09-20 19:29:53
BISMILLAH STORE,Provision Store,General store,General store,631606,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Palayaseevaram S.O, Madhur B.O, Padur B.O",N/A,N/A,,,"No.38 Kanchipuram Main Road Thollai Road, Thollai Village, Varanasi, Tamil Nadu 631604",Thollai Village,12.830999799999999,79.8847538,ChIJXSIn4ervUjoRgtCOkb6JJSY,https://www.google.com/maps/place/?q=place_id:ChIJXSIn4ervUjoRgtCOkb6JJSY,part_269,2026-09-20 19:29:53
Saravana store,Provision Store,General store,General store,631606,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Palayaseevaram S.O, Madhur B.O, Padur B.O",N/A,N/A,4.0,1.0,"QV25+PV4, MDR789, Palayaseevaram, Thirumukkudal, Tamil Nadu 631606",631606,12.751760299999999,79.8597961,ChIJbX2RmkvlUjoRJ0n21BQSwVs,https://www.google.com/maps/place/?q=place_id:ChIJbX2RmkvlUjoRJ0n21BQSwVs,part_269,2026-09-20 19:29:53
HARIDHARSHAN STORE,Provision Store,Grocery store,Grocery store,631606,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Palayaseevaram S.O, Madhur B.O, Padur B.O",+91 89408 37589,N/A,,,"1, 5main Road, Devariyambakkam, Tamil Nadu 631606",631606,12.8196658,79.86949969999999,ChIJVZOrgqXvUjoRgU8RqLO6GR4,https://www.google.com/maps/place/?q=place_id:ChIJVZOrgqXvUjoRgU8RqLO6GR4,part_269,2026-09-20 19:29:53
Periyasamy store,Provision Store,Grocery store,Grocery store,631606,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Palayaseevaram S.O, Madhur B.O, Padur B.O",N/A,N/A,5.0,3.0,"RV9C+GP4, Devariyambakkam, Tamil Nadu 631606",631606,12.819322,79.8723163,ChIJwcCd4v_vUjoRkql1lmgyDa8,https://www.google.com/maps/place/?q=place_id:ChIJwcCd4v_vUjoRkql1lmgyDa8,part_269,2026-09-20 19:29:53
WAHAB MALIGAI SHOP,Provision Store,General store,General store,631606,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Palayaseevaram S.O, Madhur B.O, Padur B.O",+91 96269 96482,N/A,4.8,,"Main Road, Pootai, Tamil Nadu 606401",631606,11.8938592,78.8872075,ChIJMdVM8N6drDsRD_KXxG4ENgk,https://www.google.com/maps/place/?q=place_id:ChIJMdVM8N6drDsRD_KXxG4ENgk,part_269,2026-09-20 19:29:54
Primus Mart,Provision Store,Supermarket,Supermarket,631606,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Palayaseevaram S.O, Madhur B.O, Padur B.O",+91 93848 00999,https://primusmart.com/,4.0,,"Ground floor, 6/994A, Thalambur Rd, Thazhambur, Chennai, Tamil Nadu 600130",631606,12.847608399999999,80.21216749999999,ChIJdxaKhDZbUjoRePZSuyCwXT4,https://www.google.com/maps/place/?q=place_id:ChIJdxaKhDZbUjoRePZSuyCwXT4,part_269,2026-09-20 19:29:54
AANDAL MALIGAI STORE,Provision Store,General store,General store,631606,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Palayaseevaram S.O, Madhur B.O, Padur B.O",+91 98424 42747,N/A,4.6,,"Mariamman Kovil St, Vikravandi, Tamil Nadu 605652",631606,12.031848199999999,79.5480722,ChIJ3aB5gsNRUzoRWncou_ubBcs,https://www.google.com/maps/place/?q=place_id:ChIJ3aB5gsNRUzoRWncou_ubBcs,part_269,2026-09-20 19:29:54
Ayya Super Shoppers,Provision Store,Grocery store,Grocery store,631606,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Palayaseevaram S.O, Madhur B.O, Padur B.O",+91 89393 47347,N/A,4.0,,"5, 42, Bharathi Salai, Kurinji Nagar, Ramapuram, Chennai, Tamil Nadu 600089","Kurinji Nagar, Ramapuram",13.032517499999999,80.17622759999999,ChIJa7EjgzdhUjoR9PQhRKlrQMQ,https://www.google.com/maps/place/?q=place_id:ChIJa7EjgzdhUjoR9PQhRKlrQMQ,part_269,2026-09-20 19:29:54
VIDYA MALIGAI,Provision Store,General store,General store,631606,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Palayaseevaram S.O, Madhur B.O, Padur B.O",+91 98435 01947,N/A,5.0,,"Main Road, Nedumanur, Tamil Nadu 606208",631606,11.8486053,78.9052411,ChIJWRljuOtjqzsRryVxSaaZ1qw,https://www.google.com/maps/place/?q=place_id:ChIJWRljuOtjqzsRryVxSaaZ1qw,part_269,2026-09-20 19:29:54
Doraisingh Supermarket,Provision Store,Grocery store,"Grocery store, Bag shop, Chocolate shop, Dairy, Gift shop, Grocery delivery service, Handbags shop, Home goods store, Kitchen supply store, Toiletries Store",631606,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Palayaseevaram S.O, Madhur B.O, Padur B.O",+91 98430 78430,N/A,4.2,,"1031, 1038, Cross Cut Rd, Gandhipuram, Coimbatore, Tamil Nadu 641012",631606,11.0171993,76.96722419999999,ChIJR8qVyVVYqDsRUOd2n09qJ1g,https://www.google.com/maps/place/?q=place_id:ChIJR8qVyVVYqDsRUOd2n09qJ1g,part_269,2026-09-20 19:29:54
OM SHANTI PROVISION STORE,Provision Store,Indian grocery store,Indian grocery store,631606,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Palayaseevaram S.O, Madhur B.O, Padur B.O",+91 73584 38612,N/A,5.0,,"Tiruveni bus stop, near by Hiranandani Park Tiruveni academy, Chennai, Valayakaranai, Tamil Nadu 603204",631606,12.8242394,79.9606326,ChIJbRnY1AHxUjoREehlk0yBu8Q,https://www.google.com/maps/place/?q=place_id:ChIJbRnY1AHxUjoREehlk0yBu8Q,part_269,2026-09-20 19:29:54
