business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
LOTUS FOOTWEAR ENTERPRISES,Footwear and Shoe Store,Shoe store,Shoe store,631701,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Akkur SO Tiruvannamalai, Madipakkam BO, Mathur BO",N/A,N/A,4.4,15.0,"SH 116, Mathur, Tamil Nadu 631701",631701,12.7256912,79.67005669999999,ChIJtZDkPHLdUjoR3c9okR8sNjI,https://www.google.com/maps/place/?q=place_id:ChIJtZDkPHLdUjoR3c9okR8sNjI,part_269,2026-09-20 19:30:38
NATIONAL SHOE MART,Footwear and Shoe Store,Shoe store,"Shoe store, Foot care",631701,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Akkur SO Tiruvannamalai, Madipakkam BO, Mathur BO",+91 90473 02739,N/A,5.0,15.0,"near BUS STAND, Pavazhakundur, Tiruvannamalai, Tamil Nadu 606601",Pavazhakundur,12.2392972,79.0725088,ChIJ_SS9RALBrDsRQWoqlr4lACw,https://www.google.com/maps/place/?q=place_id:ChIJ_SS9RALBrDsRQWoqlr4lACw,part_269,2026-09-20 19:30:38
Ash Shoes,Footwear and Shoe Store,Shoe store,Shoe store,631701,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Akkur SO Tiruvannamalai, Madipakkam BO, Mathur BO",+91 99942 29019,N/A,4.9,25.0,"6 kayethey, Millath St, Kayethey, Ganesapuram, Tiruvannamalai, Tamil Nadu 606601","Kayethey, Ganesapuram",12.2238443,79.0687272,ChIJ5xkCJW7BrDsRJRytt6qTjcw,https://www.google.com/maps/place/?q=place_id:ChIJ5xkCJW7BrDsRJRytt6qTjcw,part_269,2026-09-20 19:30:38
Paragon Footwear,Footwear and Shoe Store,Shoe store,Shoe store,631701,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Akkur SO Tiruvannamalai, Madipakkam BO, Mathur BO",+91 96774 69437,https://stores.paragonfootwear.com/paragon-footwear-tiruvanamalai-shoe-shop-pey-gopuram-street-tiruvannamalai-303333/Home?utm_source=locator&utm_medium=googleplaces,4.2,45.0,"No 23 Mannu Pillai Nagar, Pey Gopuram 3rd St, near Kvs Hospital, Pavazhakundur, Tiruvannamalai, Annamalai R.F., Tamil Nadu 606601",Pavazhakundur,12.2297976,79.0649901,ChIJ3zo7EbjBrDsR9xmIIHu3eks,https://www.google.com/maps/place/?q=place_id:ChIJ3zo7EbjBrDsR9xmIIHu3eks,part_269,2026-09-20 19:30:38
NATIONAL FOOTWEAR,Footwear and Shoe Store,Shoe store,Shoe store,631701,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Akkur SO Tiruvannamalai, Madipakkam BO, Mathur BO",+91 77087 85351,N/A,4.9,12.0,"BAZZAR STREET, Thellar, Tamil Nadu 604406",631701,12.4014022,79.5513394,ChIJsUyUab0xUzoRdjiNGYMC1Fw,https://www.google.com/maps/place/?q=place_id:ChIJsUyUab0xUzoRdjiNGYMC1Fw,part_269,2026-09-20 19:30:38
Feng Tay Shoe making factory,Footwear and Shoe Store,Shoe factory,Shoe factory,631701,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Akkur SO Tiruvannamalai, Madipakkam BO, Mathur BO",+91 4182 306 200,http://www.fengtay.com/,3.9,76.0,"Plot No. 3B, SIPCOT Industrial Park, Mangal Village, Mathur Post, Taluk, Vembakkam, Tamil Nadu 631701",631701,12.723343499999999,79.66612479999999,ChIJXfVDym7cUjoRYnkcX5FS5xc,https://www.google.com/maps/place/?q=place_id:ChIJXfVDym7cUjoRYnkcX5FS5xc,part_269,2026-09-20 19:30:38
RANGOON SHOE MART,Footwear and Shoe Store,Shoe store,Shoe store,631701,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Akkur SO Tiruvannamalai, Madipakkam BO, Mathur BO",+91 99443 55329,N/A,5.0,3.0,"63JC+698 RMP Building, 39, Car St, Tiruvennanallur, Tiruvannamalai, Tamil Nadu 606601",Tiruvennanallur,12.2305049,79.0708824,ChIJkZ3_FdjBrDsRJzKLTJTWfs4,https://www.google.com/maps/place/?q=place_id:ChIJkZ3_FdjBrDsRJzKLTJTWfs4,part_269,2026-09-20 19:30:38
"Bata Shoe Store - Thamarai Nagar, Tiruvannamalai",Footwear and Shoe Store,Shoe store,"Shoe store, Bag shop, Belt shop, Boot store, Clothing store",631701,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Akkur SO Tiruvannamalai, Madipakkam BO, Mathur BO",+91 85310 60970,https://stores.bata.com/bata-shoes-sandals-store-in-thamarai-nagar-tiruvannamalai,3.6,76.0,"1st Floor, 22, Coast Road, Thamarai Nagar, Tiruvannamalai, Tamil Nadu 606601",Thamarai Nagar,12.225090199999999,79.06044279999999,ChIJSx_PZRPBrDsRklGgX1nFz10,https://www.google.com/maps/place/?q=place_id:ChIJSx_PZRPBrDsRklGgX1nFz10,part_269,2026-09-20 19:30:38
Paragon Footwear,Footwear and Shoe Store,Shoe store,Shoe store,631701,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Akkur SO Tiruvannamalai, Madipakkam BO, Mathur BO",+91 89404 59459,https://stores.paragonfootwear.com/paragon-footwear-shiva-electronics-shoe-shop-neru-nagar-tiruvannamalai-304657/Home?utm_source=locator&utm_medium=googleplaces,4.5,4.0,"EB office, No 1597, Vengikkal Rd, Nehru Nagar, ashok nagar, Vengikkal, Vellore, Tiruvannamalai, Tamil Nadu 606604","Nehru Nagar, ashok nagar, Vengikkal",12.257059199999999,79.06917829999999,ChIJyRIxvJrBrDsRCYAH0Qs_hH0,https://www.google.com/maps/place/?q=place_id:ChIJyRIxvJrBrDsRCYAH0Qs_hH0,part_269,2026-09-20 19:30:38
Walker Shoe Mart,Footwear and Shoe Store,Shoe store,Shoe store,631701,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Akkur SO Tiruvannamalai, Madipakkam BO, Mathur BO",+91 90433 16205,N/A,3.7,28.0,"Chinnakadai St, Mathalangulam, Tiruvannamalai, Tamil Nadu 606601",Mathalangulam,12.233955799999999,79.0706639,ChIJ4w_o0Y7ArDsR_0QSi7FeyBI,https://www.google.com/maps/place/?q=place_id:ChIJ4w_o0Y7ArDsR_0QSi7FeyBI,part_269,2026-09-20 19:30:38
