business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Sri Milk Parlour,Dairy and Milk Parlour,Dairy store,Dairy store,631604,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Thenneri S.O, Echoor B.O, Kunnam B.O",N/A,N/A,3.8,71.0,"Slns complex, Molasur, Thiruvalluvar Rd, Chennai, Tamil Nadu 602106",631604,12.927508399999999,79.87776509999999,ChIJD4Xy6zjtUjoR2JUdy3BgUVo,https://www.google.com/maps/place/?q=place_id:ChIJD4Xy6zjtUjoR2JUdy3BgUVo,part_269,2026-09-20 19:28:36,71239
Kabilai Farm - Fresh Cow Milk,Dairy and Milk Parlour,Dairy farm,"Dairy farm, Milk delivery service, Dairy Products Supplier",631604,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Thenneri S.O, Echoor B.O, Kunnam B.O",+91 99624 11211,https://www.kabilaifarm.com/,4.8,423.0,"Door No 1, Plot No 5, Indian Colony, Balaji Nagar, Keelkattalai, Tambaram, Tamil Nadu 600117","Indian Colony, Balaji Nagar, Keelkattalai",12.9571322,80.17961,ChIJP-y4ZcVfUjoReoN8osLgPVg,https://www.google.com/maps/place/?q=place_id:ChIJP-y4ZcVfUjoReoN8osLgPVg,part_269,2026-09-20 19:28:36,71240
Nandhaa Dairy farm,Dairy and Milk Parlour,Dairy farm,"Dairy farm, Milk delivery service",631604,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Thenneri S.O, Echoor B.O, Kunnam B.O",+91 98403 38015,http://www.nandhaadairyfarm.com/,4.7,163.0,"Madurai Veeran Koil St, CIT Nagar East, CIT Nagar, Chennai, Tamil Nadu 600017","CIT Nagar East, CIT Nagar",13.0324368,80.23413099999999,ChIJO1tElVJnUjoRYLKSJ76J1IA,https://www.google.com/maps/place/?q=place_id:ChIJO1tElVJnUjoRYLKSJ76J1IA,part_269,2026-09-20 19:28:36,71241
HAP daily,Dairy and Milk Parlour,Dairy store,"Dairy store, Dairy, Dairy Products Supplier, Food products supplier, Health food store, Ice cream shop, Milk delivery service",631604,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Thenneri S.O, Echoor B.O, Kunnam B.O",+91 99624 44006,https://www.hapdaily.com/,4.7,,"17, Sannathi St, opp. Temple Parking, Ramanujar Nagar, Sriperumbudur, Tamil Nadu 602105",Ramanujar Nagar,12.9685221,79.9487694,ChIJA0hpoBfzUjoRTcfwT8BtZsA,https://www.google.com/maps/place/?q=place_id:ChIJA0hpoBfzUjoRTcfwT8BtZsA,part_269,2026-09-20 19:28:37,71242
Aavin parlour,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,631604,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Thenneri S.O, Echoor B.O, Kunnam B.O",+91 86677 45603,https://aavin.tn.gov.in/our-parlours,4.7,,"Mudichur Rd, MGR Nagar, Chennai, Mudichur, Tamil Nadu 600048",MGR Nagar,12.9073543,80.0676093,ChIJ0RPcudr1UjoRRi7SW1b7dLM,https://www.google.com/maps/place/?q=place_id:ChIJ0RPcudr1UjoRRi7SW1b7dLM,part_269,2026-09-20 19:28:37,71243
M.M.k Provision Store,Provision Store,Wholesaler,"Wholesaler, General store",631604,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Thenneri S.O, Echoor B.O, Kunnam B.O",+91 63855 67873,N/A,,,"58/3B, Singaperumal Koil - Sriperumbudur Rd, next to ICICI Bank, Oragadam Industrial Corridor, Oragadam, Tamil Nadu 602118",Oragadam Industrial Corridor,12.8411032,79.9453774,ChIJwRvhOXnxUjoRjo3Rmb8fWOg,https://www.google.com/maps/place/?q=place_id:ChIJwRvhOXnxUjoRjo3Rmb8fWOg,part_269,2026-09-20 19:28:36,71271
BUDHANATH SUPER MARKET,Provision Store,General store,General store,631604,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Thenneri S.O, Echoor B.O, Kunnam B.O",+91 88259 42997,N/A,5.0,,"Oragadam Industrial Corridor, 48vallakottai, Panruti, Tamil Nadu 631604",Oragadam Industrial Corridor,12.844904,79.9320566,ChIJz6ZZFRXxUjoRST3PVj3Ho_g,https://www.google.com/maps/place/?q=place_id:ChIJz6ZZFRXxUjoRST3PVj3Ho_g,part_269,2026-09-20 19:28:36,71272
Kishore Stall,Provision Store,General store,General store,631604,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Thenneri S.O, Echoor B.O, Kunnam B.O",+91 95979 53766,N/A,5.0,,"Neru Street, Oragadam Industrial Corridor, Sennakuppam, Oragadam, Tamil Nadu 602118",Oragadam Industrial Corridor,12.841382699999999,79.94495069999999,ChIJCZjp-LjxUjoRfcv8PAYRYe4,https://www.google.com/maps/place/?q=place_id:ChIJCZjp-LjxUjoRfcv8PAYRYe4,part_269,2026-09-20 19:28:36,71273
Vijayaganpathi General Store,Provision Store,General store,General store,631604,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Thenneri S.O, Echoor B.O, Kunnam B.O",+91 98944 51736,N/A,,,"Rwrf+Hc6, Walajabad Main Raod, Oragadam, Kandigai Rd, Kushwaha nagar, Tamil Nadu 631604",631604,12.8414361,79.92352079999999,ChIJu-MUtdTxUjoRlYuxwacRcjQ,https://www.google.com/maps/place/?q=place_id:ChIJu-MUtdTxUjoRlYuxwacRcjQ,part_269,2026-09-20 19:28:36,71274
MDA STORE NEW,Provision Store,General store,General store,631604,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Thenneri S.O, Echoor B.O, Kunnam B.O",+91 99945 00355,N/A,4.6,,"varanasiBus Stop, No12, Walajabath, Tamil Nadu 631604",631604,12.8319256,79.8834633,ChIJ-4BlKy7vUjoRm-ix0zPDXXM,https://www.google.com/maps/place/?q=place_id:ChIJ-4BlKy7vUjoRm-ix0zPDXXM,part_269,2026-09-20 19:28:36,71275
