business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Karthi Travels,Bus Booking Agency,Tour operator,"Tour operator, Car leasing service, Car rental agency, Recreational vehicle rental agency, Sightseeing Tour Operator, Tour agency, Van rental agency",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 96555 02002,https://www.karthitravels.com/,4.7,417.0,"07, Infantry Rd, opp. to TTD Information Center, near Fire Station Building, Vasanthapuram, Kosapet, Vellore, Tamil Nadu 632001","Vasanthapuram, Kosapet",12.9139094,79.1318524,ChIJiWO6nMI4rTsRjiJKqcr0lCk,https://www.google.com/maps/place/?q=place_id:ChIJiWO6nMI4rTsRjiJKqcr0lCk,part_270,2026-09-20 19:01:54,2012
Sri Balaji Travels,Bus Booking Agency,Travel agency,"Travel agency, Bus ticket agency, Train ticket office",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 96297 32495,N/A,4.9,318.0,"SHOP NO 2, VDM GUEST HOUSE, New Bus Stand, opp. to chelliyamman temple, Samuel Nagar, Thottapalayam, Vellore, Tamil Nadu 632004","Samuel Nagar, Thottapalayam",12.935068399999999,79.13883009999999,ChIJ24uLLjI5rTsRoSsHN93JSek,https://www.google.com/maps/place/?q=place_id:ChIJ24uLLjI5rTsRoSsHN93JSek,part_270,2026-09-20 19:01:54,2013
Srinidhi Tours & Travels Vellore,Bus Booking Agency,Travel agency,"Travel agency, Sightseeing Tour Operator, Taxi service",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 99942 68089,https://srinidhitravels.vercel.app/,4.9,268.0,"Back Said, CMC Hospital, 98, Thottapalayam Pillayar Koil St, near Arpudham Apartment lodge, Thottapalayam, Vellore, Tamil Nadu 632004",Thottapalayam,12.926288699999999,79.13520729999999,ChIJpb51nKA5rTsRPVxNSNchtNA,https://www.google.com/maps/place/?q=place_id:ChIJpb51nKA5rTsRPVxNSNchtNA,part_270,2026-09-20 19:01:54,2014
Khan's Tours And Travels,Bus Booking Agency,Travel agency,"Travel agency, Airline ticket agency, Car leasing service, Currency exchange service, Information services, Passport Agent, Print shop, Tour operator, Train ticket office, Visa Agent",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 80156 57754,https://www.justdial.com/Vellore/Khans-Tours-and-Travels-Near-K-V-B-Bank-CMC/9999PX416-X416-190517120701-H8G3_BZDET,4.7,133.0,"Sukkaiyavadhiyar St, near CMC Hospital, opp. Kvb bank, Sripuram, Vellore, Tamil Nadu 632004",Sripuram,12.9238012,79.1362668,ChIJ4RDbyJQ4rTsRUcu24pHpPHw,https://www.google.com/maps/place/?q=place_id:ChIJ4RDbyJQ4rTsRUcu24pHpPHw,part_270,2026-09-20 19:01:54,2015
Harshita travels,Bus Booking Agency,Travel agency,Travel agency,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 94432 75780,N/A,5.0,129.0,"No14, Raman St, Vasanthapuram, Kosapet, Vellore, Tamil Nadu 632001","Vasanthapuram, Kosapet",12.9122375,79.1319973,ChIJObm9vs05rTsR_0YxbbU3Knc,https://www.google.com/maps/place/?q=place_id:ChIJObm9vs05rTsR_0YxbbU3Knc,part_270,2026-09-20 19:01:54,2016
LIMRA TRAVELS & HOLIDAYS VELLORE,Bus Booking Agency,Taxi service,"Taxi service, Bus tour agency, Car leasing service, Minibus taxi service, Tour operator",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 95668 33014,http://limratravelsvellore.my.canva.site/,4.9,44.0,"OLD BUS STAND, NO 40, near CMC HOS, near CMC Hospital, Vellore, Tamil Nadu 632001",Shenbakkam,12.9269105,79.121787,ChIJ9c_EoEo5rTsRsyt2GeiVbBo,https://www.google.com/maps/place/?q=place_id:ChIJ9c_EoEo5rTsRsyt2GeiVbBo,part_270,2026-09-20 19:01:54,2017
Vellore Yathra Tours And Travels,Bus Booking Agency,Travel agency,Travel agency,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 78670 00777,https://velloreyathra.com/,4.8,686.0,"30/6, 1st East Main Rd, Suthanthira Ponvizha Nagar, Mottur, Gandhi Nagar, Vellore, Tamil Nadu 632006","Suthanthira Ponvizha Nagar, Mottur, Gandhi Nagar",12.950402799999999,79.1373861,ChIJSy7jDJo4rTsRvPByObQGmXU,https://www.google.com/maps/place/?q=place_id:ChIJSy7jDJo4rTsRvPByObQGmXU,part_270,2026-09-20 19:01:54,2018
MKM TOURIST BUS Vellore,Bus Booking Agency,Tour operator,"Tour operator, Sightseeing Tour Operator",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 86101 10638,N/A,4.7,231.0,"213/2, Old Bypass Rd, near Vellore Fort, Thottapalayam, Vellore, Tamil Nadu 632004",Thottapalayam,12.926552,79.1288774,ChIJDU8A8b44rTsRqerh7K8DvQA,https://www.google.com/maps/place/?q=place_id:ChIJDU8A8b44rTsRqerh7K8DvQA,part_270,2026-09-20 19:01:54,2019
R S Travels,Bus Booking Agency,Bus ticket agency,"Bus ticket agency, Airline ticket agency, Railway Ticket Agent, Travel agency",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 416 420 3900,N/A,4.6,13.0,"MAIN GATE, 84, Arcot Rd, opp. CMC Hospital, Sripuram, Beripettai, Vellore, Tamil Nadu 632004","Sripuram, Beripettai",12.923872,79.1351652,ChIJqTs0c5M4rTsRBl290xf9JIo,https://www.google.com/maps/place/?q=place_id:ChIJqTs0c5M4rTsRBl290xf9JIo,part_270,2026-09-20 19:01:54,2020
Devaki Travels,Bus Booking Agency,Travel agency,Travel agency,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 99446 50495,N/A,3.4,99.0,"Thottapalayam, Vellore, Tamil Nadu 632004",Thottapalayam,12.931282,79.1352429,ChIJDUMO9kY5rTsRgMZZYjNqpm0,https://www.google.com/maps/place/?q=place_id:ChIJDUMO9kY5rTsRgMZZYjNqpm0,part_270,2026-09-20 19:01:54,2021
APL Bus Service Tourist,Bus Booking Agency,Bus tour agency,Bus tour agency,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 94431 66047,https://aplbusservice.lyzoo.co.in/,3.3,12.0,"No.254, Bus Stop, 4, Arcot Rd, Rangapuram, Sathuvachari, Vellore, Tamil Nadu 632004","Rangapuram, Sathuvachari",12.9260135,79.133265,ChIJcdIHm3o5rTsRd0eH4N1eZyo,https://www.google.com/maps/place/?q=place_id:ChIJcdIHm3o5rTsRd0eH4N1eZyo,part_270,2026-09-20 19:01:54,2022
RASHI TOURS & TRAVELS,Bus Booking Agency,Travel agency,Travel agency,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 78459 57766,N/A,4.9,52.0,"11, Latif Basha St, Sripuram, Saidapet, Vellore, Tamil Nadu 632004","Sripuram, Saidapet",12.9231122,79.1368569,ChIJfRqYTOs4rTsRuiP-buwp_dU,https://www.google.com/maps/place/?q=place_id:ChIJfRqYTOs4rTsRuiP-buwp_dU,part_270,2026-09-20 19:01:54,2023
