business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
New Maharani Ice Cream,Ice Cream Parlour,Dairy store,"Dairy store, Cafe",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 63802 25808,N/A,4.9,30.0,"5 THULASINGAM, Venkatachala Pillai St, Sankaranpalayam, Vellore, Tamil Nadu 632001","Krishna Nagar, Sankaranpalayam",12.8997374,79.13444539999999,ChIJIbpoPXY5rTsRtLKTVPNiqTw,https://www.google.com/maps/place/?q=place_id:ChIJIbpoPXY5rTsRtLKTVPNiqTw,part_270,2026-09-20 19:01:45,630
FROZEN FOUNTAIN,Ice Cream Parlour,Ice cream shop,"Ice cream shop, Dessert shop",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 97863 89281,N/A,4.7,12.0,"37, othavaadai, 3rd St, Kaspa, Vellore, Tamil Nadu 632001",Kaspa,12.906143199999999,79.1269736,ChIJN8XjA9w4rTsR97sW1aQdsMw,https://www.google.com/maps/place/?q=place_id:ChIJN8XjA9w4rTsR97sW1aQdsMw,part_270,2026-09-20 19:01:45,631
Ice bay vellore otteri,Ice Cream Parlour,Ice cream shop,Ice cream shop,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",N/A,N/A,5.0,53.0,"No: 170, Arni Rd, Virupatchipuram, Vellore, Tamil Nadu 632002",Virupatchipuram,12.8876847,79.1357763,ChIJ385pCCI5rTsR-4cdxB_dmAw,https://www.google.com/maps/place/?q=place_id:ChIJ385pCCI5rTsR-4cdxB_dmAw,part_270,2026-09-20 19:01:45,632
Mathaji ice cream,Ice Cream Parlour,Ice cream shop,Ice cream shop,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 97513 25142,N/A,4.6,62.0,"1, 1st Main Rd, Anna Nagar, Krishna Nagar, TollGate, Vellore, Tamil Nadu 632001","Anna Nagar, Krishna Nagar, TollGate",12.898385,79.13278869999999,ChIJYRBfgGs5rTsR91ag7tz1lqM,https://www.google.com/maps/place/?q=place_id:ChIJYRBfgGs5rTsR91ag7tz1lqM,part_270,2026-09-20 19:01:45,633
Amul ice- cream parlour L. R. K LAKSHIMI NARMADA DURAIRAJ FUEL,Ice Cream Parlour,Ice cream shop,Ice cream shop,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 99941 37545,N/A,4.8,16.0,"25, Officer's Line, opposite to dominos, Krishna Nagar, Kosapet, Vellore, Tamil Nadu 632001","Krishna Nagar, Kosapet",12.9023127,79.1314543,ChIJebJtNxk5rTsR80waF5l9m-c,https://www.google.com/maps/place/?q=place_id:ChIJebJtNxk5rTsR80waF5l9m-c,part_270,2026-09-20 19:01:45,634
Shiv Amarnath Ice Cream parlour,Ice Cream Parlour,Ice cream shop,Ice cream shop,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 97863 81095,N/A,3.9,128.0,"23, Jayarama Chetty Road, Main Bazaar Rd, Sripuram, Saidapet, Vellore, Tamil Nadu 632004","Sripuram, Saidapet",12.9207855,79.13535519999999,ChIJL347A-s4rTsRD2_o6ydYhCA,https://www.google.com/maps/place/?q=place_id:ChIJL347A-s4rTsRD2_o6ydYhCA,part_270,2026-09-20 19:01:45,635
Dairy Rich Ice Cream(Sri Venkateshwara Ice Cream Distributor,Ice Cream Parlour,Ice cream shop,Ice cream shop,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",N/A,N/A,4.4,61.0,"V4XM+W29, New Sankaranpalayam Rd, KK Nagar, Krishna Nagar, Veerasamy Nagar, Vellore, Tamil Nadu 632001","KK Nagar, Krishna Nagar, Veerasamy Nagar",12.8997893,79.1326084,ChIJZcVlbR85rTsR5ARtEmyJu6w,https://www.google.com/maps/place/?q=place_id:ChIJZcVlbR85rTsR5ARtEmyJu6w,part_270,2026-09-20 19:01:45,636
Skye amul parlour,Ice Cream Parlour,Ice cream shop,Ice cream shop,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 82484 80490,N/A,4.8,19.0,"Anna Street, near Thanthai Periyar Polytechnic Bus Stand, Sivaramapuram, Vellore, Tamil Nadu 632002",Sivaramapuram,12.8785217,79.1248391,ChIJuUFtIsk5rTsRwiCGahJy3lg,https://www.google.com/maps/place/?q=place_id:ChIJuUFtIsk5rTsRwiCGahJy3lg,part_270,2026-09-20 19:01:45,637
"Frozen Bottle - Milkshakes, Desserts and Ice Cream",Ice Cream Parlour,Ice cream shop,"Ice cream shop, Dessert shop, Dessert restaurant",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 97910 52114,https://store.frozenbottle.com/frozen-bottle/milkshake-and-ice-cream-cafe-in-vellore/milkshake-and-ice-cream-cafe-in-katpadi/frozen-bottle-in-katpadi-vellore--4fcd27f7-9b36-4bf8-8b41-d41c87daa6b6/home,4.7,230.0,"Ward 8, Corporation I, Shop No 586/17, 1st Floor, Surya Complex, New, Road, opposite to VIT Road, Katpadi, Thiruvallam, Vellore, Tamil Nadu 632014","Vaibhav Nagar, Katpadi",12.9679711,79.1559348,ChIJ431HMfhjUjoRg0gxf6qZuAU,https://www.google.com/maps/place/?q=place_id:ChIJ431HMfhjUjoRg0gxf6qZuAU,part_270,2026-09-20 19:01:45,638
Amul Ice-cream & Coffee,Ice Cream Parlour,Ice cream shop,"Ice cream shop, Coffee shop",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 98940 25597,N/A,4.6,18.0,"Maharani Ice Cream, Officer's Line, opposite Vellore, Vasanthapuram, Kosapet, Vellore, Tamil Nadu 632001","Vasanthapuram, Kosapet",12.9124818,79.1320404,ChIJJ0KBqMI4rTsRt0bOqL6FGeM,https://www.google.com/maps/place/?q=place_id:ChIJJ0KBqMI4rTsRt0bOqL6FGeM,part_270,2026-09-20 19:01:45,639
