business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
HM Traders - Scrap Dealers/Scrap Wholesaler/All Scrap Dealers,Scrap Dealer and Raddi Wholesaler,Waste management service,"Waste management service, Iron & Steel Store",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",N/A,http://www.hmtraders.com/,4.5,,"TS No: No, No: 9/1 G-A, 1454 5, Dharmaraja Kovil St, Thottapalayam, Vellore, Tamil Nadu 632004",Thottapalayam,12.9272811,79.1320374,ChIJ_6hQXpQ4rTsR55LVXlo0xaI,https://www.google.com/maps/place/?q=place_id:ChIJ_6hQXpQ4rTsR55LVXlo0xaI,part_270,2026-09-20 19:02:11,4307
RNS Recycle Enterprises,Scrap Dealer and Raddi Wholesaler,Waste management service,"Waste management service, Salvage yard, Kabadiwala & Scrap Merchant, Scrap metal dealer",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 93445 55575,https://rns-sustainable-solutions.in/,5.0,,"1, Pillaiyar Kovil St, behind BTM. Mahal, Suthanthira Ponvizha Nagar, Gandhinagar West, Katpadi, Vellore, Tamil Nadu 632006","Suthanthira Ponvizha Nagar, Gandhinagar West, Katpadi",12.9504655,79.13161319999999,ChIJP0QCRhJYxSEROUdOKEqFkJs,https://www.google.com/maps/place/?q=place_id:ChIJP0QCRhJYxSEROUdOKEqFkJs,part_270,2026-09-20 19:02:11,4308
trade2cart,Scrap Dealer and Raddi Wholesaler,Recycling center,Recycling center,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",N/A,N/A,5.0,,"X4RM+WFV, near by pd office, opposite nayara petrol bunk, RadhaKrishnan Nagar, Katpadi, Vellore, Melvishram, Tamil Nadu 632059","RadhaKrishnan Nagar, Katpadi",12.992322099999999,79.1336934,ChIJ2c8TCwlHrTsRk1hsPcSZMws,https://www.google.com/maps/place/?q=place_id:ChIJ2c8TCwlHrTsRk1hsPcSZMws,part_270,2026-09-20 19:02:11,4309
Sri ganesha old paper and e -waste mart,Scrap Dealer and Raddi Wholesaler,Kabadiwala & Scrap Merchant,Kabadiwala & Scrap Merchant,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 96206 76626,N/A,5.0,,"No. 46.4th cross, 8th Main Cross Rd, Ganesha Block, Nandini Layout, Bengaluru, Karnataka 560096","Ganesha Block, Nandini Layout",13.0098481,77.5431771,ChIJewcQGHA9rjsRh2Rr6kmjM1o,https://www.google.com/maps/place/?q=place_id:ChIJewcQGHA9rjsRh2Rr6kmjM1o,part_270,2026-09-20 19:02:11,4310
MSK Traders - Scrap Buyer,Scrap Dealer and Raddi Wholesaler,Scrap metal dealer,Scrap metal dealer,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 96001 41379,https://chennaiscrapbuyer.in/,4.9,,"Jeevarathnam 2nd Street, Shanthi Nagar, Ksr Nagar, Ambattur, Chennai, Tamil Nadu 600053","Shanthi Nagar, Ksr Nagar, Ambattur",13.1026238,80.1571845,ChIJK0rL8LhjUjoRsfKBDMDxtDQ,https://www.google.com/maps/place/?q=place_id:ChIJK0rL8LhjUjoRsfKBDMDxtDQ,part_270,2026-09-20 19:02:11,4311
Scrap buyers,Scrap Dealer and Raddi Wholesaler,Scrap metal dealer,"Scrap metal dealer, Garbage collection service, Garbage dump, Recycling center, Salvage yard, Kabadiwala & Scrap Merchant, Solid waste engineer",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",N/A,N/A,5.0,,"Bannerghatta Rd, Jayanagara 9th Block, BTM 1st Stage, Bengaluru, Karnataka 560029","Jayanagara 9th Block, BTM 1st Stage",12.9199726,77.6000171,ChIJaXwhcFwVrjsRWqqb41OxIF4,https://www.google.com/maps/place/?q=place_id:ChIJaXwhcFwVrjsRWqqb41OxIF4,part_270,2026-09-20 19:02:11,4312
JB Steel Scrap Dealers,Scrap Dealer and Raddi Wholesaler,Scrap metal dealer,Scrap metal dealer,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 99459 09873,https://jbsteelscrapdealers.com/,4.8,,"28th Main Road, 1, 39th Cross Rd, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560069","Kottapalya, Jayanagara 9th Block, Jayanagar",12.9201413,77.59037049999999,ChIJkb43mHkVrjsRXJ65-iw3ooM,https://www.google.com/maps/place/?q=place_id:ChIJkb43mHkVrjsRXJ65-iw3ooM,part_270,2026-09-20 19:02:11,4313
Scrapzone - Your Door Step Scrap Pickup Service,Scrap Dealer and Raddi Wholesaler,Scrap metal dealer,"Scrap metal dealer, Disposable Items shop, Garbage collection service, Garbage dump, Junk dealer, Recycling center, Salvage yard, Kabadiwala & Scrap Merchant, Waste management service",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 93432 21221,https://scrapzone.in/,4.6,,"1760, 18th B Main Rd, Kottapalya, 4th T Block East, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041","Kottapalya, 4th T Block East, Jayanagara 9th Block, Jayanagar",12.9186988,77.59006459999999,ChIJa9t9FCs-rjsRA5jY7WwXQ-s,https://www.google.com/maps/place/?q=place_id:ChIJa9t9FCs-rjsRA5jY7WwXQ-s,part_270,2026-09-20 19:02:11,4314
SPP ENTERPRISES,Scrap Dealer and Raddi Wholesaler,Waste management service,Waste management service,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 72999 17239,http://sppenterprises.in/,4.9,,"No.160/6A, National Highway, Taluk, Mambakkam, Pondur, Tamil Nadu 602106",Mambakkam,12.928739,79.9128619,ChIJrenLpz3tUjoRdK2qodY8lBg,https://www.google.com/maps/place/?q=place_id:ChIJrenLpz3tUjoRdK2qodY8lBg,part_270,2026-09-20 19:02:11,4315
Rose traders,Scrap Dealer and Raddi Wholesaler,Scrap metal dealer,"Scrap metal dealer, Business center",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 93448 57549,N/A,4.0,,"S.F.NO.361,M.S.NAGAR, Podanur, Tamil Nadu 641023",Thirumarai Nagar,10.969609,76.9698185,ChIJa72yXRpbqDsRbSa9_cOsRpU,https://www.google.com/maps/place/?q=place_id:ChIJa72yXRpbqDsRbSa9_cOsRpU,part_270,2026-09-20 19:02:11,4316
Poovai Kumar Waste Paper Mart & Traders,Scrap Dealer and Raddi Wholesaler,Wholesaler household appliances,Wholesaler household appliances,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 99405 35053,N/A,5.0,,"17, NSK Rd, Vanuvampet, Nanganallur, Chennai, Tamil Nadu 600061","Vanuvampet, Nanganallur",12.9820161,80.19418979999999,ChIJP6U25a9dUjoRRbAnYKJXmZc,https://www.google.com/maps/place/?q=place_id:ChIJP6U25a9dUjoRRbAnYKJXmZc,part_270,2026-09-20 19:02:11,4317
Trade2cart,Scrap Dealer and Raddi Wholesaler,Kabadiwala & Scrap Merchant,"Kabadiwala & Scrap Merchant, Service establishment",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",N/A,https://www.trade2cart.in/,,,"Trade2cart, 632001, India",632001,13.1311517,79.5436167,ChIJma-gjveLKQgR96PH2MRO2Dg,https://www.google.com/maps/place/?q=place_id:ChIJma-gjveLKQgR96PH2MRO2Dg,part_270,2026-09-20 19:02:11,4318
Krithivika Traders,Scrap Dealer and Raddi Wholesaler,Wholesaler,Wholesaler,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 99806 20045,N/A,,,"G V nagar, Koranthangal road, Brahmapuram, Vellore, Tamil Nadu 632014",632001,12.9695244,79.18270199999999,ChIJaVhrZlVHrTsRj69qzc4C81M,https://www.google.com/maps/place/?q=place_id:ChIJaVhrZlVHrTsRj69qzc4C81M,part_270,2026-09-20 19:02:11,4319
