business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Menaka Card - Vellore(Company Outlet),Wedding Invitation Card Printer,Invitation printing service,Invitation printing service,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 63857 43334,https://www.menakacard.in/,4.9,,"56/2, Katpadi Rd, Thottapalayam, Vellore, Tamil Nadu 632004",Thottapalayam,12.9261562,79.1333647,ChIJVXE9gDI5rTsR7V0v2qrW1vc,https://www.google.com/maps/place/?q=place_id:ChIJVXE9gDI5rTsR7V0v2qrW1vc,part_270,2026-09-20 19:02:07,3756
Sri Sai Saraswathi Cards and Paper,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Bag shop",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 93453 00986,N/A,4.9,,"No 1A valasa street 1st floor prayush plaza, Tamil Nadu 632001","Vasanthapuram, Kosapet",12.911233,79.1309313,ChIJx0TxceU5rTsREXjb0MTzkGk,https://www.google.com/maps/place/?q=place_id:ChIJx0TxceU5rTsREXjb0MTzkGk,part_270,2026-09-20 19:02:07,3757
RKH Wedding Cards,Wedding Invitation Card Printer,Invitation printing service,Invitation printing service,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 82489 12718,https://www.instagram.com/r.k.h_wedding_cards?utm_source=qr&igsh=OGhrbnY3cmhidmJl,5.0,,"45, Battai St, Velapadi, Vellore, Tamil Nadu 632001",Velapadi,12.9044487,79.1359066,ChIJYUF5Rc05rTsRzODi8oLScpo,https://www.google.com/maps/place/?q=place_id:ChIJYUF5Rc05rTsRzODi8oLScpo,part_270,2026-09-20 19:02:07,3758
Vijay arts vellore- Digital Printing/Offset Printing/Wedding Invitation/Visiting Cards/Sign Boards,Wedding Invitation Card Printer,Digital printing service,Digital printing service,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 74183 38985,N/A,4.4,,"No: 381/1A, TVS COMPLEX, Vanjur Main Road, near Vanjur, Railway Gate, Kalinjur, Vellore, Tamil Nadu 632006","Railway Gate, Kalinjur",12.9518536,79.12311079999999,ChIJmXPYUQc_rTsRDrY2YIDkqNA,https://www.google.com/maps/place/?q=place_id:ChIJmXPYUQc_rTsRDrY2YIDkqNA,part_270,2026-09-20 19:02:07,3759
Padmavathi Elite Cards,Wedding Invitation Card Printer,Invitation printing service,Invitation printing service,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 72002 34447,N/A,4.7,,"NH 46 Service Rd, Ganthi Nagar, Vellore, Tamil Nadu 632008",Ganthi Nagar,12.9259945,79.1205418,ChIJ4UyI7YQ5rTsRjXHSt-MCg7E,https://www.google.com/maps/place/?q=place_id:ChIJ4UyI7YQ5rTsRjXHSt-MCg7E,part_270,2026-09-20 19:02:07,3760
Sri Ganapathi Cards & Press,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Commercial printer, Wedding store",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 99942 06362,N/A,4.8,,"12, Chunnambukara St, opp. sundhar sha, Sripuram, Srinivasan Nagar, Vellore, Tamil Nadu 632001","Sripuram, Srinivasan Nagar",12.917345399999999,79.1338117,ChIJqxUtI-o4rTsRQlEhinDpIfo,https://www.google.com/maps/place/?q=place_id:ChIJqxUtI-o4rTsRQlEhinDpIfo,part_270,2026-09-20 19:02:07,3761
"SRI LAKSHMI WEDDING CARDS, VETRIVEL PRINTERS",Wedding Invitation Card Printer,Commercial printer,Commercial printer,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 98948 52275,N/A,4.5,,"191, Chunnambukara St, Sripuram, Srinivasan Nagar, Vellore, Tamil Nadu 632001","Sripuram, Srinivasan Nagar",12.916967699999999,79.1340634,ChIJNfq5jek4rTsRTcJ43SoAPBQ,https://www.google.com/maps/place/?q=place_id:ChIJNfq5jek4rTsRTcJ43SoAPBQ,part_270,2026-09-20 19:02:07,3762
Sri Ganesh Cards,Wedding Invitation Card Printer,Print shop,Print shop,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 94892 83500,N/A,5.0,,"No 16 Moongil, Mandi St, Srinivasan Nagar, Vellore, Tamil Nadu 632001",Srinivasan Nagar,12.9168402,79.13295819999999,ChIJZ7PkGgs5rTsRUBBXnJfNdWI,https://www.google.com/maps/place/?q=place_id:ChIJZ7PkGgs5rTsRUBBXnJfNdWI,part_270,2026-09-20 19:02:07,3763
S K M Wedding Cards & Papers,Wedding Invitation Card Printer,Wedding venue,Wedding venue,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 416 222 5871,http://www.kingofcards.in/,3.7,,"M.K. Munuswamy Complex, 1, Chunnambukara St, opposite Sri Raghavendra Pharma, Vellore, Tamil Nadu 632004",Sripuram,12.9191764,79.1339437,ChIJv5ttP-o4rTsRiwijXqCiSNY,https://www.google.com/maps/place/?q=place_id:ChIJv5ttP-o4rTsRiwijXqCiSNY,part_270,2026-09-20 19:02:07,3764
Vijay Designs. Printing shop,Wedding Invitation Card Printer,Print shop,Print shop,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 93857 04775,N/A,5.0,,"Thuttipattu, Tamil Nadu 632011",632001,12.8615625,79.1306875,ChIJDW01UQA5rTsR9ZDNjjlUbW8,https://www.google.com/maps/place/?q=place_id:ChIJDW01UQA5rTsR9ZDNjjlUbW8,part_270,2026-09-20 19:02:07,3765
