business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Gifts and Hugs,Gifting,Gift shop,"Gift shop, 3D printing service",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 86673 92396,http://www.giftsandhugs.in/,4.9,,"Raja Theatre, Kosapet, Vellore, Tamil Nadu 632001",Kosapet,12.914380999999999,79.13255509999999,ChIJ6WzkD9I5rTsRakF8MNEWj3k,https://www.google.com/maps/place/?q=place_id:ChIJ6WzkD9I5rTsRakF8MNEWj3k,part_270,2026-09-20 19:02:04
Gifting Loves,Gifting,Gift shop,Gift shop,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 96002 56051,https://instagram.com/gifting_loves?utm_source=ig_profile_share&igshid=s00sdv1f86ed,4.7,,"424/1, 424, Arcot Rd, opp. Uzahavar Sandhai, Kagithapatarai, Vellore, Tamil Nadu 632012",Kagithapatarai,12.9323337,79.1479097,ChIJ1ZQUHuo5rTsRIDPGxd-oFVE,https://www.google.com/maps/place/?q=place_id:ChIJ1ZQUHuo5rTsRIDPGxd-oFVE,part_270,2026-09-20 19:02:04
TKP Treasures And Trims,Gifting,Gift shop,Gift shop,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",N/A,N/A,5.0,,"25, Pillaiyar Koil St, R N Palayam, Vellore, Tamil Nadu 632001",R N Palayam,12.903564,79.11981469999999,ChIJUfHNjaY5rTsRPYuJxUSPHKw,https://www.google.com/maps/place/?q=place_id:ChIJUfHNjaY5rTsRPYuJxUSPHKw,part_270,2026-09-20 19:02:04
Sri GIFTS 2023,Gifting,Gift shop,Gift shop,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",N/A,N/A,4.8,,"No 1A, Sri Gifts, TKT Complex, Officer's Line, Krishna Nagar, Veerasamy Nagar, Vellore, Tamil Nadu 632001","Krishna Nagar, Veerasamy Nagar",12.9018143,79.13144609999999,ChIJ0xPRxis5rTsRqa5-e_Fsc3U,https://www.google.com/maps/place/?q=place_id:ChIJ0xPRxis5rTsRqa5-e_Fsc3U,part_270,2026-09-20 19:02:04
Tharu Tradition's Treasure,Gifting,Gift shop,"Gift shop, Bag shop, Corporate gift supplier, Gift basket store, Party store, Religious goods store, Wedding service, Wedding store, Wholesale grocer",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 96775 26682,https://tharuthambulareturngifts.in/,5.0,,"No 62/404, Sivasakthi Nagar, Vinayagapuram, Kavanur, Arcot, Tamil Nadu 632507","Sivasakthi Nagar, Vinayagapuram",12.8436892,79.2587147,ChIJycp8zaUxrTsRnLR2YH6PQIQ,https://www.google.com/maps/place/?q=place_id:ChIJycp8zaUxrTsRnLR2YH6PQIQ,part_270,2026-09-20 19:02:04
A to Z photo fream,Gifting,Gift shop,Gift shop,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 70108 71956,N/A,5.0,,"41, Thennamara St, Big Ali Puran, Kosapet, Vellore, Tamil Nadu 632001","Big Ali Puran, Kosapet",12.913732099999999,79.1343788,ChIJtQ9OtKQ5rTsRvzj8fHyEyJE,https://www.google.com/maps/place/?q=place_id:ChIJtQ9OtKQ5rTsRvzj8fHyEyJE,part_270,2026-09-20 19:02:04
RAJA PHOTO GIFTS,Gifting,Gift shop,"Gift shop, Photography studio, Wedding Portrait Studio",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 80123 14307,N/A,4.9,,"Arni Rd, near BUS STOP, Virupatchipuram, RV Nagar, Vellore, Tamil Nadu 632002","Virupatchipuram, RV Nagar",12.8896626,79.1358343,ChIJ1aS65yQ5rTsRFV8d24uz5NM,https://www.google.com/maps/place/?q=place_id:ChIJ1aS65yQ5rTsRFV8d24uz5NM,part_270,2026-09-20 19:02:04
Card Cart,Gifting,Gift shop,Gift shop,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",N/A,https://www.instagram.com/card__cart?igsh=MXZuZDhkdzdvZmEyMQ==&utm_source=qr,5.0,,"Thangal, Vellore, Tamil Nadu 632014",Thangal,12.975347699999999,79.1604971,ChIJv7_PpR9HrTsRd3_1IYc-OH0,https://www.google.com/maps/place/?q=place_id:ChIJv7_PpR9HrTsRd3_1IYc-OH0,part_270,2026-09-20 19:02:04
ELLORAS,Gifting,Gift shop,Gift shop,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 99521 11163,N/A,3.8,,"39/1, 7th East Main Road, E.B Bus Stop Gandhi Nagar (East, Tamil Nadu 632006","Suthanthira Ponvizha Nagar, Gandhi Nagar",12.9568874,79.1418523,ChIJVTxu3Z9HrTsREBKmI3p46CU,https://www.google.com/maps/place/?q=place_id:ChIJVTxu3Z9HrTsREBKmI3p46CU,part_270,2026-09-20 19:02:04
Sri Sai Happy Shopiee,Gifting,Gift shop,Gift shop,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 94435 42115,N/A,4.8,,"Janaki Sivam complex, VIT Rd, opp. Bank of India, Old Katpadi, Vellore, Tamil Nadu 632007","Old Katpadi, Bharathi Nagar, Katpadi",12.9686278,79.1436011,ChIJ8fTcWC5HrTsRgrHW0xpiY_o,https://www.google.com/maps/place/?q=place_id:ChIJ8fTcWC5HrTsRgrHW0xpiY_o,part_270,2026-09-20 19:02:04
