business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bismi Mobiles,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 93821 55555,http://www.bismimobilesvellore.com/,4.8,,"OLD NO:12, NEW No:33 VELLA, Mandi St, Balaji Nagar, Vellore, Tamil Nadu 632004",Balaji Nagar,12.9233437,79.1328743,ChIJtcZc_r84rTsRB_L29O0Ykv4,https://www.google.com/maps/place/?q=place_id:ChIJtcZc_r84rTsRB_L29O0Ykv4,part_270,2026-09-20 19:02:08
Azad Mobiles,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 99523 54358,https://www.facebook.com/Azad-mobiles-vlr-1934310123510606/,4.9,,"15/2, Arni Rd, Velapadi, Vellore, Tamil Nadu 632001",Velapadi,12.9067026,79.1340106,ChIJke6VVuo4rTsRsVtLSV5DBrs,https://www.google.com/maps/place/?q=place_id:ChIJke6VVuo4rTsRsVtLSV5DBrs,part_270,2026-09-20 19:02:08
Sky Mobile & Electronics,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",N/A,http://www.skymobile.in/,4.9,,"89a, Arni Rd, opposite Pappammal Durai Swamy Kalyana Mandapam, Virupatchipuram, RV Nagar, Vellore, Tamil Nadu 632002","Virupatchipuram, RV Nagar",12.887551499999999,79.1359444,ChIJ15LIGO05rTsRRSmAVkJTEXo,https://www.google.com/maps/place/?q=place_id:ChIJ15LIGO05rTsRRSmAVkJTEXo,part_270,2026-09-20 19:02:08
Sky Mobile & Electronics,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",N/A,https://skymobile.in/,4.5,,"34/24, Katpadi Rd, near cmc out gate, Thottapalayam, Vellore, Tamil Nadu 632001",Thottapalayam,12.924590199999999,79.1335228,ChIJtWiKgHk5rTsR4ff5B9QZLzo,https://www.google.com/maps/place/?q=place_id:ChIJtWiKgHk5rTsR4ff5B9QZLzo,part_270,2026-09-20 19:02:08
ARS MOBILES & ELECTRONICS,Mobile Phone Sales and Repair,Electrical & Electronics Stores,Electrical & Electronics Stores,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 95668 66728,N/A,4.8,,"M.P, sarahie mansion, no 2, M.P.sarahie mansion, near, old busstand, Vellore, Tamil Nadu 632004",Balaji Nagar,12.920855099999999,79.1322088,ChIJM9SjJ8A4rTsRZKib7BdcCl0,https://www.google.com/maps/place/?q=place_id:ChIJM9SjJ8A4rTsRZKib7BdcCl0,part_270,2026-09-20 19:02:08
Garuda mobiles,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 91509 11411,N/A,4.9,,"71/3, Thennamara St, Kosapet, Vellore, Tamil Nadu 632001",Kosapet,12.913863899999999,79.1346866,ChIJQ8oJReg4rTsRpfpFYwSLhpQ,https://www.google.com/maps/place/?q=place_id:ChIJQ8oJReg4rTsRpfpFYwSLhpQ,part_270,2026-09-20 19:02:08
VELLORE MOBILE POINT,Mobile Phone Sales and Repair,Cell phone accessory store,"Cell phone accessory store, Cell phone store, Mobile phone repair shop",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 97905 99905,https://www.velloremobilepoint.com/,5.0,,"Sathuvachari Falls Trial, Phase 2, Sathuvachari, Vellore, Tamil Nadu 632009","Phase 2, Sathuvachari",12.9334206,79.15444389999999,ChIJPTsmZP45rTsRSf-pHyRGcpM,https://www.google.com/maps/place/?q=place_id:ChIJPTsmZP45rTsRSf-pHyRGcpM,part_270,2026-09-20 19:02:08
King Mobiles,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Mobile phone repair shop",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 88831 88831,N/A,4.7,,"Suthanthira Ponvizha Nagar, Katpadi, Vellore, Tamil Nadu 632007","Suthanthira Ponvizha Nagar, Katpadi",12.9614587,79.13709159999999,ChIJoyZmOGlHrTsRcZuMKmjL93w,https://www.google.com/maps/place/?q=place_id:ChIJoyZmOGlHrTsRcZuMKmjL93w,part_270,2026-09-20 19:02:08
Darling Retail - Mobiles World - Vellore,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Cell phone accessory store",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 82208 64444,https://darlingretail.com/,4.9,,"No:27, Katpadi Rd, opp. to cmc out gate, Thottapalayam, Vellore, Tamil Nadu 632001",Thottapalayam,12.9252781,79.1332353,ChIJhwROWRM5rTsRLHH-q-6Fx6E,https://www.google.com/maps/place/?q=place_id:ChIJhwROWRM5rTsRLHH-q-6Fx6E,part_270,2026-09-20 19:02:08
CK Mobiles,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",N/A,https://instagram.com/ck_mobiles?igsh,4.1,,"CMC Chella krishna residency, 1, Babu Rao Street, Beri Krishnappa St, Vellore, Tamil Nadu 632004","Sripuram, Beripettai",12.9234856,79.1338105,ChIJvSGlNZU4rTsRhKPOnnSOG_A,https://www.google.com/maps/place/?q=place_id:ChIJvSGlNZU4rTsRhKPOnnSOG_A,part_270,2026-09-20 19:02:08
Venson Electronics,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 95786 08558,N/A,4.9,,"no 51, 2nd floor, M.P. Sarathy Mansions, Balaji Nagar, Vellore, Tamil Nadu 632004",Balaji Nagar,12.919707899999999,79.13233009999999,ChIJyZ3ud-o4rTsRM01Tp3zNYo4,https://www.google.com/maps/place/?q=place_id:ChIJyZ3ud-o4rTsRM01Tp3zNYo4,part_270,2026-09-20 19:02:08
