business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
RP-Tech Precision Engineering,CNC Machining and Laser Cutting,Woodworker,Woodworker,632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",+91 96778 04462,N/A,4.6,,"K2A Industrial, SIDCO Industrial Estate, Gandhi Nagar, Vellore, Tamil Nadu 632006","SIDCO Industrial Estate, Gandhi Nagar",12.954161,79.14881969999999,ChIJPXMFHPBHrTsR8sGGYzHh9og,https://www.google.com/maps/place/?q=place_id:ChIJPXMFHPBHrTsR8sGGYzHh9og,part_270,2026-09-20 19:02:50
PRAKASH CNC WOOD CARVING,CNC Machining and Laser Cutting,Furniture Manufacturer,Furniture Manufacturer,632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",+91 70104 16156,N/A,4.9,,"No. 1/448 latteri main road, TK, near TVS showroom, katpadi, Vellore, Tamil Nadu 632202",katpadi,12.9731442,79.06852769999999,ChIJQ3763UFBrTsRzyPn9ADvp24,https://www.google.com/maps/place/?q=place_id:ChIJQ3763UFBrTsRzyPn9ADvp24,part_270,2026-09-20 19:02:50
Helix Tooling Services,CNC Machining and Laser Cutting,Machine shop,Machine shop,632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",+91 99625 66310,https://helixtoolings.com/,4.3,,"RadhaKrishnan Nagar, Katpadi, Vellore, Tamil Nadu 632007","RadhaKrishnan Nagar, Katpadi",12.9859508,79.1367772,ChIJXRlqtB5HrTsRY9fowlvwt9c,https://www.google.com/maps/place/?q=place_id:ChIJXRlqtB5HrTsRY9fowlvwt9c,part_270,2026-09-20 19:02:50
KBL LASERS LASER METAL CUTTING & FABRICATIONS,CNC Machining and Laser Cutting,Laser Cutting Service Provider,"Laser Cutting Service Provider, Metal fabricator, Steel fabricator",632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",+91 70928 38970,N/A,5.0,,"RICEMILL ROAD KATPADI, Tamil Nadu 632519",632002,12.980700299999999,79.23284459999999,ChIJ_xm_1uZJrTsRNeINE89AWhY,https://www.google.com/maps/place/?q=place_id:ChIJ_xm_1uZJrTsRNeINE89AWhY,part_270,2026-09-20 19:02:50
Therrmotec laser cutting and press brake (bending),CNC Machining and Laser Cutting,Laser Cutting Service Provider,Laser Cutting Service Provider,632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",+91 98942 01021,N/A,5.0,1.0,"241/2A1,sipcot, Vanapadi Rd, Vanapadi, Tamil Nadu 632403",632002,12.956321899999999,79.3204507,ChIJszSMzuJLrTsRPHxN93nqEsA,https://www.google.com/maps/place/?q=place_id:ChIJszSMzuJLrTsRPHxN93nqEsA,part_270,2026-09-20 19:02:51
Shapes cnc,CNC Machining and Laser Cutting,Machine shop,Machine shop,632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",+91 95002 79527,https://shapescnc.com/,5.0,14.0,"S.no 72/4A2, D.no155/1, Cutchery Rd, Dr.B.R Ambedkar Nagar, Valayambattu, Tamil Nadu 635751",Dr.B.R Ambedkar Nagar,12.689734699999999,78.63283609999999,ChIJuXlj5s6prTsRQ3ec7WrUQO8,https://www.google.com/maps/place/?q=place_id:ChIJuXlj5s6prTsRQ3ec7WrUQO8,part_270,2026-09-20 19:02:51
S M Industries,CNC Machining and Laser Cutting,Metal machinery supplier,"Metal machinery supplier, Industrial equipment supplier, Machine maintenance service, Machine repair service, Machine workshop, Machinery parts manufacturer",632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",N/A,N/A,4.3,7.0,"587,Sembrayanellore Village & Post, Taluk, near Government School, Katpadi, Vellore, Tamil Nadu 632519",Katpadi,12.9854155,79.2474318,ChIJXUVzc1RIrTsRppkgypuDLR4,https://www.google.com/maps/place/?q=place_id:ChIJXUVzc1RIrTsRppkgypuDLR4,part_270,2026-09-20 19:02:51
LASERCUT ENGINEERING WORKS,CNC Machining and Laser Cutting,Manufacturer,Manufacturer,632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",+91 99797 76777,http://www.lasercut.co.in/,5.0,,"Survey no 16/02, Raniya - Manjusar Rd, nr. Green Apple Surgitech, At, Raniya, Mahapura, Gujarat 391780",At,22.4919464,73.1450382,ChIJkyCqL6w1XjkRWsEMS3g_ukw,https://www.google.com/maps/place/?q=place_id:ChIJkyCqL6w1XjkRWsEMS3g_ukw,part_270,2026-09-20 19:02:51
G K Engineering,CNC Machining and Laser Cutting,Machining manufacturer,Machining manufacturer,632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",N/A,N/A,4.8,4.0,"W4F7+M4R, Bengaluru - Chennai Hwy, Madina Nagar, Vellore, Tamil Nadu 632008",Madina Nagar,12.924237,79.1127778,ChIJIZ2Dr7U4rTsR_SgNfqCGzjs,https://www.google.com/maps/place/?q=place_id:ChIJIZ2Dr7U4rTsR_SgNfqCGzjs,part_270,2026-09-20 19:02:52
FOGGING MACHINE SALES & SERVICE & manufacture,CNC Machining and Laser Cutting,Manufacturer,Manufacturer,632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",N/A,N/A,4.8,19.0,"NO :475, 18th St, Phase 2, Sathuvachari, Vellore, Tamil Nadu 632009","Phase 2, Sathuvachari",12.939658099999999,79.162559,ChIJbbKKUZM5rTsRBOUGpv-XD2g,https://www.google.com/maps/place/?q=place_id:ChIJbbKKUZM5rTsRBOUGpv-XD2g,part_270,2026-09-20 19:02:52
