business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Crystal shine sarees,Saree Showroom,Clothing store,Clothing store,632004,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore Fort S.O, Bakiyath S.O, CHRISTIAN MEDICAL COLLEGE HOSPITAL S.O",N/A,N/A,5.0,,"W4RQ+RMG, Balunagar, Viruthampattu, Vellore, Tamil Nadu 632006","Balunagar, Viruthampattu",12.942062499999999,79.1392154,ChIJLaJ4OwA5rTsRMtzo0iMuXcg,https://www.google.com/maps/place/?q=place_id:ChIJLaJ4OwA5rTsRMtzo0iMuXcg,part_270,2026-09-20 19:03:02
"Sundari Silks - T.Nagar, Chennai | Traditional Kanchipuram and Wedding Silk Sarees",Saree Showroom,Clothing store,Clothing store,632004,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore Fort S.O, Bakiyath S.O, CHRISTIAN MEDICAL COLLEGE HOSPITAL S.O",+91 86808 77999,https://www.sundarisilks.com/,4.5,5857.0,"36, N Usman Rd, T. Nagar, Chennai, Tamil Nadu 600017",T. Nagar,13.044491899999999,80.23228859999999,ChIJ21op2ldmUjoRV34SWKBXOOY,https://www.google.com/maps/place/?q=place_id:ChIJ21op2ldmUjoRV34SWKBXOOY,part_270,2026-09-20 19:03:03
Jaishankar Designer,Saree Showroom,Wedding store,Wedding store,632004,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore Fort S.O, Bakiyath S.O, CHRISTIAN MEDICAL COLLEGE HOSPITAL S.O",+91 98805 71964,N/A,4.9,380.0,"No.66, 1st floor, 14th Main Rd, Maruthi Circle, Hanumanthnagar, Banashankari 1st Stage, Banashankari, Bengaluru, Karnataka 560050","Maruthi Circle, Hanumanthnagar, Banashankari 1st Stage, Banashankari",12.9431447,77.55868339999999,ChIJ83WE08g_rjsRCbgv2_HOnr8,https://www.google.com/maps/place/?q=place_id:ChIJ83WE08g_rjsRCbgv2_HOnr8,part_270,2026-09-20 19:03:03
M Seenu Sah Silk Sarees,Saree Showroom,Clothing store,"Clothing store, Boutique, Silk store",632004,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore Fort S.O, Bakiyath S.O, CHRISTIAN MEDICAL COLLEGE HOSPITAL S.O",+91 94437 24065,N/A,4.8,3165.0,"65/24, Sheikpet Nadu St, opp. Taluka Office, Ennaikaran, Kanchipuram, Tamil Nadu 631501",Ennaikaran,12.8331255,79.7051183,ChIJ--Im4VfCUjoRG05DoqXXhN4,https://www.google.com/maps/place/?q=place_id:ChIJ--Im4VfCUjoRG05DoqXXhN4,part_270,2026-09-20 19:03:03
Prasiddhi Silks - Domlur,Saree Showroom,Clothing store,Clothing store,632004,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore Fort S.O, Bakiyath S.O, CHRISTIAN MEDICAL COLLEGE HOSPITAL S.O",+91 80 4151 1156,https://prasiddhisilks.in/,4.6,654.0,"274, Ring Road, Amarjyoti Layout, Domlur, Bengaluru, Karnataka 560071","Amarjyoti Layout, Domlur",12.955454,77.64162499999999,ChIJ3bVHNxAUrjsRyCIHA-ht5iU,https://www.google.com/maps/place/?q=place_id:ChIJ3bVHNxAUrjsRyCIHA-ht5iU,part_270,2026-09-20 19:03:03
SRI KRISHNA SILKS,Saree Showroom,Clothing store,"Clothing store, Baby clothing store, Children's clothing store, Convenience store, Dress store, Formal Clothing Store, Men's clothing store, Sportswear store, Women's clothing store",632004,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore Fort S.O, Bakiyath S.O, CHRISTIAN MEDICAL COLLEGE HOSPITAL S.O",+91 95668 33441,https://www.instagram.com/srikrishnasilks_dpi_kgi/,4.4,2217.0,"20A, Chinnasamy Naidu St, Dharmapuri, Tamil Nadu 636701",632004,12.1332831,78.1626101,ChIJa-820P4WrDsRKcXdJcV0lZo,https://www.google.com/maps/place/?q=place_id:ChIJa-820P4WrDsRKcXdJcV0lZo,part_270,2026-09-20 19:03:03
Vijayalakshmi Silks,Saree Showroom,Clothing store,"Clothing store, Bridal shop, Designer Clothing Store, Fabric store",632004,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore Fort S.O, Bakiyath S.O, CHRISTIAN MEDICAL COLLEGE HOSPITAL S.O",+91 81508 44455,https://www.vijayalakshmisilks.com/,4.5,2611.0,"GK Arcade, 1st Block, Jayanagar, 125/1/18, Ashoka Pillar Rd, Bengaluru, Karnataka 560011","1st Block, Jayanagar",12.9397972,77.5855241,ChIJt77l3r8VrjsRBhz8_s1jwjU,https://www.google.com/maps/place/?q=place_id:ChIJt77l3r8VrjsRBhz8_s1jwjU,part_270,2026-09-20 19:03:03
"JJ Sarees Pvt. Ltd. ( Suitings, Shirtings)",Saree Showroom,Clothing wholesaler,"Clothing wholesaler, Clothing store",632004,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore Fort S.O, Bakiyath S.O, CHRISTIAN MEDICAL COLLEGE HOSPITAL S.O",N/A,N/A,3.9,136.0,"49/09 - A, Jain Market, General Ganj, Kanpur, Uttar Pradesh 208001","Jain Market, General Ganj",26.4634772,80.3502276,ChIJ5_6VtFtHnDkRQosnNI70eDM,https://www.google.com/maps/place/?q=place_id:ChIJ5_6VtFtHnDkRQosnNI70eDM,part_270,2026-09-20 19:03:04
Avantika Saree Centre,Saree Showroom,Saree Shop,Saree Shop,632004,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore Fort S.O, Bakiyath S.O, CHRISTIAN MEDICAL COLLEGE HOSPITAL S.O",+91 90449 66189,N/A,4.8,10.0,"80 feet Road, Karrahi Rd, Jarauli, Kanpur, Uttar Pradesh 208027",Jarauli,26.4104313,80.2962148,ChIJpc5cEM5HnDkRt8W8oqnx9VA,https://www.google.com/maps/place/?q=place_id:ChIJpc5cEM5HnDkRt8W8oqnx9VA,part_270,2026-09-20 19:03:04
Dakshinam Sarees,Saree Showroom,Clothing store,Clothing store,632004,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore Fort S.O, Bakiyath S.O, CHRISTIAN MEDICAL COLLEGE HOSPITAL S.O",+91 70105 46668,http://www.dakshinamsarees.in/,4.5,177.0,"7/175, C, Sale Tax Road, Khalasi Line, Swaroop Nagar, Kanpur, Uttar Pradesh 208002","Khalasi Line, Swaroop Nagar",26.4868493,80.3191974,ChIJNeMau2E4nDkR1SasUVKaIMI,https://www.google.com/maps/place/?q=place_id:ChIJNeMau2E4nDkR1SasUVKaIMI,part_270,2026-09-20 19:03:04
