business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
United India Insurance Agent Katpadi,Insurance Agent,Insurance agency,"Insurance agency, Life insurance agency",632007,Tamilnadu circle,Chennai City Region,Vellore Division,"Katpadi Agricultural Farm B.O, Pallikuppam B.O, Katpadi S.O",N/A,N/A,3.7,3.0,"20, muthu vathiyar street, near over bridge, Katpadi, Vellore, Tamil Nadu 632007",Katpadi,12.9909313,79.14272729999999,ChIJL6sWEmRHrTsRXVEtY5WhJj4,https://www.google.com/maps/place/?q=place_id:ChIJL6sWEmRHrTsRXVEtY5WhJj4,part_270,2026-09-20 19:04:41
HDFC ERGO Insurance Agent: Raghul V,Insurance Agent,Insurance agency,Insurance agency,632007,Tamilnadu circle,Chennai City Region,Vellore Division,"Katpadi Agricultural Farm B.O, Pallikuppam B.O, Katpadi S.O",+91 8071 496 349,https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-raghul-v-insurance-broker-katpadi-vellore-533747/Home?utm_source=locator&utm_medium=googleplaces,,,"Plot No 53, 6th Cross Street, near Thozhi Hostel, Rajivgandhi Nagar, RadhaKrishnan Nagar, Katpadi, Vellore, Tamil Nadu 632007","Rajivgandhi Nagar, RadhaKrishnan Nagar, Katpadi",12.984670399999999,79.1359532,ChIJEcJuXblHrTsRqSKgMPwbCVk,https://www.google.com/maps/place/?q=place_id:ChIJEcJuXblHrTsRqSKgMPwbCVk,part_270,2026-09-20 19:04:41
HDFC ERGO General Insurance,Insurance Agent,Insurance broker,"Insurance broker, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",632007,Tamilnadu circle,Chennai City Region,Vellore Division,"Katpadi Agricultural Farm B.O, Pallikuppam B.O, Katpadi S.O",+91 22 6234 6234,http://www.hdfcergo.com/,,,"Plot No 3, Road, Kilithampatarai, Katpadi, Vandaranthangal, Tamil Nadu 632007","Kilithampatarai, Katpadi",12.979927199999999,79.126706,ChIJX5heNRZHrTsRQXKLqZDIgfE,https://www.google.com/maps/place/?q=place_id:ChIJX5heNRZHrTsRQXKLqZDIgfE,part_270,2026-09-20 19:04:41
J BHARATHIRAJA UIIC PORTAL OFFICE KATPADI,Insurance Agent,Insurance agency,Insurance agency,632007,Tamilnadu circle,Chennai City Region,Vellore Division,"Katpadi Agricultural Farm B.O, Pallikuppam B.O, Katpadi S.O",+91 77084 63884,N/A,5.0,1.0,"Ulavar Sandhai, Muthu Vathiyar Street, near Katpadi, KRS Nagar, Katpadi, Vellore, Tamil Nadu 632007","KRS Nagar, Katpadi",12.9727962,79.1375161,ChIJz3dK0j5HrTsRebcBahZlDS0,https://www.google.com/maps/place/?q=place_id:ChIJz3dK0j5HrTsRebcBahZlDS0,part_270,2026-09-20 19:04:41
HDFC ERGO Insurance Agent: Hisar Hakamudh T A,Insurance Agent,Insurance agency,Insurance agency,632007,Tamilnadu circle,Chennai City Region,Vellore Division,"Katpadi Agricultural Farm B.O, Pallikuppam B.O, Katpadi S.O",+91 8071 877 003,https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-hisar-hakamudh-t-a-insurance-broker-katpadi-vellore-434664/Home,,,"Ground Floor, Thayumanavar Street, Suthanthira Ponvizha Nagar, Gandhi Nagar, Katpadi, Vellore, Tamil Nadu 632006","Suthanthira Ponvizha Nagar, Gandhi Nagar, Katpadi",12.9523029,79.1370967,ChIJ9yJWcG5HrTsRsq3mVL8ejGY,https://www.google.com/maps/place/?q=place_id:ChIJ9yJWcG5HrTsRsq3mVL8ejGY,part_270,2026-09-20 19:04:41
HDFC ERGO General Insurance,Insurance Agent,Insurance agency,"Insurance agency, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",632007,Tamilnadu circle,Chennai City Region,Vellore Division,"Katpadi Agricultural Farm B.O, Pallikuppam B.O, Katpadi S.O",+91 22 6234 6234,http://www.hdfcergo.com/,,,"Plot No 12, behind Rangalaya Kalyana Mandapam, Suthanthira Ponvizha Nagar, Venkatraman Nagar, Katpadi, Vellore, Tamil Nadu 632006","Suthanthira Ponvizha Nagar, Venkatraman Nagar, Katpadi",12.9559357,79.1362003,ChIJQV_k1ydHrTsRiDm_C1OnZfA,https://www.google.com/maps/place/?q=place_id:ChIJQV_k1ydHrTsRiDm_C1OnZfA,part_270,2026-09-20 19:04:41
HDFC ERGO Insurance Agent: M Narendhar,Insurance Agent,Insurance agency,"Insurance agency, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",632007,Tamilnadu circle,Chennai City Region,Vellore Division,"Katpadi Agricultural Farm B.O, Pallikuppam B.O, Katpadi S.O",+91 79 4275 9710,https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-m-narendhar-insurance-broker-sector-c-vellore-434633/Home?utm_source=locator&utm_medium=googleplaces,,,"Ground Floor, V G Rao Nagar, Sector C, Katpadi, Vellore, Tamil Nadu 632006","V G Rao Nagar, Sector C, Katpadi",12.9606485,79.1428846,ChIJV5PM0ztHrTsRTeLDoik8itU,https://www.google.com/maps/place/?q=place_id:ChIJV5PM0ztHrTsRTeLDoik8itU,part_270,2026-09-20 19:04:41
IndusInd Nippon Life Insurance,Insurance Agent,Insurance agency,Insurance agency,632007,Tamilnadu circle,Chennai City Region,Vellore Division,"Katpadi Agricultural Farm B.O, Pallikuppam B.O, Katpadi S.O",+91 416 224 4437,https://www.reliancenipponlife.com/,1.0,1.0,"1st Floor, Chittor, 98/2, road, Suthanthira Ponvizha Nagar, Bharathi Nagar, Katpadi, Vellore, Tamil Nadu 632007","Suthanthira Ponvizha Nagar, Bharathi Nagar, Katpadi",12.96275,79.13723,ChIJDbUjvD1HrTsRfH0f2eiFip8,https://www.google.com/maps/place/?q=place_id:ChIJDbUjvD1HrTsRfH0f2eiFip8,part_270,2026-09-20 19:04:43
HDFC ERGO Insurance Agent: Asha,Insurance Agent,Insurance agency,"Insurance agency, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",632007,Tamilnadu circle,Chennai City Region,Vellore Division,"Katpadi Agricultural Farm B.O, Pallikuppam B.O, Katpadi S.O",+91 79 4276 0646,https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-asha-insurance-broker-katpadi-vellore-434272/Home?utm_source=locator&utm_medium=googleplaces,,,"Ground Floor, Suthanthira Ponvizha Nagar, Venkatraman Nagar, Katpadi, Vellore, Tamil Nadu 632006","Suthanthira Ponvizha Nagar, Venkatraman Nagar, Katpadi",12.9590068,79.1303337,ChIJA44q2VRHrTsRYrIW-I5VcG0,https://www.google.com/maps/place/?q=place_id:ChIJA44q2VRHrTsRYrIW-I5VcG0,part_270,2026-09-20 19:04:43
HDFC ERGO Insurance Agent: Ranjith Kumar V,Insurance Agent,Insurance agency,"Insurance agency, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",632007,Tamilnadu circle,Chennai City Region,Vellore Division,"Katpadi Agricultural Farm B.O, Pallikuppam B.O, Katpadi S.O",+91 79 4276 0269,https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-ranjith-kumar-v-insurance-broker-katpadi-vellore-434614/Home?utm_source=locator&utm_medium=googleplaces,,,"Ground Floor, Gandhi Nagar, Main Road, near Ramanas Mall, Suthanthira Ponvizha Nagar, Katpadi, Vellore, Tamil Nadu 632006","Suthanthira Ponvizha Nagar, Katpadi",12.9502262,79.1382926,ChIJkwi7PRlHrTsRi5kjg6TBOkk,https://www.google.com/maps/place/?q=place_id:ChIJkwi7PRlHrTsRi5kjg6TBOkk,part_270,2026-09-20 19:04:43
