business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Speak Out( Best Spoken English +Skill training Institute),Spoken English Institute,English language school,"English language school, Coaching Center, Service establishment",632008,Tamilnadu Circle,Chennai City Region,Vellore Division,Shenbakkam S.O,+91 79806 54823,N/A,5.0,15.0,"Speak Out( Best Spoken English +Skill training Institute), 632008, India",632008,24.374074399999998,87.85113779999999,ChIJN_GWeFOV-DkRQbJK8LdfIic,https://www.google.com/maps/place/?q=place_id:ChIJN_GWeFOV-DkRQbJK8LdfIic,part_270,2026-09-20 19:05:16
Cafe Converse,Spoken English Institute,Language school,Language school,632008,Tamilnadu Circle,Chennai City Region,Vellore Division,Shenbakkam S.O,+91 98100 76785,https://www.cafeconverse.com/,5.0,59.0,"106, Kapil Vihar, Pitampura, Delhi, 110034","Kapil Vihar, Pitampura",28.698706599999998,77.13622579999999,ChIJ5QtoB_8DDTkRlRN-r9PEBMY,https://www.google.com/maps/place/?q=place_id:ChIJ5QtoB_8DDTkRlRN-r9PEBMY,part_270,2026-09-20 19:05:16
Spoken English Guru,Spoken English Institute,Educational institution,Educational institution,632008,Tamilnadu Circle,Chennai City Region,Vellore Division,Shenbakkam S.O,+91 84484 43310,http://www.spokenenglish.guru/,4.7,110.0,"Phase 1, D-3, Transport Nagar, Subhash Nagar, Dehradun, Sewla Khurd, Uttarakhand 248002","Transport Nagar, Subhash Nagar",30.2818446,77.9888825,ChIJEzEEFeArCTkRpu9ehhqYH8Q,https://www.google.com/maps/place/?q=place_id:ChIJEzEEFeArCTkRpu9ehhqYH8Q,part_270,2026-09-20 19:05:16
Spoken English & Grammar Tuition Classes,Spoken English Institute,English language school,"English language school, Service establishment",632008,Tamilnadu Circle,Chennai City Region,Vellore Division,Shenbakkam S.O,N/A,N/A,5.0,1.0,"Spoken English & Grammar Tuition Classes, 632008, India",632008,28.5936474,77.0932314,ChIJt0oqFR89DTkR_lLMEDY2OLY,https://www.google.com/maps/place/?q=place_id:ChIJt0oqFR89DTkR_lLMEDY2OLY,part_270,2026-09-20 19:05:16
English spoken academy,Spoken English Institute,Education center,Education center,632008,Tamilnadu Circle,Chennai City Region,Vellore Division,Shenbakkam S.O,N/A,N/A,5.0,1.0,"RPC5+764, Khajuriya, Madhya Pradesh 453111",632008,22.8206414,75.7080727,ChIJ9xS9TsWrYzkRgiJcMC8jKCU,https://www.google.com/maps/place/?q=place_id:ChIJ9xS9TsWrYzkRgiJcMC8jKCU,part_270,2026-09-20 19:05:16
English speaking course,Spoken English Institute,Distance Learning Center,Distance Learning Center,632008,Tamilnadu Circle,Chennai City Region,Vellore Division,Shenbakkam S.O,N/A,https://play.google.com/store/apps/details?id=com.gurubhai.speakeng,5.0,1.0,"6XFG+JF9, Sarai Dangari Kala, Uttar Pradesh 221011",632008,25.2240452,82.9762429,ChIJW2RLocgzjjkR7WlGgPB4t9k,https://www.google.com/maps/place/?q=place_id:ChIJW2RLocgzjjkR7WlGgPB4t9k,part_270,2026-09-20 19:05:16
Yorkville IELTS & Communication skill Classes,Spoken English Institute,English language school,"English language school, Service establishment",632008,Tamilnadu Circle,Chennai City Region,Vellore Division,Shenbakkam S.O,+91 98871 16777,N/A,5.0,39.0,"Yorkville IELTS & Communication skill Classes, 632008, India",632008,21.0680074,82.7525294,ChIJMQlUAfu1FzkR32O2EH1FJ0k,https://www.google.com/maps/place/?q=place_id:ChIJMQlUAfu1FzkR32O2EH1FJ0k,part_270,2026-09-20 19:05:16
Englishwale.com,Spoken English Institute,Educational institution,"Educational institution, Service establishment",632008,Tamilnadu Circle,Chennai City Region,Vellore Division,Shenbakkam S.O,+91 84484 43310,https://www.englishwale.com/,4.9,35.0,"Englishwale.com, 632008, India",632008,21.0680074,82.7525294,ChIJm6Gmuu77DDkRXYaJWjNyfic,https://www.google.com/maps/place/?q=place_id:ChIJm6Gmuu77DDkRXYaJWjNyfic,part_270,2026-09-20 19:05:16
Education English Spoken,Spoken English Institute,Education center,Education center,632008,Tamilnadu Circle,Chennai City Region,Vellore Division,Shenbakkam S.O,+91 78779 05772,N/A,,,"Main Road Main Road, Rajasthan 333001",632008,27.8715831,75.5277353,ChIJGZmyVjrTbDkRZz_szplDZ7k,https://www.google.com/maps/place/?q=place_id:ChIJGZmyVjrTbDkRZz_szplDZ7k,part_270,2026-09-20 19:05:16
Online Accent Spoken English,Spoken English Institute,English language school,English language school,632008,Tamilnadu Circle,Chennai City Region,Vellore Division,Shenbakkam S.O,+91 97398 64596,https://onlineaccentspokenenglish.com/,4.9,204.0,"33/1, 4th Cross Rd, 1st Block, Jayanagar, Bengaluru, Karnataka 560011","1st Block, Jayanagar",12.9428723,77.5857158,ChIJveQx4bgVrjsRs5JJZ1auJ3U,https://www.google.com/maps/place/?q=place_id:ChIJveQx4bgVrjsRs5JJZ1auJ3U,part_270,2026-09-20 19:05:17
