business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Best Cool Car AC,Auto Electrician and AC Repair,Air conditioning repair service,"Air conditioning repair service, Car repair and maintenance service",632010,Tamilnadu Circle,Chennai City Region,Vellore Division,"Abdullapuram S.O, Melmonavur B.O",+91 72878 26997,N/A,5.0,57.0,"Alankar, to, ajara hospital lane, Hanamkonda, Telangana 506007",Kakatiya Colony,18.0037003,79.5815399,ChIJ4VbNaMlFMzoRxcq8AqBKVnI,https://www.google.com/maps/place/?q=place_id:ChIJ4VbNaMlFMzoRxcq8AqBKVnI,part_270,2026-09-20 19:06:21
M auto Electrician & Car AC,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,632010,Tamilnadu Circle,Chennai City Region,Vellore Division,"Abdullapuram S.O, Melmonavur B.O",0335 5588638,N/A,5.0,1.0,"68W7+XPQ, Gujar Khan, Pakistan",632010,33.247516,73.314311,ChIJhZZwZAgFIDkRm6CsVeR-i1k,https://www.google.com/maps/place/?q=place_id:ChIJhZZwZAgFIDkRm6CsVeR-i1k,part_270,2026-09-20 19:06:21
Efi auto electrician&car AC,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,632010,Tamilnadu Circle,Chennai City Region,Vellore Division,"Abdullapuram S.O, Melmonavur B.O",0312 0524794,N/A,5.0,2.0,"Dhamial road Hearly, street, Rawalpindi, 00666, Pakistan",632010,33.5747515,73.0397488,ChIJJSSYW6WT3zgRUb-RgFHZnZo,https://www.google.com/maps/place/?q=place_id:ChIJJSSYW6WT3zgRUb-RgFHZnZo,part_270,2026-09-20 19:06:21
SRI AMBAL AUTO Works Car A/C SERVICE,Auto Electrician and AC Repair,Car repair and maintenance service,"Car repair and maintenance service, Chauffeur service",632010,Tamilnadu Circle,Chennai City Region,Vellore Division,"Abdullapuram S.O, Melmonavur B.O",+91 98423 62227,N/A,4.7,149.0,"7, Avinashi Rd, near MAHAVEER MARBLE, MGR Nagar, LAKSHMI NAGAR, THOTTIPALAYAM PRIVU, Coimbatore, Tamil Nadu 641062","MGR Nagar, LAKSHMI NAGAR, THOTTIPALAYAM PRIVU",11.0451047,77.0538136,ChIJcePbZcxXqDsRyMGpQZbhqco,https://www.google.com/maps/place/?q=place_id:ChIJcePbZcxXqDsRyMGpQZbhqco,part_270,2026-09-20 19:06:21
JDH CAR CARE & SPARES,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,632010,Tamilnadu Circle,Chennai City Region,Vellore Division,"Abdullapuram S.O, Melmonavur B.O",+91 94005 25403,N/A,4.9,57.0,"Karimbanappalam, Vatakara, Keralam 673101",Karimbanappalam,11.5867238,75.5933329,ChIJm-YydTOFpjsR6I5miWeil1s,https://www.google.com/maps/place/?q=place_id:ChIJm-YydTOFpjsR6I5miWeil1s,part_270,2026-09-20 19:06:21
SNS CAR CARE,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,632010,Tamilnadu Circle,Chennai City Region,Vellore Division,"Abdullapuram S.O, Melmonavur B.O",+91 86430 00941,https://snscarcare.in/,4.9,922.0,"131, Villankurichi Rd, Cheran ma Nagar, Coimbatore, Tamil Nadu 641035",Cheran ma Nagar,11.059671999999999,77.0154325,ChIJY8vTqKhXqDsRlOMAeODbBFk,https://www.google.com/maps/place/?q=place_id:ChIJY8vTqKhXqDsRlOMAeODbBFk,part_270,2026-09-20 19:06:21
SHAHID AUTO ELECTRICIAN & CAR AC,Auto Electrician and AC Repair,Auto electrical service,"Auto electrical service, Auto air conditioning service, Auto machine shop",632010,Tamilnadu Circle,Chennai City Region,Vellore Division,"Abdullapuram S.O, Melmonavur B.O",0342 5593050,N/A,4.9,,"Street 24, G-8/4 G 8/4 G-8, Islamabad, 44090, Pakistan",G-8/4 G 8/4 G-8,33.6918796,73.0569213,ChIJFcoGxBa_3zgRrSAi3toladk,https://www.google.com/maps/place/?q=place_id:ChIJFcoGxBa_3zgRrSAi3toladk,part_270,2026-09-20 19:06:22
HYPER CAR AC REPAIRING & SERVICE,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,632010,Tamilnadu Circle,Chennai City Region,Vellore Division,"Abdullapuram S.O, Melmonavur B.O",+91 90748 24354,https://business.google.com/,4.9,,"Vinode Corner, Laxmi Chowk Rd, opp. Enrise By Sayaji, Bhumkar Nagar, Wakad, Hinjawadi, Pimpri-Chinchwad, Maharashtra 411057","Bhumkar Nagar, Wakad",18.6020806,73.7437635,ChIJJQmxDUC7wjsREJ2rThqzvIs,https://www.google.com/maps/place/?q=place_id:ChIJJQmxDUC7wjsREJ2rThqzvIs,part_270,2026-09-20 19:06:22
Imran Auto Electricals&Car A.C,Auto Electrician and AC Repair,Car repair and maintenance service,Car repair and maintenance service,632010,Tamilnadu Circle,Chennai City Region,Vellore Division,"Abdullapuram S.O, Melmonavur B.O",+91 73500 33395,N/A,4.8,,"Wakad Rd, Shedge Vasti, Shankar Kalat Nagar, Wakad, Pimpri-Chinchwad, Maharashtra 411057","Shedge Vasti, Shankar Kalat Nagar, Wakad",18.592065899999998,73.7667251,ChIJz80nHGq5wjsR7hG_9y3h3bc,https://www.google.com/maps/place/?q=place_id:ChIJz80nHGq5wjsR7hG_9y3h3bc,part_270,2026-09-20 19:06:22
Anil Car AC Repair,Auto Electrician and AC Repair,Auto bodywork mechanic,Auto bodywork mechanic,632010,Tamilnadu Circle,Chennai City Region,Vellore Division,"Abdullapuram S.O, Melmonavur B.O",+91 63754 75131,N/A,5.0,278.0,"Regional Chauraha, near Shine Fitness Club GYM, Haribhau Upadhyay Nagar, Ajmer, Rajasthan 305001",Haribhau Upadhyay Nagar,26.4766279,74.60826689999999,ChIJyeVcEgDnazkR0VeUwP4TvWY,https://www.google.com/maps/place/?q=place_id:ChIJyeVcEgDnazkR0VeUwP4TvWY,part_270,2026-09-20 19:06:22
