business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Nelvoy Panchayat Assembly Office,Offices,Government office,Government office,632011,Tamilnadu circle,Chennai City Region,Vellore Division,"A Kattupadi B.O, Nelvoy B.O, Thuthipattu B.O",N/A,N/A,4.0,2.0,"234, Polur - Vellore Rd, Bagayam, Vellore, Tamil Nadu 632011",632011,12.8217381,79.1331373,ChIJy3bERb07rTsR8Pf9jB4cfr8,https://www.google.com/maps/place/?q=place_id:ChIJy3bERb07rTsR8Pf9jB4cfr8,part_270,2026-09-20 19:07:23
Tamilnadu Medical Corporation Service Ltd,Offices,Government office,Government office,632011,Tamilnadu circle,Chennai City Region,Vellore Division,"A Kattupadi B.O, Nelvoy B.O, Thuthipattu B.O",N/A,N/A,1.0,1.0,"R4WP+97G, Arni Road, Arani Road, Opposite Staff Quarters, Adukkamparai, Pennathur, Tamil Nadu 632011",632011,12.845948,79.1357135,ChIJP3hO5dw7rTsR-jsMCDsFrTE,https://www.google.com/maps/place/?q=place_id:ChIJP3hO5dw7rTsR-jsMCDsFrTE,part_270,2026-09-20 19:07:23
Sub Registrar Office,Offices,Government office,Government office,632011,Tamilnadu circle,Chennai City Region,Vellore Division,"A Kattupadi B.O, Nelvoy B.O, Thuthipattu B.O",N/A,N/A,3.4,8.0,"R47H+8CR, Kaniyambadi, Tamil Nadu 632102",632011,12.8133647,79.128517,ChIJZygVYKA7rTsR6vXo076cTXM,https://www.google.com/maps/place/?q=place_id:ChIJZygVYKA7rTsR6vXo076cTXM,part_270,2026-09-20 19:07:23
DMK party office chitteri,Offices,Government office,Government office,632011,Tamilnadu circle,Chennai City Region,Vellore Division,"A Kattupadi B.O, Nelvoy B.O, Thuthipattu B.O",N/A,N/A,,,"V4G9+3PP, Chitteri, Vellore, Tamil Nadu 632002",Chitteri,12.875201599999999,79.1193145,ChIJ3c8BZAA5rTsRVZjOPKq6VTw,https://www.google.com/maps/place/?q=place_id:ChIJ3c8BZAA5rTsRVZjOPKq6VTw,part_270,2026-09-20 19:07:23
Revenue Inspector office,Offices,Government office,Government office,632011,Tamilnadu circle,Chennai City Region,Vellore Division,"A Kattupadi B.O, Nelvoy B.O, Thuthipattu B.O",N/A,N/A,3.0,2.0,"V425+RR9, Pennathur, Tamil Nadu 632058",632011,12.8520378,79.10961449999999,ChIJFW5RJGQ9rTsRyOD-RSLBS-c,https://www.google.com/maps/place/?q=place_id:ChIJFW5RJGQ9rTsRyOD-RSLBS-c,part_270,2026-09-20 19:07:23
Vennampalle SO,Offices,Post office,Post office,632011,Tamilnadu circle,Chennai City Region,Vellore Division,"A Kattupadi B.O, Nelvoy B.O, Thuthipattu B.O",N/A,N/A,,,"V4C8+Q76, Murugan Koil St, Vennampalli, Vellore, Tamil Nadu 632002",Vennampalli,12.8719244,79.11564489999999,ChIJJdS6VwA5rTsR6NBpC1T6qLE,https://www.google.com/maps/place/?q=place_id:ChIJJdS6VwA5rTsR6NBpC1T6qLE,part_270,2026-09-20 19:07:23
Zoho office,Offices,Offices,Offices,632011,Tamilnadu circle,Chennai City Region,Vellore Division,"A Kattupadi B.O, Nelvoy B.O, Thuthipattu B.O",N/A,N/A,,,"312, Arni Rd, Thuttipattu, Vellore, Tamil Nadu 632011",632011,12.853879899999999,79.1348843,ChIJieP6nt87rTsRPkfJ6qSeu0k,https://www.google.com/maps/place/?q=place_id:ChIJieP6nt87rTsRPkfJ6qSeu0k,part_270,2026-09-20 19:07:23
Vellore South,Offices,City government office,City government office,632011,Tamilnadu circle,Chennai City Region,Vellore Division,"A Kattupadi B.O, Nelvoy B.O, Thuthipattu B.O",N/A,N/A,3.0,1.0,"R4WM+2V6, Vasantham Nagar, Sathumadurai, Pennathur, Tamil Nadu 632011",Vasantham Nagar,12.8450373,79.1346516,ChIJi1JoRG47rTsRwFK0juIl_hA,https://www.google.com/maps/place/?q=place_id:ChIJi1JoRG47rTsRwFK0juIl_hA,part_270,2026-09-20 19:07:23
Munjurpattu Sub Post Office Vellore Division,Offices,Post office,Post office,632011,Tamilnadu circle,Chennai City Region,Vellore Division,"A Kattupadi B.O, Nelvoy B.O, Thuthipattu B.O",N/A,N/A,3.5,6.0,"R4QW+997, Unnamed Road, Munjurpattu, Tamil Nadu 632057",632011,12.8384079,79.14591659999999,ChIJXcu31qk7rTsR7W-0bmL3LR4,https://www.google.com/maps/place/?q=place_id:ChIJXcu31qk7rTsR7W-0bmL3LR4,part_270,2026-09-20 19:07:23
Ariyur Spinning Mills Branch Post Office Vellore Division,Offices,Housing complex,Housing complex,632011,Tamilnadu circle,Chennai City Region,Vellore Division,"A Kattupadi B.O, Nelvoy B.O, Thuthipattu B.O",N/A,N/A,,,"V3CV+H54, post, Devaraj Nagar, Thirumalaikodi, Ariyur, Vellore, Tamil Nadu 632055","Devaraj Nagar, Thirumalaikodi",12.871393699999999,79.0929687,ChIJWYkKDQA_rTsRzcSL4Nh7-Us,https://www.google.com/maps/place/?q=place_id:ChIJWYkKDQA_rTsRzcSL4Nh7-Us,part_270,2026-09-20 19:07:23
Ariyur Spinning Mills Branch Post Office Vellore Division,Offices,Post office,Post office,632011,Tamilnadu circle,Chennai City Region,Vellore Division,"A Kattupadi B.O, Nelvoy B.O, Thuthipattu B.O",N/A,http://www.indiapost.gov.in/,3.9,,"1, Vellore, Tamil Nadu 632055",632011,12.876504299999999,79.1036003,ChIJGVPMHt0_rTsR-XM4cJ88eg0,https://www.google.com/maps/place/?q=place_id:ChIJGVPMHt0_rTsR-XM4cJ88eg0,part_270,2026-09-20 19:07:23
JP Residency Bagayam,Offices,Apartment building,Apartment building,632011,Tamilnadu circle,Chennai City Region,Vellore Division,"A Kattupadi B.O, Nelvoy B.O, Thuthipattu B.O",N/A,http://jprooms.in/,5.0,,"11/1, Mettu Edaiyampatti Road, near Distance Education Unit ( CMC, Brindavan Nagar, NK Nagar, Bagayam, Vellore, Tamil Nadu 632002","Brindavan Nagar, NK Nagar",12.8774792,79.1378265,ChIJidP_Kmg5rTsR_WiAGfJFoZk,https://www.google.com/maps/place/?q=place_id:ChIJidP_Kmg5rTsR_WiAGfJFoZk,part_270,2026-09-20 19:07:23
TANTRANSCO Sathumadurai 230kV Sub Station,Offices,Power station,Power station,632011,Tamilnadu circle,Chennai City Region,Vellore Division,"A Kattupadi B.O, Nelvoy B.O, Thuthipattu B.O",+91 416 223 0234,http://www.tneb.in/,1.9,,"R4RM+99G, National Highway 234, Sathumadurai, Tamil Nadu 632011",632011,12.8409251,79.1334657,ChIJyyGET8I7rTsReG4SA5-uWow,https://www.google.com/maps/place/?q=place_id:ChIJyyGET8I7rTsReG4SA5-uWow,part_270,2026-09-20 19:07:23
VENKATESAN CHAIRMAN 4th zone vellore corporation,Offices,Government office,Government office,632011,Tamilnadu circle,Chennai City Region,Vellore Division,"A Kattupadi B.O, Nelvoy B.O, Thuthipattu B.O",N/A,N/A,,,"V38Q+X73, Thirumalaikodi, Vellore, Tamil Nadu 632055",Thirumalaikodi,12.867378299999999,79.0881567,ChIJIdOPYgA_rTsR3c4RCDznxAA,https://www.google.com/maps/place/?q=place_id:ChIJIdOPYgA_rTsR3c4RCDznxAA,part_270,2026-09-20 19:07:24
P.Munisamy Office and House,Offices,Lawyer,Lawyer,632011,Tamilnadu circle,Chennai City Region,Vellore Division,"A Kattupadi B.O, Nelvoy B.O, Thuthipattu B.O",+91 94880 44350,N/A,,,"7, Kattupadi Rd, Thuttipattu, Tamil Nadu 632011",632011,12.8533303,79.1346392,ChIJw1rXJu87rTsRPz0FmkJiXWw,https://www.google.com/maps/place/?q=place_id:ChIJw1rXJu87rTsRPz0FmkJiXWw,part_270,2026-09-20 19:07:24
C A Wahab Hardware & Paints,Offices,Hardware store,Hardware store,632011,Tamilnadu circle,Chennai City Region,Vellore Division,"A Kattupadi B.O, Nelvoy B.O, Thuthipattu B.O",N/A,N/A,5.0,2.0,"No. 39, Long Bazar, Long Bazaar, opposite Clock Tower, Vellore, Tamil Nadu 632004",632011,12.920499999999999,79.13329,ChIJcwZ6ieo4rTsR6oeiyCm_vxM,https://www.google.com/maps/place/?q=place_id:ChIJcwZ6ieo4rTsR6oeiyCm_vxM,part_270,2026-09-20 19:07:24
