business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vijay Home Services - Home Painting & Deep cleaning Expert,Housekeeping Services,Cleaning Services,"Cleaning Services, Painter, Pest control service, Sanitation service",632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 84537 48478,http://www.vijayhomeservices.com/,4.8,19332.0,"3rd Floor, Mahadevapura, Bengaluru, Karnataka 560048",Mahadevapura,12.9893947,77.68839659999999,ChIJq3zsbm4VrjsRu1SSd7nVDy8,https://www.google.com/maps/place/?q=place_id:ChIJq3zsbm4VrjsRu1SSd7nVDy8,part_270,2026-09-20 19:11:08
Matoshree Home Cleaning Services Sambhajinagar,Housekeeping Services,Cleaning Services,Cleaning Services,632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 93254 95645,https://matoshreehomecleaningservices.in/,4.9,51.0,"Plot No 95, Shivaji Nagar Road, near by Holkar Chowk, Ganesh Nagar, Area, Garkheda, Chhatrapati Sambhajinagar, Maharashtra 431005","Ganesh Nagar, Area, Garkheda",19.857546199999998,75.3648917,ChIJL-2BUNGj2zsRocEm71djVD8,https://www.google.com/maps/place/?q=place_id:ChIJL-2BUNGj2zsRocEm71djVD8,part_270,2026-09-20 19:11:08
Urban Hygiene Solutions,Housekeeping Services,House cleaning service,"House cleaning service, Carpet cleaning service, Cleaning Services, Upholstery cleaning service",632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 78787 89109,https://urban-hygiene-solutions.grexa.site/,4.7,49.0,"Gate no 2, Dwarkesh residency, Block no 55, Sri Nath Society, Railnagar, Rajkot, Gujarat 360004","Sri Nath Society, Railnagar",22.2647718,70.78456539999999,ChIJIXKbCY7LWTkRVr9hnZ2YqAo,https://www.google.com/maps/place/?q=place_id:ChIJIXKbCY7LWTkRVr9hnZ2YqAo,part_270,2026-09-20 19:11:08
Hyginex Cleaning Service,Housekeeping Services,Sanitation service,"Sanitation service, Carpet cleaning service, Carpet wholesaler, Cleaning Services, Cleaning products supplier, House cleaning service, Mattress store, Pool cleaning service, Upholstery cleaning service, Water Tank Cleaners",632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 73577 80294,https://hyginex-cleaning-service.grexa.site/,5.0,32.0,"110, Patel Nagar Topdara Gujarati Eton Ka Bhatta, Patel Nagar, Ajmer, Rajasthan 305001","Patel Nagar, Pal Bhichala",26.4613342,74.6418276,ChIJDWYtLF_nazkRtcJ9ipKge9k,https://www.google.com/maps/place/?q=place_id:ChIJDWYtLF_nazkRtcJ9ipKge9k,part_270,2026-09-20 19:11:08
Royal Super Shine Cleaning Services,Housekeeping Services,Cleaning Services,"Cleaning Services, Carpet cleaning service, Gutter cleaning service, House cleaning service, Janitorial service, Pool cleaning service, Property maintenance, Sanitation service, Upholstery cleaning service, Water Tank Cleaners",632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 91580 82626,https://royalsupershinecleaningservices.com/,5.0,35.0,"New, Ganesh Nagar, Chhatrapati Sambhajinagar, Maharashtra 431009","Ganesh Nagar, Sara Raaj Nagar, Garkheda",19.8594162,75.36317319999999,ChIJsylogESj2zsRP-V0y07YUrk,https://www.google.com/maps/place/?q=place_id:ChIJsylogESj2zsRP-V0y07YUrk,part_270,2026-09-20 19:11:08
Saaf Makers,Housekeeping Services,Cleaning service,Cleaning service,632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 84848 88693,https://saafmakers.com/,4.9,98.0,"Phoenix market, Office No-206,The Evoq, Kala khadak, city road, bhumkar chowk, Wakad, Maharashtra 411057","bhumkar chowk, Wakad",18.6065371,73.7550522,ChIJsYiHSKL7Iq4RKznvdWDIqME,https://www.google.com/maps/place/?q=place_id:ChIJsYiHSKL7Iq4RKznvdWDIqME,part_270,2026-09-20 19:11:08
TidyGlow,Housekeeping Services,House cleaning service,House cleaning service,632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 97787 58245,https://tidyglow.in/,4.9,64.0,"Vetturoad, near railway gate, Thiruvananthapuram, Kaniyapuram, Keralam 695582",632058,8.579813999999999,76.859528,ChIJe-Asrcm_BTsR0sbGy-bcQZs,https://www.google.com/maps/place/?q=place_id:ChIJe-Asrcm_BTsR0sbGy-bcQZs,part_270,2026-09-20 19:11:08
TechSquadTeam - Home Cleaning and Pest Control Services @ Your Doorstep,Housekeeping Services,House cleaning service,"House cleaning service, Appliance repair service, Home help service agency, Pest control service, Sanitation service",632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 77950 01555,https://techsquadteam.com/bangalore,4.5,5607.0,"Phase-1, 6th Floor, Plot No-118, Neil Rao Towers, Rd Number 3, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066","Vijayanagar, EPIP Zone, Whitefield",12.978067,77.72490379999999,ChIJkc9vivQRrjsR6gsj5gxNrVg,https://www.google.com/maps/place/?q=place_id:ChIJkc9vivQRrjsR6gsj5gxNrVg,part_270,2026-09-20 19:11:08
Feature Solutions,Housekeeping Services,Cleaning Services,"Cleaning Services, Air duct cleaning service, Blast cleaning service, Carpet cleaning service, House cleaning service, Pool cleaning service, Sanitation service, Tile cleaning service, Upholstery cleaning service, Window cleaning service",632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 96867 98256,https://www.featuresolutions.in/,4.9,,"3rd Floor, No-47/5, MR Complex, Kudlu Main Rd, opposite HDFC Bank, BTR Gardens, AECS Layout - A Block, AECS Layout, Singasandra, Bengaluru, Karnataka 560068","BTR Gardens, AECS Layout - A Block, AECS Layout, Singasandra",12.88989,77.6475853,ChIJF6X8lZsVrjsRX90mUfqYeqs,https://www.google.com/maps/place/?q=place_id:ChIJF6X8lZsVrjsRX90mUfqYeqs,part_270,2026-09-20 19:11:08
Sahayya Services,Housekeeping Services,Property maintenance,Property maintenance,632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 70303 05401,https://www.sahayya.org/,5.0,,"Plot No. 1-A, Kamgar Chowk, D-Seotor, N 2, Cidco, Chhatrapati Sambhajinagar, Maharashtra 431003","Kamgar Chowk, D-Seotor, N 2, Cidco",19.873543599999998,75.366518,ChIJx-vIK46j2zsRRcoZBG2SVuY,https://www.google.com/maps/place/?q=place_id:ChIJx-vIK46j2zsRRcoZBG2SVuY,part_270,2026-09-20 19:11:08
