business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vinayak Plumbing Engineering Pvt Ltd,Plumber,Plumber,"Plumber, Contractor, Engineering consultant",632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 90439 90982,https://vinayakconcern.com/,4.5,,"Golden Nagar, 5A, Nanjundapuram Main Rd, Amman Nagar, Podanur, Coimbatore, Tamil Nadu 641023",Amman Nagar,10.9705487,76.9925762,ChIJgewXSyJbqDsRKm-I7Dq_Zwk,https://www.google.com/maps/place/?q=place_id:ChIJgewXSyJbqDsRKm-I7Dq_Zwk,part_270,2026-09-20 19:10:54
Pramod Plumber Service,Plumber,Plumber,Plumber,632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 97829 44126,http://pramodplumber.website2.me/,4.6,,"Ridhi Sidhi Petrol Pump, Ward 27, Mansarovar Sector 8, Mansarovar, Jaipur, Rajasthan 302020","Ward 27, Mansarovar Sector 8, Mansarovar",26.853951799999997,75.7612568,ChIJ9bey0QK1bTkRTSQ8qUx-qIY,https://www.google.com/maps/place/?q=place_id:ChIJ9bey0QK1bTkRTSQ8qUx-qIY,part_270,2026-09-20 19:10:55
Pintu Pulmbar,Plumber,Plumber,Plumber,632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 99283 77528,N/A,4.7,,"VQC4+F2F, SFS Manasarovar, Hans Vihar, Kalyanpura, Mansarovar, Jaipur, Rajasthan 302020","SFS Manasarovar, Hans Vihar, Kalyanpura, Mansarovar",26.871185399999998,75.7550378,ChIJUx9jw7i1bTkRfNCpoJ-R7Qc,https://www.google.com/maps/place/?q=place_id:ChIJUx9jw7i1bTkRfNCpoJ-R7Qc,part_270,2026-09-20 19:10:55
Rupachandra Plumbing Services,Plumber,Plumber,Plumber,632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 99807 98772,N/A,4.9,,"2nd floor, 10th cross, 29th Main Rd, EWS Colony, BTM Layout 2nd Stage, BTM Layout, Bengaluru, Karnataka 560076","EWS Colony, BTM Layout 2nd Stage, BTM Layout",12.908444399999999,77.613169,ChIJmYfBbHEVrjsRD4NrRaT3tuw,https://www.google.com/maps/place/?q=place_id:ChIJmYfBbHEVrjsRD4NrRaT3tuw,part_270,2026-09-20 19:10:55
Home Plumber Service,Plumber,Plumber,Plumber,632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 95490 98119,N/A,4.7,,"S 11, Ambedkar Nagar, Tonk Phatak, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302015","Ambedkar Nagar, Tonk Phatak",26.881539099999998,75.79499109999999,ChIJU0znKzC0bTkRZW4BkorXZEU,https://www.google.com/maps/place/?q=place_id:ChIJU0znKzC0bTkRZW4BkorXZEU,part_270,2026-09-20 19:10:55
Home Blink Services,Plumber,Plumber,"Plumber, Aluminum window, Bathroom remodeler, Car repair and maintenance service, Carpenter, Electrician, Motor scooter repair shop, Painting, Handyman/Handywoman/Handyperson, Woodworker",632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 99015 16431,https://homeblinkservices.com/,5.0,,"opp. Everest Theatre, Fraser Town, Bengaluru, Karnataka 560005",Fraser Town,12.9999331,77.6181014,ChIJV6j90honrwQRcn4Nc0j1saM,https://www.google.com/maps/place/?q=place_id:ChIJV6j90honrwQRcn4Nc0j1saM,part_270,2026-09-20 19:10:55
"Baba Ramdev RO Sale,Services and Plumber",Plumber,Plumber,"Plumber, Water treatment plant, Water purification company",632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 98299 07943,N/A,5.0,,"Langar ke Balaji Ka Chauraha, 469, Gangori Bazar, Jaipur, Rajasthan 302001","Gangori Bazaar, Gangori Bazar, Pink City",26.931558499999998,75.8202098,ChIJ-VMpKh6xbTkRzDWamhPJf_s,https://www.google.com/maps/place/?q=place_id:ChIJ-VMpKh6xbTkRzDWamhPJf_s,part_270,2026-09-20 19:10:55
S24x7 PRIVATE LIMITED,Plumber,Plumber,"Plumber, Air conditioning contractor, Electrician, House cleaning service, Landscape designer, Mechanical contractor, Pest control service, Property management company, Property maintenance, Security service",632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 495 299 2524,http://www.s24x7fm.com/,4.6,,"Ram Mohan Rd, Chindhavalappu, Palayam, Kozhikode, Kerala 673004","Chindhavalappu, Palayam",11.252517899999999,75.78682479999999,ChIJQVzA-PRZpjsRXi_7SAnqg8o,https://www.google.com/maps/place/?q=place_id:ChIJQVzA-PRZpjsRXi_7SAnqg8o,part_270,2026-09-20 19:10:55
Darshitha Quick Home Services,Plumber,Electrical installation service,Electrical installation service,632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 96866 71493,N/A,4.9,,"SK Residency, near SBI ATM, Manjunatha Layout, Shirdi Sai Nagar, Munnekolala, Bengaluru, Karnataka 560037","Manjunatha Layout, Shirdi Sai Nagar, Munnekolala",12.949209399999999,77.7147988,ChIJ_QJIOWgTrjsRuLbyiqkU4p0,https://www.google.com/maps/place/?q=place_id:ChIJ_QJIOWgTrjsRuLbyiqkU4p0,part_270,2026-09-20 19:10:55
R.S. sales agency,Plumber,Plumber,Plumber,632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",N/A,N/A,5.0,,"3H8C+F84, Bandikui, Barh Bishanpura, Rajasthan 303313",632058,27.0662251,76.570621,ChIJ72_TTQBxcjkRklZy910JFlk,https://www.google.com/maps/place/?q=place_id:ChIJ72_TTQBxcjkRklZy910JFlk,part_270,2026-09-20 19:10:55
