business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Shop No 10, R4W6+435",Shops,Shops,Shops,632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",N/A,N/A,,,"R4W6+435, 81, Amirthi Rd, Pennathur, Tamil Nadu 632058",632058,12.8452086,79.1102719,ChIJAZBve_g7rTsRziMDjJV6yig,https://www.google.com/maps/place/?q=place_id:ChIJAZBve_g7rTsRziMDjJV6yig,part_270,2026-09-20 19:11:15
Shop No 10,Shops,Shops,Shops,632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",N/A,N/A,,,"8, Amirthi Rd, Pennathur, Tamil Nadu 632058",632058,12.8476552,79.10985819999999,ChIJ-4_Mp_g7rTsRqpzd4fV6aZ0,https://www.google.com/maps/place/?q=place_id:ChIJ-4_Mp_g7rTsRqpzd4fV6aZ0,part_270,2026-09-20 19:11:15
"Shop No 16, R4W6+435",Shops,Shops,Shops,632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",N/A,N/A,,,"R4W6+435, 2, Amirthi Rd, Pennathur, Tamil Nadu 632058",632058,12.8452086,79.1102719,ChIJAZBve_g7rTsRYEKqabSr85I,https://www.google.com/maps/place/?q=place_id:ChIJAZBve_g7rTsRYEKqabSr85I,part_270,2026-09-20 19:11:15
"Shop No 69, R4X5+GQH",Shops,Shops,Shops,632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",N/A,N/A,,,"R4X5+GQH, 10, Amirthi Rd, Pennathur, Tamil Nadu 632058",632058,12.8487758,79.1094626,ChIJKeJiqQA8rTsRu8647vaJsdU,https://www.google.com/maps/place/?q=place_id:ChIJKeJiqQA8rTsRu8647vaJsdU,part_270,2026-09-20 19:11:15
Sri Lakshmi Store,Shops,General store,General store,632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 96776 23343,N/A,,,"Arni Road, Kesavapuram, Sirukalambur, Tamil Nadu 632011",Kesavapuram,12.851201,79.1119839,ChIJT-ipB_87rTsRAAAAsAi4DDA,https://www.google.com/maps/place/?q=place_id:ChIJT-ipB_87rTsRAAAAsAi4DDA,part_270,2026-09-20 19:11:15
Priya Store,Shops,Book store,Book store,632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 90256 16905,N/A,5.0,1.0,"Priya Store, Amirthi Rd, Pennathur, Vellore, Tamil Nadu 632058",632058,12.848490799999999,79.10971359999999,ChIJCSumqgA8rTsR37jabvsrGKM,https://www.google.com/maps/place/?q=place_id:ChIJCSumqgA8rTsR37jabvsrGKM,part_270,2026-09-20 19:11:15
Shabina store,Shops,General store,General store,632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",N/A,N/A,4.8,,"Sri krishna college road, Narayanapuram village Unai vaniyambadi post, via, Anaicut, Tamil Nadu 632101",632058,12.868547,78.9685147,ChIJSbgLOQIVrTsRed0zqfk2Jqg,https://www.google.com/maps/place/?q=place_id:ChIJSbgLOQIVrTsRed0zqfk2Jqg,part_270,2026-09-20 19:11:16
SNB STORE,Shops,Cell phone store,Cell phone store,632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 99437 78505,N/A,5.0,,"R4X5+FPF, Pennathur, Tamil Nadu 632058",632058,12.8486769,79.1092982,ChIJNcb0qwA8rTsRYX23P3IRekI,https://www.google.com/maps/place/?q=place_id:ChIJNcb0qwA8rTsRYX23P3IRekI,part_270,2026-09-20 19:11:16
Commercial Stationers - Wholesalers and Retailers Stationery Shop,Shops,Pen store,"Pen store, Book store, Stationery store",632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 97799 05600,N/A,4.4,,"Gill Rd, Near Vishwakarma Chowk, Moongphali Mandi, Niran Kari Nagar, Miller Ganj, Ludhiana, Punjab 141001","Moongphali Mandi, Niran Kari Nagar, Miller Ganj",30.898943199999998,75.85793679999999,ChIJKZZ7jAaDGjkRmEJu2uJ3aII,https://www.google.com/maps/place/?q=place_id:ChIJKZZ7jAaDGjkRmEJu2uJ3aII,part_270,2026-09-20 19:11:17
"✅ 𝗥𝗮𝗷𝘂 𝗦𝘁𝗮𝘁𝗶𝗼𝗻𝗲𝗿𝘆 𝗠𝗮𝗿𝘁 - Best Stationery Shop, Office & School Stationery, Drawing, Painting Stationery Dealers",Shops,Stationery store,"Stationery store, Art supply store, Cleaning products supplier, Office supply store, Office supply wholesaler, Printer ink refill store, Printing equipment supplier, School supply store",632058,Tamilnadu circle,Chennai City Region,Vellore Division,"Kattuputhur B.O, Pennathur S.O",+91 98141 23689,http://www.rajustationerymart.com/,4.9,,"BXX 2248/A, opp. Krishna Mandir, near aarti Cinema, Krishna Nagar, Ludhiana, Punjab 141001",Krishna Nagar,30.9011975,75.8236213,ChIJByLS0cWDGjkRkrfDoulAZ5Q,https://www.google.com/maps/place/?q=place_id:ChIJByLS0cWDGjkRkrfDoulAZ5Q,part_270,2026-09-20 19:11:17
