business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
CARE UNISEX SALON,Unisex Salon,Beauty Parlour,"Beauty Parlour, Hairdresser",632101,Tamilnadu Circle,Chennai City Region,Vellore Division,"Anaikattu S.O, Alleri B.O, Appukkal B.O",+91 90118 72666,https://caresalon.in/,4.9,225.0,"Shop D3, Plot D1, opp. to S.T. Police Station, Aksy Society, Sant Tukaram Nagar, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018","Aksy Society, Sant Tukaram Nagar, Pimpri Colony",18.6239314,73.8188263,ChIJPbo-j8K5wjsRhJ9qp4QibpE,https://www.google.com/maps/place/?q=place_id:ChIJPbo-j8K5wjsRhJ9qp4QibpE,part_270,2026-09-20 19:12:13
Gozel Unisex,Unisex Salon,Beauty Parlour,Beauty Parlour,632101,Tamilnadu Circle,Chennai City Region,Vellore Division,"Anaikattu S.O, Alleri B.O, Appukkal B.O",+91 72020 70777,N/A,4.6,508.0,"B/h, New Chandkheda, Satyamev Hospital, Shop No 40 Ground Floor Shree Sarju Arena, opp. Kadi Nagrik Bank, Chandkheda, Ahmedabad, Gujarat 382424","Tragad, Chandkheda",23.121081699999998,72.57535589999999,ChIJUSik9L-DXjkRXI2yVMDH4QA,https://www.google.com/maps/place/?q=place_id:ChIJUSik9L-DXjkRXI2yVMDH4QA,part_270,2026-09-20 19:12:13
Destiiny Unisex Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Hairdresser, Facial spa, Waxing hair removal service",632101,Tamilnadu Circle,Chennai City Region,Vellore Division,"Anaikattu S.O, Alleri B.O, Appukkal B.O",+91 75179 60678,https://destiiny-unisex-salon.grexa.site/,4.8,239.0,"Building, Ground Floor, Vinit Plaza, Shop No 02, near Pavana Bank, opposite Sant Tukaram ST Stand, Vallabh Nagar, Pimpri-Chinchwad, Maharashtra 411018","Sabayog Cooperative Housing Society, Vallabh Nagar, Pimpri Colony",18.6166795,73.81725,ChIJiboyXFe5wjsR6i585lxQ-D8,https://www.google.com/maps/place/?q=place_id:ChIJiboyXFe5wjsR6i585lxQ-D8,part_270,2026-09-20 19:12:13
GK STYLOPEDIA unisex salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Facial spa, Make-up artist, Hairdresser",632101,Tamilnadu Circle,Chennai City Region,Vellore Division,"Anaikattu S.O, Alleri B.O, Appukkal B.O",+91 82106 86349,https://gk-stylopedia-unisex.grexa.site/,4.9,,"plot no.- GB 19, City Center, Sector 4, Bokaro Steel City, Jharkhand 827004","City Center, Sector 4",23.666828199999998,86.1458455,ChIJG-HMBXcj9DkRpa71or4EjL0,https://www.google.com/maps/place/?q=place_id:ChIJG-HMBXcj9DkRpa71or4EjL0,part_270,2026-09-20 19:12:14
"Dezire Unisex Salon (hair and beauty) - Pimple Saudagar, PCMC Pune.",Unisex Salon,Beauty Parlour,"Beauty Parlour, Barber shop, Beautician, Eyelash salon, Hair removal service, Make-up artist, Nail salon, Spa, Hairdresser, Waxing hair removal service",632101,Tamilnadu Circle,Chennai City Region,Vellore Division,"Anaikattu S.O, Alleri B.O, Appukkal B.O",+91 95529 58967,http://www.deziresalon.in/,4.7,,"Shop No 64, Dezire Unisex Salon, Vision 9 Mall, Kunal Icon Rd, Pimple Saudagar, Pimpri-Chinchwad, Pune, Maharashtra 411027",Pimple Saudagar,18.5940281,73.7931677,ChIJubzsqhe5wjsRm1IN09-OVuY,https://www.google.com/maps/place/?q=place_id:ChIJubzsqhe5wjsRm1IN09-OVuY,part_270,2026-09-20 19:12:14
Good Looks Unisex Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Architectural and engineering model maker, Make-up artist",632101,Tamilnadu Circle,Chennai City Region,Vellore Division,"Anaikattu S.O, Alleri B.O, Appukkal B.O",+91 91362 05669,https://www.goodlooksalon.in/,4.7,,"223, DG-II Rd, opp. Budela Market, Pocket DG 2, Vikaspuri, Delhi, 110018","Pocket DG 2, Vikaspuri",28.6369151,77.06769249999999,ChIJY_bmoOgEDTkRS1bPPkKSVoI,https://www.google.com/maps/place/?q=place_id:ChIJY_bmoOgEDTkRS1bPPkKSVoI,part_270,2026-09-20 19:12:14
Cut & Style Salon all men & women care,Unisex Salon,Hairdresser,Hairdresser,632101,Tamilnadu Circle,Chennai City Region,Vellore Division,"Anaikattu S.O, Alleri B.O, Appukkal B.O",+91 90820 51527,N/A,4.9,,"Shop no.36, apposite swastik Complex, Motiram Plaza, Mumbai - Goa Hwy, Mangaon, Maharashtra 402104",632101,18.2426009,73.2789861,ChIJ6W9eIHsv6DsRJN1Sz_05axM,https://www.google.com/maps/place/?q=place_id:ChIJ6W9eIHsv6DsRJN1Sz_05axM,part_270,2026-09-20 19:12:14
Review Unisex Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,632101,Tamilnadu Circle,Chennai City Region,Vellore Division,"Anaikattu S.O, Alleri B.O, Appukkal B.O",+91 74474 50111,https://reviewsalonpune.com/,4.4,,"Bhoomi Allium , 1st Floor, Shop No -1012, near Ranka Jewellers, Pimple Saudagar, Pune, Maharashtra 411017","Prassana Colony, Pimple Saudagar",18.5991344,73.7920029,ChIJkbzhtd27wjsRpwdvKgoc-cU,https://www.google.com/maps/place/?q=place_id:ChIJkbzhtd27wjsRpwdvKgoc-cU,part_270,2026-09-20 19:12:14
Oshnic Unisex Salon and Academy,Unisex Salon,Beauty Parlour,"Beauty Parlour, Beautician, Make-up artist, Nail salon, Hairdresser, Waxing hair removal service",632101,Tamilnadu Circle,Chennai City Region,Vellore Division,"Anaikattu S.O, Alleri B.O, Appukkal B.O",+91 87000 61836,N/A,4.8,,"1st Floor, Main Jhanda Chowk, 41, Main Bazar Rd, near Lagan Sweets, Rajeev Colony, Narela Mandi, Narela, Delhi, 110040","Rajeev Colony, Narela Mandi, Narela",28.852860699999997,77.0896842,ChIJacEiqTipDTkRUQKyvr39yqU,https://www.google.com/maps/place/?q=place_id:ChIJacEiqTipDTkRUQKyvr39yqU,part_270,2026-09-20 19:12:14
MARVELOUS FAMILY SALON,Unisex Salon,Beauty Parlour,"Beauty Parlour, Hair salon, Facial spa",632101,Tamilnadu Circle,Chennai City Region,Vellore Division,"Anaikattu S.O, Alleri B.O, Appukkal B.O",+91 88054 41424,N/A,4.8,,"Shop No.1, A.J. Arcade, opp. Aashish Garden, Gananjay Society, Maurya Vihar, Kothrud, Pune, Maharashtra 411038","Gananjay Society, Maurya Vihar, Kothrud",18.5022801,73.8020117,ChIJmY8yTc-_wjsREowdUh3rjAU,https://www.google.com/maps/place/?q=place_id:ChIJmY8yTc-_wjsREowdUh3rjAU,part_270,2026-09-20 19:12:14
KS FAMILY SALON,Unisex Salon,Beauty Parlour,Beauty Parlour,632101,Tamilnadu Circle,Chennai City Region,Vellore Division,"Anaikattu S.O, Alleri B.O, Appukkal B.O",N/A,N/A,4.8,,"321, Mahatma Gandhi Rd, near Eden Tolly Lakeside, kabardanga, Ramchandrapur, Kolkata, West Bengal 700104","kabardanga, Ramchandrapur",22.4633122,88.3321698,ChIJ39WBSmhxAjoRaeiCbAMMQSU,https://www.google.com/maps/place/?q=place_id:ChIJ39WBSmhxAjoRaeiCbAMMQSU,part_270,2026-09-20 19:12:14
Bhaiya Saloon Accessories & Furniture,Unisex Salon,Beauty supply store,Beauty supply store,632101,Tamilnadu Circle,Chennai City Region,Vellore Division,"Anaikattu S.O, Alleri B.O, Appukkal B.O",+91 98896 25309,https://www.bhaiyasalonfurniture.com/,4.2,,"Unnamed Road, Munshi Purwa, Kidwai Nagar, Kanpur, Uttar Pradesh 208023","Munshi Purwa, Kidwai Nagar",26.4424775,80.3420829,ChIJhVzj46pHnDkRANi4akjLLK8,https://www.google.com/maps/place/?q=place_id:ChIJhVzj46pHnDkRANi4akjLLK8,part_270,2026-09-20 19:12:15
