business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Health Point,Healthcare Clinic Chains,Medical clinic,Medical clinic,632102,Tamilnadu circle,Chennai City Region,Vellore Division,"Amirthi B.O, Eriyur Amirthi B.O, Kilsaranankuppam B.O",+91 88950 06400,https://myhealthpoint.in/,4.9,89.0,"Vardhaman lane, behind DCB bank, Municipal Colony, Kataka, Odisha 753003",Municipal Colony,20.4669498,85.8968411,ChIJwWe26DENGToR5R__mStBQAo,https://www.google.com/maps/place/?q=place_id:ChIJwWe26DENGToR5R__mStBQAo,part_270,2026-09-20 19:12:43
AR Rahman Hospital,Healthcare Clinic Chains,Medical clinic,Medical clinic,632102,Tamilnadu circle,Chennai City Region,Vellore Division,"Amirthi B.O, Eriyur Amirthi B.O, Kilsaranankuppam B.O",+91 91503 00350,N/A,4.6,224.0,"MJMC+53P, Pallan Khaleelur Rahman St, Vaniyambadi, Tamil Nadu 635751",Vaniyambadi,12.6829702,78.62014839999999,ChIJGwQ0_6SprTsR-dJYysAAn0o,https://www.google.com/maps/place/?q=place_id:ChIJGwQ0_6SprTsR-dJYysAAn0o,part_270,2026-09-20 19:12:43
Myra Hospital,Healthcare Clinic Chains,Hospital,Hospital,632102,Tamilnadu circle,Chennai City Region,Vellore Division,"Amirthi B.O, Eriyur Amirthi B.O, Kilsaranankuppam B.O",+91 91162 34566,http://myrahospitals.com/,4.9,46.0,"4-4-173, Vikarabad, Telangana 501101",632102,17.334741299999997,77.9051793,ChIJg_sxcgBfyTsRTleQFxzO7pA,https://www.google.com/maps/place/?q=place_id:ChIJg_sxcgBfyTsRTleQFxzO7pA,part_270,2026-09-20 19:12:43
Sadha Hospital,Healthcare Clinic Chains,Hospital,Hospital,632102,Tamilnadu circle,Chennai City Region,Vellore Division,"Amirthi B.O, Eriyur Amirthi B.O, Kilsaranankuppam B.O",+91 4174 234 444,http://www.sadhahospital.com/,4.0,40.0,"MJGC+7V3, New Town Road, New Town, Vaniyambadi, Tamil Nadu 635752",New Town,12.6756379,78.62218179999999,ChIJ_31reZeprTsRvdPrHvtZoSY,https://www.google.com/maps/place/?q=place_id:ChIJ_31reZeprTsRvdPrHvtZoSY,part_270,2026-09-20 19:12:43
SRI KRISHNA HOSPITAL,Healthcare Clinic Chains,Doctor,Doctor,632102,Tamilnadu circle,Chennai City Region,Vellore Division,"Amirthi B.O, Eriyur Amirthi B.O, Kilsaranankuppam B.O",+91 98850 64394,N/A,4.3,19.0,"Vikarabad - Tandur Rd, Vikarabad, Telangana 501101",632102,17.3351462,77.902669,ChIJ2Rvn1KJfyTsRU9zBux6oK3Y,https://www.google.com/maps/place/?q=place_id:ChIJ2Rvn1KJfyTsRU9zBux6oK3Y,part_270,2026-09-20 19:12:43
The Clinix,Healthcare Clinic Chains,Hospital,"Hospital, Eye care center",632102,Tamilnadu circle,Chennai City Region,Vellore Division,"Amirthi B.O, Eriyur Amirthi B.O, Kilsaranankuppam B.O",+91 99150 01568,http://theclinix.in/,5.0,9.0,"THE CLINIX, opposite Mann Gym Road, Tripuri, Patiala, Punjab 147001",Tripuri,30.3590168,76.38683449999999,ChIJB2_nkEQpEDkR2YoT1yp-lDs,https://www.google.com/maps/place/?q=place_id:ChIJB2_nkEQpEDkR2YoT1yp-lDs,part_270,2026-09-20 19:12:43
Mudda veera Mallappa Hospitals,Healthcare Clinic Chains,Hospital,Hospital,632102,Tamilnadu circle,Chennai City Region,Vellore Division,"Amirthi B.O, Eriyur Amirthi B.O, Kilsaranankuppam B.O",+91 84162 55888,N/A,3.3,16.0,"8WP3+XR3, Vikarabad, Telangana 501101",632102,17.337399899999998,77.90455829999999,ChIJ4Sjuj6JfyTsRjN2bLJh6cQA,https://www.google.com/maps/place/?q=place_id:ChIJ4Sjuj6JfyTsRjN2bLJh6cQA,part_270,2026-09-20 19:12:43
Al Arif Hospital,Healthcare Clinic Chains,Private hospital,"Private hospital, Dentist, Emergency care service, Hospital, Medical Center, Medical laboratory, MRI center",632102,Tamilnadu circle,Chennai City Region,Vellore Division,"Amirthi B.O, Eriyur Amirthi B.O, Kilsaranankuppam B.O",+91 90377 77830,https://alarifhospital.com/,4.3,672.0,"Al Arif Hospital, Ambalathara, Thiruvananthapuram, Keralam 695026",Ambalathara,8.452496,76.9518114,ChIJCSVK2zq7BTsROnHauiC_4_s,https://www.google.com/maps/place/?q=place_id:ChIJCSVK2zq7BTsROnHauiC_4_s,part_270,2026-09-20 19:12:43
Aarvy Hospital - A unit of Medlix,Healthcare Clinic Chains,General hospital,"General hospital, Hospital, Surgeon",632102,Tamilnadu circle,Chennai City Region,Vellore Division,"Amirthi B.O, Eriyur Amirthi B.O, Kilsaranankuppam B.O",+91 124 422 2270,N/A,4.0,618.0,"530/18, Jail Rd, Civil Lines, Gurugram, Haryana 122001",Civil Lines,28.457396799999998,77.0300716,ChIJi6Y8QDcYDTkRce1ejDXf9aw,https://www.google.com/maps/place/?q=place_id:ChIJi6Y8QDcYDTkRce1ejDXf9aw,part_270,2026-09-20 19:12:44
City Surgical And Maternity Centre,Healthcare Clinic Chains,Hospital,Hospital,632102,Tamilnadu circle,Chennai City Region,Vellore Division,"Amirthi B.O, Eriyur Amirthi B.O, Kilsaranankuppam B.O",+91 124 426 3610,N/A,4.6,14.0,"325/11, Shiv Puri More, Old, Old Railway Rd, Rattan Garden, Shivpuri Extension, Sector 7, Gurugram, Haryana 122001","Rattan Garden, Shivpuri Extension, Sector 7",28.469616499999997,77.0192873,ChIJwfmTTS0YDTkRkmWND0eNBt0,https://www.google.com/maps/place/?q=place_id:ChIJwfmTTS0YDTkRkmWND0eNBt0,part_270,2026-09-20 19:12:44
