business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ROLEX FITNESS,Gym and Fitness Center,Gym,Gym,632106,Tamilnadu circle,Chennai City Region,Vellore Division,"Arumparuthi B.O, Kandipedu B.O, Karigiri B.O",N/A,N/A,4.6,,"26J4+HJ4, Serkadu, Vinnampalli, Tamil Nadu 632115",632106,13.031111899999999,79.206921,ChIJ2bn5AgBJrTsRIxu32X_MbJY,https://www.google.com/maps/place/?q=place_id:ChIJ2bn5AgBJrTsRIxu32X_MbJY,part_270,2026-09-20 19:15:13
Royal fitness gym,Gym and Fitness Center,Gym,Gym,632106,Tamilnadu circle,Chennai City Region,Vellore Division,"Arumparuthi B.O, Kandipedu B.O, Karigiri B.O",+91 85549 16741,N/A,5.0,,"8678+Q6X, Hajarmachi, Maharashtra 415105",632106,17.3144879,74.21561799999999,ChIJP9RRaACDwTsRSHb3OmnWBNw,https://www.google.com/maps/place/?q=place_id:ChIJP9RRaACDwTsRSHb3OmnWBNw,part_270,2026-09-20 19:15:13
G4 FITNESS CENTRE,Gym and Fitness Center,Gym,Gym,632106,Tamilnadu circle,Chennai City Region,Vellore Division,"Arumparuthi B.O, Kandipedu B.O, Karigiri B.O",+91 95391 90967,N/A,5.0,,"SH29, Muriyanal, Kunnamangalam, Keralam 673571",Muriyanal,11.320936,75.88443219999999,ChIJA9QgSABdpjsRkKMAcX_ZbU8,https://www.google.com/maps/place/?q=place_id:ChIJA9QgSABdpjsRkKMAcX_ZbU8,part_270,2026-09-20 19:15:13
Fitness Icon Gym,Gym and Fitness Center,Gym,Gym,632106,Tamilnadu circle,Chennai City Region,Vellore Division,"Arumparuthi B.O, Kandipedu B.O, Karigiri B.O",+91 98277 81600,N/A,4.9,,"Mandir Rd, beside Corporation Bank Newri, Jain Nagar, Nayapura, Lalghati, Bhopal, Madhya Pradesh 462001","Jain Nagar, Nayapura, Lalghati",23.2786874,77.3741434,ChIJA9Fqxd9pfDkRtZQqknWGOPo,https://www.google.com/maps/place/?q=place_id:ChIJA9Fqxd9pfDkRtZQqknWGOPo,part_270,2026-09-20 19:15:14
Mrn Fitness GYM,Gym and Fitness Center,Gym,Gym,632106,Tamilnadu circle,Chennai City Region,Vellore Division,"Arumparuthi B.O, Kandipedu B.O, Karigiri B.O",+91 76194 69434,http://www.mrngym.com/,4.9,,"2nd Floor, Santi Complex, Nandan Kanan - Patia Station Rd, behind HP Petrol Pump, Patia, Bhubaneswar, Odisha 751024",Patia,20.3548688,85.82948549999999,ChIJT3roG6YJGToR2leDNmxKT5A,https://www.google.com/maps/place/?q=place_id:ChIJT3roG6YJGToR2leDNmxKT5A,part_270,2026-09-20 19:15:14
Queen's Fitness Center For Women,Gym and Fitness Center,Gym,Gym,632106,Tamilnadu circle,Chennai City Region,Vellore Division,"Arumparuthi B.O, Kandipedu B.O, Karigiri B.O",+91 98479 42882,N/A,4.8,,"Main Road, near New Bus Stand, Balussery, Keralam 673612",632106,11.4475953,75.8281416,ChIJm2rypYNnpjsR2ZWiOLNjd70,https://www.google.com/maps/place/?q=place_id:ChIJm2rypYNnpjsR2ZWiOLNjd70,part_270,2026-09-20 19:15:14
Aura Athletic,Gym and Fitness Center,Gym,"Gym, Body shaping class, Fitness center",632106,Tamilnadu circle,Chennai City Region,Vellore Division,"Arumparuthi B.O, Kandipedu B.O, Karigiri B.O",+91 79788 96210,https://auraathletic.in/,4.9,,"Plot No. 59, in front of High Rise Water tank, Saheed Nagar, Bhubaneswar, Odisha 751007",Saheed Nagar,20.293024499999998,85.84713769999999,ChIJOzAo4wkJGToRhaUpDQSFQCw,https://www.google.com/maps/place/?q=place_id:ChIJOzAo4wkJGToRhaUpDQSFQCw,part_270,2026-09-20 19:15:14
Body Wave - Health & Fitness Centre for Women,Gym and Fitness Center,Fitness center,"Fitness center, Aerobics Class, Gym, Karate club, Wellness program, Women's personal trainer, Yoga instructor, Yoga Retreat Center, Yoga studio",632106,Tamilnadu circle,Chennai City Region,Vellore Division,"Arumparuthi B.O, Kandipedu B.O, Karigiri B.O",+91 495 233 3444,https://www.bodywave.in/,4.9,,"Iringadanpalli, CWRDM Rd, Kozhikode, Keralam 673017",632106,11.2816832,75.8290042,ChIJ79MJGLJdpjsRAVp6L_94RHM,https://www.google.com/maps/place/?q=place_id:ChIJ79MJGLJdpjsRAVp6L_94RHM,part_270,2026-09-20 19:15:14
RAJ FITNESS GYM,Gym and Fitness Center,Gym,Gym,632106,Tamilnadu circle,Chennai City Region,Vellore Division,"Arumparuthi B.O, Kandipedu B.O, Karigiri B.O",N/A,N/A,5.0,,"पूर्वी बाजार, मछली मण्डी के पास (मोहम्मदाबाद, Chakia, Uttar Pradesh 232103",मछली मण्डी के पास (मोहम्मदाबाद,25.048701299999998,83.223794,ChIJY66Hh5FBjjkREYJPcUE4LVk,https://www.google.com/maps/place/?q=place_id:ChIJY66Hh5FBjjkREYJPcUE4LVk,part_270,2026-09-20 19:15:15
Fitcare Fitness Equipments,Gym and Fitness Center,Exercise equipment store,"Exercise equipment store, Equipment Importer, Fitness Equipment Wholesaler, Importer, Manufacturer, Massage supply store",632106,Tamilnadu circle,Chennai City Region,Vellore Division,"Arumparuthi B.O, Kandipedu B.O, Karigiri B.O",+91 78800 82004,http://fitcareindia.com/,4.6,,"no.5, Kamal Vihar, AB Rd, Nar Lasudiya Talaab, Lasudia Mori, Indore, Madhya Pradesh 452010","Nar Lasudiya Talaab, Lasudia Mori",22.781811599999997,75.9105251,ChIJS6zt86kCYzkRzHm7Wu0dwE4,https://www.google.com/maps/place/?q=place_id:ChIJS6zt86kCYzkRzHm7Wu0dwE4,part_270,2026-09-20 19:15:15
