business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Fathima's Boutique,Boutiques,Clothing store,Clothing store,632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",+91 63810 59117,N/A,5.0,,"Arani Palayam, Arani, Tamil Nadu 632301",Arani Palayam,12.6689829,79.2812239,ChIJ2aFVCQAprTsRBUeVnZvxWAU,https://www.google.com/maps/place/?q=place_id:ChIJ2aFVCQAprTsRBUeVnZvxWAU,part_270,2026-09-20 19:21:25
ALIA FASHION,Boutiques,Boutique,Boutique,632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",+91 88257 56576,N/A,,,"Aliya Fashion, 15, VOC St, Arani Palayam, Arani, Tamil Nadu 632301",Arani Palayam,12.6714582,79.2861511,ChIJU_FM8McprTsRbXIFlDrdxxU,https://www.google.com/maps/place/?q=place_id:ChIJU_FM8McprTsRbXIFlDrdxxU,part_270,2026-09-20 19:21:25
The Glamm Store,Boutiques,Cosmetics store,Cosmetics store,632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",N/A,https://www.instagram.com/the_glamm_store?igsh=MXBmajhlMWhzdWN0dw%3D%3D&utm_source=qr,5.0,,"No.11, A1 Block, Thanikachalam St, Arani Palayam, Arani, Tamil Nadu 632301",Arani Palayam,12.670529199999999,79.2875315,ChIJe6-yHQEprTsRoDXTVXq6BQQ,https://www.google.com/maps/place/?q=place_id:ChIJe6-yHQEprTsRoDXTVXq6BQQ,part_270,2026-09-20 19:21:25
SRI MAHALAKSHMI CUT PIECES,Boutiques,Clothing store,Clothing store,632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",+91 95979 99305,N/A,4.7,,"VOC St, Arani Palayam, Arani, Tamil Nadu 632301",Arani Palayam,12.671320999999999,79.28683389999999,ChIJb4aq_O8prTsRGkis1z29nwU,https://www.google.com/maps/place/?q=place_id:ChIJb4aq_O8prTsRGkis1z29nwU,part_270,2026-09-20 19:21:25
Sri Ganesh Boutique,Boutiques,Clothing store,Clothing store,632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",N/A,N/A,4.7,,"Annamalai R.F., Tiruvannamalai, Tamil Nadu 606604",632301,12.2520393,79.0698592,ChIJxa8JTPfArDsRx8-YiHotlT4,https://www.google.com/maps/place/?q=place_id:ChIJxa8JTPfArDsRx8-YiHotlT4,part_270,2026-09-20 19:21:25
L S FANCY & GIFT SHOP,Boutiques,Novelty store,"Novelty store, Gift shop",632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",+91 4173 356 055,N/A,4.9,,"40- 46, Sharaf Bazaar St, Arani Palayam, Arani, Tamil Nadu 632301",Arani Palayam,12.6708526,79.2871232,ChIJa0lUjqIprTsRX_pRz-OAP3M,https://www.google.com/maps/place/?q=place_id:ChIJa0lUjqIprTsRX_pRz-OAP3M,part_270,2026-09-20 19:21:25
SRI PUSHPA SILKS AND SAREES,Boutiques,Clothing store,Clothing store,632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",+91 98420 43008,N/A,4.3,,"No,3, 632 301, Naina Chetti Street, Arani Palayam, Arani, Tamil Nadu 632301",Arani Palayam,12.673271,79.2859261,ChIJwZ18rogprTsR_60wB6A9n2g,https://www.google.com/maps/place/?q=place_id:ChIJwZ18rogprTsR_60wB6A9n2g,part_270,2026-09-20 19:21:25
Mystical India,Boutiques,Clothing store,"Clothing store, Antique store, Craft store, Gemstone Jeweler",632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",+91 81449 46143,https://www.instagram.com/mysticalindiatreasures?igsh=MThwaG9pemU4bDJrZg==,4.8,85.0,"9, Manakula Vinayagar St, Ramana Nagar, Annamalai Nagar, Tiruvannamalai, Tamil Nadu 606603","Ramana Nagar, Annamalai Nagar",12.2218093,79.0563019,ChIJPV1AAXnArDsR3tHEl_JgWhc,https://www.google.com/maps/place/?q=place_id:ChIJPV1AAXnArDsR3tHEl_JgWhc,part_270,2026-09-20 19:21:26
Prince Dresses & Boutique,Boutiques,Tailor,"Tailor, Boutique",632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",N/A,N/A,3.7,7.0,"No: 167, Pudhukamoor Rd, near Lakshmi Theatre, Arani Palayam, Arani, Tamil Nadu 632301",Arani Palayam,12.6687551,79.28489979999999,ChIJqaqVVlcprTsR2_jF6OrbqcQ,https://www.google.com/maps/place/?q=place_id:ChIJqaqVVlcprTsR2_jF6OrbqcQ,part_270,2026-09-20 19:21:26
Elegant drapes boutique,Boutiques,Saree Shop,Saree Shop,632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",+91 63814 06171,N/A,,,"SM Road, Arani, Tamil Nadu 632301",632301,12.665016399999999,79.2899419,ChIJ2z83d-gprTsRaHaGrVl3jJ0,https://www.google.com/maps/place/?q=place_id:ChIJ2z83d-gprTsRaHaGrVl3jJ0,part_270,2026-09-20 19:21:26
