business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sky Mobile & Electronics,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",+91 98423 20212,http://www.skymobile.in/,4.8,861,"Polur Road, SH 9, Mathalangulam, Tiruvannamalai, Tamil Nadu 606601",Mathalangulam,12.243102799999999,79.0725327,ChIJs5tJYDzBrDsRtGTphf668hY,https://www.google.com/maps/place/?q=place_id:ChIJs5tJYDzBrDsRtGTphf668hY,part_270,2026-09-20 19:21:46
SRI SIVASAKTHI MOBILES POLUR,Mobile Accessories Wholesaler,Cell phone store,"Cell phone store, Mobile home dealer",632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",+91 90035 43400,N/A,4.9,944,"NO,64, 1, Railway Station Rd, near Indian Bank, Polur, Tamil Nadu 606803",632301,12.5109899,79.1283425,ChIJLaehUSLZrDsRBk2z_9PFDjk,https://www.google.com/maps/place/?q=place_id:ChIJLaehUSLZrDsRBk2z_9PFDjk,part_270,2026-09-20 19:21:46
Supreme Mobiles - Tiruvannamalai,Mobile Accessories Wholesaler,Cell phone accessory store,"Cell phone accessory store, Cell phone store, Home audio store",632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",+91 7397 794 156,http://www.suprememobiles.in/,5.0,736,"Siva Electronics, Polur Rd, Pavazhakundur, Tiruvannamalai, Tamil Nadu 606601",Pavazhakundur,12.242221599999999,79.0725531,ChIJQ5SU8WDBrDsR0eLptgUNghs,https://www.google.com/maps/place/?q=place_id:ChIJQ5SU8WDBrDsR0eLptgUNghs,part_270,2026-09-20 19:21:46
The Chennai Mobiles - Digital Hub,Mobile Accessories Wholesaler,Cell phone accessory store,"Cell phone accessory store, Appliance store, Cell phone store, Furniture store",632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",+91 82703 55000,https://www.thechennaimobiles.com/,4.9,1475,"No.2, Vino Plaza, Kosamada St, near Gandhi Statue, Tiruvennanallur, Tiruvannamalai, Tamil Nadu 606601",Tiruvennanallur,12.2334681,79.0716207,ChIJ61R-NTfBrDsR1cKmZ_0ay54,https://www.google.com/maps/place/?q=place_id:ChIJ61R-NTfBrDsR1cKmZ_0ay54,part_270,2026-09-20 19:21:46
PHOENIX MOBILE STORE,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",+91 70109 20005,N/A,3.9,35,"116/ C THENDRAL NAGAR ,VENGIKKAL, Vellore Main Road, Tiruvannamalai, Tamil Nadu 606604",Thendral Nagar,12.2511643,79.07058599999999,ChIJTRfs2PDArDsRAnqrgnZtOX8,https://www.google.com/maps/place/?q=place_id:ChIJTRfs2PDArDsRAnqrgnZtOX8,part_270,2026-09-20 19:21:46
Superkings mobile,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",+91 82705 24565,N/A,4.7,3,"Thiruvoodal St, Pavazhakundur, Tiruvannamalai, Annamalai R.F., Tamil Nadu 606601",Pavazhakundur,12.2297171,79.065071,ChIJYRydABvBrDsRXy2G2zNtNHY,https://www.google.com/maps/place/?q=place_id:ChIJYRydABvBrDsRXy2G2zNtNHY,part_270,2026-09-20 19:21:46
VIGNESH MOBILES & ELECTRONICS,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",+91 7397 515 992,N/A,5.0,24,"DBS BANK, No.26, SOMAVARAKULA STREET, opposite TIRUVANNAMALAI, Thamarai Nagar, Tiruvannamalai, Tamil Nadu 606603",Thamarai Nagar,12.2257146,79.062259,ChIJTcI7pIzBrDsRFjpP8AOcY1M,https://www.google.com/maps/place/?q=place_id:ChIJTcI7pIzBrDsRFjpP8AOcY1M,part_270,2026-09-20 19:21:46
Cheyyar cell point,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",+91 98423 31060,https://instagram.com/cheyyarcellpoint,4.8,347,"Bus Stand, Arcot Rd, opp. Govt.Boys.Hr.Sec.School, near by Cheyyar, Alathur, Cheyyar, Tamil Nadu 604407",Alathur,12.6631848,79.54048399999999,ChIJUcNydWvXUjoRK2IZMjDNJ6c,https://www.google.com/maps/place/?q=place_id:ChIJUcNydWvXUjoRK2IZMjDNJ6c,part_270,2026-09-20 19:21:46
ANANDAN MOBILES AND ELECTRONICS,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",+91 95973 38117,N/A,5.0,17,"Main Street, MANALURPET, Kattampundi, Tamil Nadu 606808",632301,12.122121,79.0850672,ChIJz5MD-wy9rDsRvBu_nVZVniM,https://www.google.com/maps/place/?q=place_id:ChIJz5MD-wy9rDsRvBu_nVZVniM,part_270,2026-09-20 19:21:47
Murugan Mobile Sales&service,Mobile Accessories Wholesaler,Electronics store,Electronics store,632301,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Arni HO, Arni Fort SO, Arunagirichatram SO",+91 97877 57860,N/A,4.2,23,"Arani Rd, Kannanur, Tamil Nadu 606801",632301,12.467014299999999,79.3506858,ChIJIwW2EBrTrDsR5361YL8SU9k,https://www.google.com/maps/place/?q=place_id:ChIJIwW2EBrTrDsR5361YL8SU9k,part_270,2026-09-20 19:21:47
