business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sri vari agri harvester 726 model dealer,Agricultural Machinery and Harvester,Agricultural machinery manufacturer,Agricultural machinery manufacturer,632311,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Kannamangalam SO, Kalasamudram BO, Kulathur BO",N/A,N/A,5.0,6.0,"5W7H+X8F, Ikkadu, Tamil Nadu 602021",632311,13.1649367,79.9282863,ChIJl87xs7eFUjoRTIifiUazM0g,https://www.google.com/maps/place/?q=place_id:ChIJl87xs7eFUjoRTIifiUazM0g,part_270,2026-09-20 19:22:29
KAIRA HARVESTER / TRANSPLANTER THIRU ANNAMALAIYAR AGRICULTURAL MACHINERY,Agricultural Machinery and Harvester,Agricultural machinery manufacturer,Agricultural machinery manufacturer,632311,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Kannamangalam SO, Kalasamudram BO, Kulathur BO",+91 87543 23407,https://www.kairagroups.com/,5.0,4.0,"NEW TALUK OFFICE, NO.137, INDRA NAGAR (TRICHY, TO, Chennai - Nagapattinam Hwy, near AYYANAR KOVIL, Maduranthakam, Tamil Nadu 603306",632311,12.4989917,79.8741024,ChIJq-3eF4IbUzoRyEfacLGKidk,https://www.google.com/maps/place/?q=place_id:ChIJq-3eF4IbUzoRyEfacLGKidk,part_270,2026-09-20 19:22:29
Shaktiman Agriculture Tools,Agricultural Machinery and Harvester,Agricultural service,Agricultural service,632311,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Kannamangalam SO, Kalasamudram BO, Kulathur BO",N/A,N/A,4.3,16.0,"63VW+MRW, Tiruvannamalai Bypass Rd, Tiruvannamalai, Tamil Nadu 606611",632311,12.2442391,79.0970889,ChIJh7YJkH_BrDsRLN_88DfxIEQ,https://www.google.com/maps/place/?q=place_id:ChIJh7YJkH_BrDsRLN_88DfxIEQ,part_270,2026-09-20 19:22:29
Sasi Farm Equipments,Agricultural Machinery and Harvester,Farm equipment supplier,Farm equipment supplier,632311,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Kannamangalam SO, Kalasamudram BO, Kulathur BO",+91 94887 55557,N/A,5.0,1.0,"SMK complex, 173/48, Kosamada St, Mathalangulam, Tiruvannamalai, Tamil Nadu 606601",Mathalangulam,12.2344601,79.07237359999999,ChIJA5YNMe7BrDsRwkl1jbLPsJw,https://www.google.com/maps/place/?q=place_id:ChIJA5YNMe7BrDsRwkl1jbLPsJw,part_270,2026-09-20 19:22:29
Harvest,Agricultural Machinery and Harvester,Machine shop,Machine shop,632311,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Kannamangalam SO, Kalasamudram BO, Kulathur BO",N/A,N/A,5.0,1.0,"Athithangal - Kaniyanur Rd, Kaniyanur, Tamil Nadu 632512",632311,12.8016598,79.35549859999999,ChIJ98njGQAzrTsRKTIHdkIB92k,https://www.google.com/maps/place/?q=place_id:ChIJ98njGQAzrTsRKTIHdkIB92k,part_270,2026-09-20 19:22:29
Mahaa deepam ( agro ) industries,Agricultural Machinery and Harvester,Industrial equipment supplier,Industrial equipment supplier,632311,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Kannamangalam SO, Kalasamudram BO, Kulathur BO",+91 94438 10056,N/A,5.0,2.0,"74RG+33F, Tiruvannamalai, Vallivagai, Tamil Nadu 606752",632311,12.290196499999999,79.1251824,ChIJzTVOeqbHrDsReeH8q3cIyLk,https://www.google.com/maps/place/?q=place_id:ChIJzTVOeqbHrDsReeH8q3cIyLk,part_270,2026-09-20 19:22:29
Smart Agri Tech,Agricultural Machinery and Harvester,Agricultural machinery manufacturer,Agricultural machinery manufacturer,632311,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Kannamangalam SO, Kalasamudram BO, Kulathur BO",N/A,N/A,4.8,8.0,"736P+C63, Tiruvannamalai Bypass Rd, Adayur, Andapattu V, Tamil Nadu 606604",632311,12.2610159,79.0855413,ChIJZ_QEqObBrDsRswrHruOzWag,https://www.google.com/maps/place/?q=place_id:ChIJZ_QEqObBrDsRswrHruOzWag,part_270,2026-09-20 19:22:29
RK BALA AGRO CENTRE,Agricultural Machinery and Harvester,Agricultural Product Wholesaler,Agricultural Product Wholesaler,632311,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Kannamangalam SO, Kalasamudram BO, Kulathur BO",+91 97510 23600,N/A,5.0,18.0,"No 20, Agram road, Agaram, Tamil Nadu 632506",632311,12.7804779,79.4102046,ChIJ16mzgj3NUjoRwVS7B9exPhY,https://www.google.com/maps/place/?q=place_id:ChIJ16mzgj3NUjoRwVS7B9exPhY,part_270,2026-09-20 19:22:29
ARUL JAYAM AGRI MACHINERY,Agricultural Machinery and Harvester,Auto parts store,"Auto parts store, Agricultural cooperative",632311,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Kannamangalam SO, Kalasamudram BO, Kulathur BO",+91 94880 12602,https://ukno.in/aruljayamagrimachinery,4.5,20.0,"55,2A 2B, Thirumalai Nagar Mayilambarai, Thiruvannamalai - Kallakurichi Rd, Sankarapuram, Vadachettiyandal, Tamil Nadu 606401",632311,11.8672866,78.9272496,ChIJ7y_KNladrDsRaJjQnanzpAQ,https://www.google.com/maps/place/?q=place_id:ChIJ7y_KNladrDsRaJjQnanzpAQ,part_270,2026-09-20 19:22:30
BALURAJA HARVESTER SPARES,Agricultural Machinery and Harvester,Industrial Spares & Products Wholesaler,Industrial Spares & Products Wholesaler,632311,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Kannamangalam SO, Kalasamudram BO, Kulathur BO",+91 97874 10270,N/A,5.0,2.0,"736P+3FQ, Tiruvannamalai, Andapattu V, Tamil Nadu 606604",632311,12.2602175,79.086246,ChIJa7QopeDArDsRZv-zndvLcfM,https://www.google.com/maps/place/?q=place_id:ChIJa7QopeDArDsRZv-zndvLcfM,part_270,2026-09-20 19:22:30
Ganapthy Agro machinery spares,Agricultural Machinery and Harvester,Agricultural service,"Agricultural service, Agricultural machinery manufacturer",632311,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Kannamangalam SO, Kalasamudram BO, Kulathur BO",N/A,N/A,,,"38, Kosamada St, Tiruvennanallur, Tiruvannamalai, Tamil Nadu 606601",Tiruvennanallur,12.2333567,79.0721232,ChIJW088-zbBrDsRhNuMP2EyJWo,https://www.google.com/maps/place/?q=place_id:ChIJW088-zbBrDsRhNuMP2EyJWo,part_270,2026-09-20 19:22:30
VINAYACAA AGENCIES (THIRUVANNAMALAI BRANCH),Agricultural Machinery and Harvester,Farm equipment supplier,Farm equipment supplier,632311,Tamilnadu Circle,Chennai City Region,Tiruvannamalai Division,"Kannamangalam SO, Kalasamudram BO, Kulathur BO",+91 90943 39999,N/A,5.0,4.0,"RING ROAD, NOCHIMALAI, opposite to MAHINDRA TRACTOR SHOW ROOM, Tiruvannamalai, Tamil Nadu 606611",632311,12.2468142,79.0953564,ChIJIQnJIxPBrDsR9SVFlDTdrJg,https://www.google.com/maps/place/?q=place_id:ChIJIQnJIxPBrDsR9SVFlDTdrJg,part_270,2026-09-20 19:22:30
