business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Msn Exports,Exporters,Manufacturer,Manufacturer,632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,N/A,N/A,5.0,,"25, Sidco Industrial Estate Road, Kamaraj Nagar, SIDCO Industrial Estate, Navlock, Tamil Nadu 632403","Kamaraj Nagar, SIDCO Industrial Estate",12.961539799999999,79.3021864,ChIJGbW1AZJLrTsRkQZKhEwB3CU,https://www.google.com/maps/place/?q=place_id:ChIJGbW1AZJLrTsRkQZKhEwB3CU,part_270,2026-09-20 19:29:51
Joseph exporters,Exporters,Manufacturer,Manufacturer,632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,+91 98423 47338,N/A,,,"X874+J6, 2B Coramondal, leather road, sipcot, Mukundarayapuram, Tamil Nadu 632403",sipcot,12.964020399999999,79.3056448,ChIJEVyZMr5LrTsRsP4bxXQPTP8,https://www.google.com/maps/place/?q=place_id:ChIJEVyZMr5LrTsRsP4bxXQPTP8,part_270,2026-09-20 19:29:51
MAJESTIC LEATHER EXPORTS,Exporters,Leather Exporter,"Leather Exporter, Manufacturer",632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,+91 99436 76586,http://www.majesticleathers.com/,4.0,,"sidco Industrial, 101&112, Estate, Ranipet Sipcot, Navlock, Tamil Nadu 632403","Kamaraj Nagar, Estate, Ranipet Sipcot",12.9597222,79.3053657,ChIJq6qqqg41rTsRW47wob3axu4,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqg41rTsRW47wob3axu4,part_270,2026-09-20 19:29:51
ALPEN EXPORTS,Exporters,Manufacturer,Manufacturer,632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,N/A,N/A,,,"sidco Industrial, 88A, estate, Ranipet Sipcot, Tamil Nadu 632403","Kamaraj Nagar, estate, Ranipet Sipcot",12.9597351,79.304026,ChIJzS6GcgBLrTsRaidPmnKWklA,https://www.google.com/maps/place/?q=place_id:ChIJzS6GcgBLrTsRaidPmnKWklA,part_270,2026-09-20 19:29:51
Ajanta leder exports,Exporters,Manufacturer,Manufacturer,632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,N/A,N/A,5.0,,"sidco industrial estate, Plot no 24, Kamaraj Nagar, Ranipet Sipcot, Navlock, Tamil Nadu 632403","Kamaraj Nagar, Ranipet Sipcot",12.960224199999999,79.3029425,ChIJ_XqGZQBLrTsREMQ6OtsFfug,https://www.google.com/maps/place/?q=place_id:ChIJ_XqGZQBLrTsREMQ6OtsFfug,part_270,2026-09-20 19:29:51
"Star Exports C-Tannery, Ranipet",Exporters,Leather Exporter,Leather Exporter,632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,N/A,N/A,4.7,,"#48 SIPCOT Industrial Complex Ranipet, Chennai, Tamil Nadu 632403",632403,12.9617226,79.2975469,ChIJF7Eg5lpJrTsR_NMFZSN19AE,https://www.google.com/maps/place/?q=place_id:ChIJF7Eg5lpJrTsR_NMFZSN19AE,part_270,2026-09-20 19:29:51
EFFA EXPORTS - leather maker,Exporters,Leather Exporter,Leather Exporter,632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,+91 98947 93310,http://effaexports.com/,5.0,,"12&13, Kamaraj Nagar, Mukundarayapuram, Navlock, Tamil Nadu 632403","Kamaraj Nagar, Mukundarayapuram",12.960352799999999,79.3014705,ChIJG_JFMmFLrTsRWvzvfWNtJNg,https://www.google.com/maps/place/?q=place_id:ChIJG_JFMmFLrTsRWvzvfWNtJNg,part_270,2026-09-20 19:29:51
MILLION LEATHER EXPORTS,Exporters,Leather Exporter,Leather Exporter,632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,+91 97915 46727,N/A,5.0,,"Back Side, Coromandel Rd, Ranipet Sipcot, Mukundarayapuram, Tamil Nadu 632403",Ranipet Sipcot,12.962777599999999,79.3067014,ChIJf4fvVVRLrTsR5v3O6lGB1Rw,https://www.google.com/maps/place/?q=place_id:ChIJf4fvVVRLrTsR5v3O6lGB1Rw,part_270,2026-09-20 19:29:51
RADO EXPORT,Exporters,Manufacturer,Manufacturer,632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,N/A,N/A,,,"X862+2HW, Kamaraj Nagar, Ranipet Sipcot, Navlock, Tamil Nadu 632403","Kamaraj Nagar, Ranipet Sipcot",12.960106399999999,79.3014457,ChIJeWOdDwBLrTsRy0_O5SOicxI,https://www.google.com/maps/place/?q=place_id:ChIJeWOdDwBLrTsRy0_O5SOicxI,part_270,2026-09-20 19:29:51
Arrow Shoes Pvt Ltd,Exporters,Leather Exporter,Leather Exporter,632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,N/A,N/A,4.5,,"X864+429, Kamaraj Nagar, Mukundarayapuram, Navlock, Tamil Nadu 632403","Kamaraj Nagar, Mukundarayapuram",12.9602881,79.3050952,ChIJIxM9ijVLrTsRuGM2deYUFnc,https://www.google.com/maps/place/?q=place_id:ChIJIxM9ijVLrTsRuGM2deYUFnc,part_270,2026-09-20 19:29:51
