business_name,search_category,primary_category,all_categories,pincode,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Azad Nagar Road Murtzabad Muftiganj Jaunpur,Supermarket,Supermarket,Supermarket,222170,+91 99192 83925,N/A,3.9,,"MRPV+G2X, Jaunpur, Uttar Pradesh 222170",222170,25.6863676,82.8426037,ChIJ4aHwBPYzkDkRCjJZmRgtf0w,https://www.google.com/maps/place/?q=place_id:ChIJ4aHwBPYzkDkRCjJZmRgtf0w,part_023,2026-09-19 05:51:53,1
MORE MINI MART,Supermarket,Supermarket,"Supermarket, General store",222170,+91 99711 14111,N/A,4.8,,"KAMLA TOWER, BLOW NATIONAL INSURANCE COMPANY BUILDING, 240, Ruhatta Umarpur, Jaunpur, Uttar Pradesh 222002","Ruhatta Umarpur, Shanti Nagar, Olandganj",25.742977699999997,82.6801428,ChIJUX2PIgA7kDkRh9NilWqzUJk,https://www.google.com/maps/place/?q=place_id:ChIJUX2PIgA7kDkRh9NilWqzUJk,part_023,2026-09-19 05:51:53,2
Vishal Mega Mart,Supermarket,Hypermarket,Hypermarket,222170,+91 93158 81227,https://stores.vishalmegamart.com/shopping-mart-husainabad-jaunpur-31993/home?utm_source=GMB,3.8,,"Pratap Colony, Olandganj Rd, near Jesis Chauraha, Husainabad, Jaunpur, Uttar Pradesh 222002",Husainabad,25.74229,82.68607,ChIJ3S0T_Ns7kDkRFCZwnw2lhR4,https://www.google.com/maps/place/?q=place_id:ChIJ3S0T_Ns7kDkRFCZwnw2lhR4,part_023,2026-09-19 05:51:53,3
Shivam Varaety Shop,Supermarket,Supermarket,Supermarket,222170,+91 86043 01957,https://www.instagram.com/shivamvaraetyshop?igsh=MWNwYmVsaDRjcXlucg==,5.0,,"Udiyashan Gali, Mufti Ganj, KERAKAT, Uttar Pradesh 222170",222170,25.702133099999998,82.82426889999999,ChIJqbPuTb8zkDkRdUbcDWr7mpY,https://www.google.com/maps/place/?q=place_id:ChIJqbPuTb8zkDkRdUbcDWr7mpY,part_023,2026-09-19 05:51:53,4
Gupta Variety Center Proprietor Satyanarayan Gupta,Supermarket,Grocery store,"Grocery store, Variety store",222170,+91 99196 65401,N/A,3.8,,"below Union Bank Of India, Mufti Ganj, Dugauli, Uttar Pradesh 222170",222170,25.7061766,82.81991959999999,ChIJpUOEhisxkDkRRT31-z9SAfU,https://www.google.com/maps/place/?q=place_id:ChIJpUOEhisxkDkRRT31-z9SAfU,part_023,2026-09-19 05:51:53,5
Dwarika D-MART,Supermarket,Grocery store,Grocery store,222170,N/A,N/A,3.9,,"Mariyahu Bypass Railway Crossing, Uttar Pradesh 222161",222170,25.5999061,82.6066915,ChIJvXQ2ZFsjkDkRhfJmk0oB9cs,https://www.google.com/maps/place/?q=place_id:ChIJvXQ2ZFsjkDkRhfJmk0oB9cs,part_023,2026-09-19 05:51:53,6
Rajesh kirana store,Supermarket,Grocery store,Grocery store,222170,N/A,N/A,5.0,,"Deokali, Uttar Pradesh 222142",222170,25.661137399999998,82.8642102,ChIJUbJ5VT8tkDkROXsyc_eBwDg,https://www.google.com/maps/place/?q=place_id:ChIJUbJ5VT8tkDkROXsyc_eBwDg,part_023,2026-09-19 05:51:53,7
सदगुरु किराना और पेंट स्टोर,Supermarket,Supermarket,Supermarket,222170,+91 94503 37340,N/A,4.4,,"Jalalpur - Parauganj Road, Saraiya, Paprauganj, Uttar Pradesh 222146",222170,25.6017387,82.83190859999999,ChIJX6zrYhcskDkRSgJE-VmB9F0,https://www.google.com/maps/place/?q=place_id:ChIJX6zrYhcskDkRSgJE-VmB9F0,part_023,2026-09-19 05:51:53,8
CHARBHUJA KIRANA AND GENERAL STORE,Supermarket,Indian grocery store,"Indian grocery store, General store",222170,+91 91374 27070,N/A,4.1,,"PARAUGANJ BAZAR, THANAGADDI, ROAD, Jaunpur, Uttar Pradesh 222146",222170,25.601735299999998,82.83102699999999,ChIJKaf62U0tkDkRcyEH_5cxhqc,https://www.google.com/maps/place/?q=place_id:ChIJKaf62U0tkDkRcyEH_5cxhqc,part_023,2026-09-19 05:51:53,9
Sahil Traders,Supermarket,Grocery store,Grocery store,222170,+91 63063 74931,N/A,3.0,,"Sahil Kirana, 12, Sakara, Pesara, Uttar Pradesh 222142",222170,25.7133756,82.8786992,ChIJ-3Fd3yczkDkRmIFkgUyJW6g,https://www.google.com/maps/place/?q=place_id:ChIJ-3Fd3yczkDkRmIFkgUyJW6g,part_023,2026-09-19 05:51:53,10
